word,POT_MEAN,AUT_MEAN,COM_MEAN,ARO_MEAN,VAL_MEAN
Abendessen,4.854,4.125,7.375,3.738,7.5120000000000005
Abenteuer,7.0,4.409,3.909,7.332999999999999,7.444
Abfuhr,5.865,6.087000000000001,3.957,6.784,2.622
Abgeordneter,4.944,6.273,4.1819999999999995,4.857,4.333
abhängig,3.852,6.391,5.303999999999999,6.074,2.63
Abiturient,5.9,5.105,4.842,5.034,6.3
ablehnen,6.059,5.912999999999999,4.391,5.971,3.529
Absage,6.0,5.87,4.522,6.636,2.6060000000000003
Abweichler,4.861000000000001,6.0,3.3,5.694,4.333
adelig,5.146,7.167000000000001,3.5,5.292999999999999,4.561
Affäre,5.744,4.87,4.261,7.4879999999999995,3.907
aggressiv,7.178999999999999,7.1739999999999995,3.565,7.875,2.75
Akademiker,5.702999999999999,6.357,3.429,4.8919999999999995,6.242999999999999
Aktivist,6.379,4.944,5.444,6.862,4.966
allein,4.667,4.87,2.565,5.3,3.367
alleinerziehend,4.867,5.4,3.467,5.774,4.1610000000000005
Alleinsein,5.0,5.235,3.0,4.7780000000000005,4.044
alleinstehend,4.281000000000001,5.332999999999999,3.444,4.906000000000001,4.688
Altar,5.897,5.682,6.773,4.718,4.615
Altenpfleger,4.872,4.571000000000001,6.571000000000001,4.077,5.718
amerikanisch,5.684,4.833,4.333,5.582999999999999,4.737
Amt,5.567,7.042999999999999,6.391,5.332999999999999,4.2
Anarchist,5.75,3.174,4.0,6.455,4.386
Anführer,7.071000000000001,8.0,5.182,6.607,3.8569999999999998
angeben,4.297,6.1739999999999995,3.0,6.162000000000001,3.378
Angeber,4.622,6.292000000000001,2.833,6.595,3.2969999999999997
angepasst,3.655,5.727,6.318,3.6210000000000004,4.828
Angestellter,4.333,5.071000000000001,5.2860000000000005,4.633,4.968
ängstlich,4.111000000000001,5.478,3.826,6.5,3.444
angstvoll,4.59,5.545,4.1819999999999995,7.205,2.7689999999999997
Animateur,4.25,4.7330000000000005,5.667000000000001,5.727,4.545
anleiten,5.5,5.846,4.769,4.5169999999999995,5.933
anmeckern*,5.436,6.6,4.04,6.925,3.0
anonym,4.143,3.75,4.042,4.294,4.7219999999999995
anordnen,5.861000000000001,7.318,5.682,4.9719999999999995,4.861000000000001
anpassen,4.333,4.5,6.922999999999999,4.833,4.4319999999999995
anpumpen,3.7,4.773,4.591,6.313,3.375
Anschiss,6.05,7.125,4.292,7.25,2.375
Ansehen,6.5,6.609,4.739,4.19,6.381
Anstand,5.75,5.043,5.522,4.194,6.306
anständig,5.317,4.708,5.417000000000001,3.293,6.7620000000000005
anvertrauen,6.138,3.267,5.267,3.862,6.724
anweisen,6.2139999999999995,7.24,4.56,5.75,4.5
Arbeit,6.042999999999999,5.303999999999999,5.957000000000001,5.5,5.1739999999999995
arbeitslos,4.029,5.5,4.1,6.647,2.588
Arbeitsloser,3.8110000000000004,5.692,4.615,5.513999999999999,3.2969999999999997
Architekt,5.2410000000000005,5.105,4.105,5.0,5.806
Armee,7.459,7.737,7.053,6.946000000000001,2.946
Armut,5.1610000000000005,5.2170000000000005,5.7829999999999995,7.065,2.355
arrogant,5.784,6.87,2.826,6.73,2.8110000000000004
Arroganz,5.656000000000001,6.8,2.64,6.909,2.818
asozial,5.031000000000001,5.912999999999999,3.609,7.063,2.406
assimiliert,5.37,6.227,5.955,5.222,4.296
Asyl,4.258,5.13,6.303999999999999,5.093999999999999,4.406000000000001
Asylrecht,5.718,5.435,6.696000000000001,5.744,4.564
Atheist,5.683,4.571000000000001,3.3569999999999998,4.683,5.61
aufhetzen,6.611000000000001,7.316,5.789,7.75,2.472
aufmüpfig,5.619,5.292000000000001,3.125,6.2139999999999995,4.595
aufopfern,5.813,4.625,5.707999999999999,6.343999999999999,4.313
