word,Conc.M
roadsweeper,4.85
traindriver,4.54
tush,4.45
hairdress,3.93
pharmaceutics,3.77
hoover,3.76
shopkeeping,3.18
pushiness,2.48
underdevelop,2.37
tirelessness,2.28
oldfashioned,2.26
wellmannered,2.25
dismissiveness,1.83
spitefulness,1.8
untruthfulness,1.73
dispiritedness,1.56
sled,5.0
plunger,4.96
human,4.93
waterbed,4.93
cymbal,4.92
ginger,4.92
bobsled,4.9
cardboard,4.9
olive,4.9
dogsled,4.89
rubber,4.86
soybean,4.82
tangerine,4.81
headrest,4.8
eucalyptus,4.77
saltwater,4.77
armrest,4.76
paramedic,4.74
liquid,4.72
billfold,4.71
canine,4.71
flowerbed,4.71
soy,4.7
bald,4.69
lilac,4.69
hemorrhoid,4.68
orange,4.66
arachnid,4.65
underarm,4.63
barefoot,4.62
bearded,4.62
thyroid,4.61
wooden,4.61
sleeveless,4.6
concrete,4.59
panty,4.59
pregnant,4.59
helmeted,4.58
hula,4.58
female,4.57
crematory,4.56
pigtailed,4.55
sphincter,4.54
backrest,4.52
blonde,4.52
farmhand,4.52
fat,4.52
hairless,4.52
afghan,4.5
binocular,4.5
naked,4.5
hairy,4.48
saline,4.48
sudsy,4.48
wet,4.46
wooded,4.46
male,4.45
rusted,4.44
aquamarine,4.43
shirtless,4.43
headless,4.42
solid,4.42
beaded,4.41
blond,4.41
soapy,4.41
woodcutting,4.41
prosthetic,4.4
roast,4.4
tartar,4.4
newborn,4.39
feline,4.38
undercooked,4.38
vertebrate,4.38
bloodstained,4.37
flatbed,4.37
joint,4.37
preschool,4.37
beardless,4.36
indigo,4.36
frozen,4.34
barefooted,4.33
hashish,4.33
jeweled,4.33
mummified,4.33
paralegal,4.33
pleated,4.33
puffy,4.33
grassy,4.32
muddy,4.32
mustached,4.32
rainy,4.32
roundtable,4.32
uncircumcised,4.32
acrylic,4.31
bottled,4.31
hot,4.31
sunlit,4.31
euro,4.3
giant,4.3
yellow,4.3
capillary,4.29
dark,4.29
decimal,4.29
freshwater,4.29
pimpled,4.29
pygmy,4.29
