word,AOA
Chão,1.95
Flor,1.55
Mar,2.04
Mês,3.19
Pão,2.32
Rei,3.28
Abril,3.22
Acto,6.02
Actor,4.92
Alta,3.0
Arma,4.1
Arte,6.7
Avô,1.61
Água,2.12
Bairro,4.69
Banco,3.05
Banda,4.1
Banho,2.1
Barco,2.36
Bolsa,5.25
Breve,5.2
Brilho,4.02
Bronze,5.7
Calor,2.52
Cama,1.84
Campo,2.83
Canto,3.12
Carga,5.57
Carne,2.02
Carta,3.6
Casa,1.55
Casal,4.82
Caso,6.8
Cena,5.6
Cheiro,2.47
Chuva,2.29
Cima,2.32
Classe,4.82
Clima,5.21
Clube,5.06
Coisa,3.14
Compra,3.36
Corpo,3.38
Crise,6.74
Curso,6.19
Custo,4.54
Data,3.26
Dedo,2.66
Dente,2.88
Dia,2.16
Doido,3.55
Doutor,3.34
Droga,6.81
Dúzia,4.65
Face,4.19
Facto,5.93
Fase,6.02
Feira,3.6
Féria,5.12
Ferro,4.18
Fiel,5.74
Filho,2.47
Filme,3.05
Final,5.76
Fio,3.0
Fogo,3.22
Forno,3.9
Frase,4.37
Gente,3.05
Gesto,4.22
Gestor,6.96
Golo,2.75
Grupo,4.71
Guerra,4.4
Hora,2.94
Hotel,4.08
Irmão,2.72
Jantar,2.86
Jardim,2.96
Jovem,5.58
Judeu,6.68
Juiz,5.13
Junho,4.05
Juro,4.16
Ilha,4.18
Leite,1.65
Líder,6.16
Língua,2.65
Linha,2.98
Lista,6.4
Livro,2.6
Lua,2.44
Lucro,5.98
Lume,3.74
Mapa,4.44
Marca,4.68
Março,3.95
Margem,5.85
Mastro,6.63
Média,6.1
Mesa,2.14
Metal,5.4
Metro,6.2
Milhar,6.2
Missão,5.36
Moda,4.76
Modo,4.68
Muro,3.24
Museu,5.49
Neve,2.88
Nível,5.48
Noivo,4.55
Nome,2.21
Norma,8.02
Nota,4.2
Núcleo,7.16
Ombro,3.31
Ordem,4.28
Orgão,5.36
Ouro,4.46
Ovo,2.78
Padrão,7.4
Palco,4.53
Papel,2.44
Parque,3.51
Patrão,5.0
Parte,3.92
Pedra,2.57
Pele,3.2
Perda,4.83
Perna,1.93
Pesca,3.72
Peso,5.14
Pista,6.14
Plano,5.12
Ponte,3.5
Porta,2.06
Posto,5.06
Povo,4.04
Praia,2.78
Prazer,5.3
Prémio,3.9
Prisão,4.79
Quarto,2.5
Queixa,3.82
Questão,5.28
Rádio,2.96
Ramo,4.26
Reacção,6.56
Rede,4.88
Regra,4.27
Resto,4.14
Risco,5.12
Roda,2.29
Rosto,4.05
Roupa,3.58
Rua,2.57
Santo,3.71
Sede,2.35
Sessão,5.74
Série,5.66
Sinal,4.3
Sítio,3.44
Sonho,3.3
Sopa,1.72
Sorte,3.73
Tarde,2.53
Tempo,3.2
Tensão,6.72
Termo,7.94
Terra,3.5
Tiro,3.2
Treino,5.13
Vale,5.0
Valor,5.0
Verão,3.54
Verba,8.42
Verbo,4.88
Via,6.3
Vida,3.35
Vidro,3.38
Vinho,3.76
Vista,3.82
Volta,3.92
Voto,6.33
Ácido,6.37
Adulto,3.73
Afecto,5.26
Agência,6.46
Agosto,3.38
Ajuda,3.4
Álcool,5.5
Aldeia,3.24
Alívio,6.13
Almoço,2.9
Alvará,8.32
Amador,5.88
Amante,6.86
Ambição,6.18
Âmbito,7.98
Amigo,2.74
Anexo,7.43
Angústia,7.88
Animal,2.27
Ânimo,6.9
Apelo,7.05
Aplauso,5.6
Árbitro,5.49
Arbusto,4.85
Areia,2.73
Arguido,8.15
Armário,3.77
Armazém,5.46
Arquivo,6.69
Arranjo,6.19
Arranque,5.9
Artesão,6.8
Artigo,6.82
Artista,4.74
Asilo,6.82
Ataque,5.1
Atleta,5.08
Atraso,4.32
Aumento,5.08
Ausência,5.52
Auxílio,6.64
Azeite,4.1
Baliza,3.64
Bancada,4.96
Barraca,5.21
Barreira,5.68
Batata,2.18
Beleza,4.38
Bilhete,4.16
Bocado,3.44
Bombeiro,3.44
Cabeça,1.65
