word,Valence_all,Dominance_all,Arousal_all
aborcja,2.37,4.15,6.35
absolwent,7.18,6.48,4.44
absurd,4.64,4.68,5.05
afront,3.33,4.64,4.68
agonia,2.52,3.1,4.98
agresywność,2.55,6.23,7.77
agresywny,3.29,6.63,7.27
akceptacja,7.43,5.76,3.49
aktualności,5.5,5.5,4.93
aktywność,7.36,6.59,6.83
aktywować,6.26,6.34,5.49
alarm,3.76,4.39,6.83
aleja,5.64,4.48,2.76
alergia,3.31,2.9,4.37
alimenty,3.45,3.54,5.0
alkoholik,2.05,2.2,5.59
altruizm,6.31,5.1,4.27
ambicja,7.19,7.1,5.37
ambulans,3.43,3.98,5.73
anioł,7.55,5.27,2.93
apartament,7.1,5.15,4.57
apatyczny,4.38,3.58,3.14
aerozol,4.69,4.95,4.67
areszt,1.88,3.45,5.71
armata,4.12,5.4,6.64
arogancki,2.36,5.88,6.32
as,6.83,7.44,5.05
astronauta,6.24,5.29,4.05
atak,2.79,5.62,7.05
atakowanie,3.29,6.1,6.84
atletyka,6.21,6.17,4.71
atrament,4.58,4.6,2.63
autobus,4.38,4.05,4.9
autorytet,7.12,7.18,4.72
autostrada,6.15,6.17,4.98
awans,7.93,7.3,6.49
awanturnictwo,2.85,6.1,7.05
awersja,2.98,4.43,4.57
bachor,3.74,4.21,6.29
bagatelizować,3.69,5.17,3.98
bagno,2.98,2.57,4.69
bajka,7.52,4.83,4.02
bałaganiarski,4.45,4.36,5.22
bałaganiarstwo,3.44,4.09,4.86
bandaż,3.69,4.12,3.61
bandzior,2.95,4.45,6.53
bankrut,2.69,2.74,5.46
bar,5.6,5.57,4.54
bat,2.4,5.23,5.7
bąbel,4.52,4.05,3.71
beczeć,3.05,3.0,5.1
beczka,5.26,4.52,2.78
bejcowanie,4.85,4.88,4.07
bestia,3.5,5.81,5.83
bezczelność,3.0,6.3,6.16
bezczelny,3.13,5.38,6.43
bezinteresowność,6.61,4.1,3.74
bezkarność,3.14,6.21,5.71
bezmyślność,2.74,4.02,4.57
bezpieczny,7.17,6.31,2.9
bezplanowy,4.89,4.23,4.42
bezproblemowy,7.0,5.12,3.33
bezradność,2.29,2.79,3.95
bezradny,2.4,2.6,4.73
bezsilny,2.29,1.71,4.63
beztroski,7.14,5.17,3.93
bezużyteczny,3.15,2.9,2.83
bezwstydność,4.84,6.34,5.9
bękart,3.02,3.7,4.29
biały,5.38,3.79,2.68
bieda,2.3,2.65,4.25
biegacz,6.29,5.98,5.31
bitwa,3.52,6.14,7.1
biuro,4.67,4.83,3.81
biżuteria,6.36,5.9,4.47
blady,3.98,2.88,2.95
bliskość,8.39,5.55,4.5
blizna,3.4,3.81,5.17
blondyn,5.62,4.98,4.0
blondynka,6.19,4.85,4.86
bluźnierstwo,2.31,4.54,5.9
błąd,2.51,3.51,4.64
błogosławić,6.52,5.61,3.45
błogostan,8.29,5.98,3.17
błogość,7.52,5.41,3.0
błotnisty,3.24,3.81,3.71
błyskotliwość,7.29,7.24,6.17
bodziec,5.65,5.13,4.9
bogactwa,7.14,6.83,4.86
bogobojny,5.26,3.1,3.64
bohater,7.29,7.0,6.03
bojaźliwy,3.36,2.86,4.74
bokser,4.24,5.93,5.43
bomba,3.5,5.39,7.0
Boże Narodzenie,8.05,5.24,5.83
bóg,6.55,5.95,3.65
ból,1.9,3.98,6.38
ból głowy,2.5,3.77,5.05
ból zęba,1.76,3.19,6.48
brat,7.1,5.73,4.52
brawa,7.17,6.58,5.86
breja,2.1,3.12,3.6
bronowanie,4.23,4.68,3.64
broń,3.0,5.98,6.27
broszura,3.79,4.22,4.0
brud,2.74,2.52,5.17
brudny,2.79,2.69,5.41
brutalność,1.9,5.09,7.38
brutalny,2.74,4.63,6.05
bryła,4.74,4.86,2.93
brzydki,3.07,3.21,3.26
brzydzić,2.48,4.0,5.66
brzytwa,3.9,5.52,5.38
budynek,5.36,4.34,3.1
budzik,3.19,4.07,6.19
bukiet,7.0,5.0,4.55
bułeczka,6.02,4.1,3.61
bunt,4.26,6.62,6.24
burza,5.02,5.52,6.79
butelka,5.74,4.88,3.67
bystrość,7.88,6.67,4.57
cel,6.5,6.73,5.65
cela,2.49,3.0,4.45
chamstwo,2.43,4.57,6.83
chaos,3.45,3.83,6.95
charakter,5.55,6.43,5.17
chata,5.83,5.0,3.17
chciwość,2.82,4.53,5.42
chęć,7.12,6.17,5.52
chirurgia,3.81,5.19,5.93
chłodny,3.66,4.38,2.53
chłopak,6.81,5.8,5.05
chłód,3.73,4.49,4.62
chmury,5.69,4.1,3.55
choleryczność,3.3,5.88,7.12
choroba,1.79,3.2,4.48
choroba morska,2.33,2.5,4.74
chorobliwy,2.54,3.72,4.0
chorowitość,1.9,2.84,3.79
chory,2.07,2.43,3.26
chroniony,6.17,4.71,3.05
chrupać,5.71,4.5,4.76
chusta,5.58,4.28,2.68
chwała,6.84,6.75,5.42
ciało,6.24,5.95,5.02
ciastko,7.44,5.52,4.21
ciasto,7.5,4.1,4.81
cichy,5.21,2.43,2.43
ciekawy,6.93,5.98,5.48
ciemnota,2.79,3.36,4.66
ciemny,4.24,3.9,3.93
cień,4.79,3.14,3.24
ciepło,7.55,5.19,5.05
cierń,2.71,3.19,4.52
cierpienie,1.4,2.88,6.19
cierpliwość,6.55,5.45,3.02
cięcie,3.9,5.21,5.48
ciężarówka,4.56,5.5,3.76
ciężki,3.45,5.12,4.67
ciężko,3.08,3.44,4.6
ciśnienie,4.43,5.52,5.95
cmentarz,2.71,2.69,2.55
cnota,5.88,5.76,3.93
cud,7.51,5.65,6.48
cukier,5.69,4.93,4.9
cukierek,6.45,4.86,4.93
cukierki,7.33,5.44,4.67
cyklon,3.36,5.45,6.17
cyrk,5.86,4.1,5.17
czajnik,5.21,4.35,3.28
czar,6.79,5.1,5.1
czarny,4.74,5.49,4.17
czas,5.1,4.24,4.21
czasopismo,5.19,4.71,3.67
czaszka,4.33,5.05,4.86
czekolada,7.45,5.02,5.88
czerwony,5.26,6.17,6.02
część,4.64,3.88,3.79
człowieczeństwo,6.52,6.17,4.62
człowiek,6.17,5.48,4.4
czołg,4.6,5.43,6.02
czołobitny,4.29,3.93,4.88
czułość,7.35,6.02,3.9
czystość,7.07,4.88,3.29
czysty,7.0,6.55,3.4
delfinek,6.83,4.58,4.14
delikatność,6.74,4.45,3.22
delikatny,6.9,4.3,3.0
demon,3.02,5.52,6.67
dentysta,4.69,4.52,4.88
depresja,1.98,2.51,3.58
deska,4.98,4.2,2.67
desperacja,2.35,3.39,6.95
despotyzm,2.63,6.43,6.6
deszcz,4.33,4.52,3.36
dezerter,3.31,4.14,4.74
diabeł,2.93,5.52,6.56
diament,7.74,6.5,4.46
dług,2.21,3.71,6.0
dobro,7.74,6.34,4.5
dobrobyt,7.38,6.71,4.34
dobroć,7.61,6.21,3.26
dobroduszność,7.31,5.93,3.84
dobrotliwy,7.24,4.93,3.71
dobry,7.13,6.03,4.3
dojrzałość,6.86,6.88,4.29
dokładność,6.84,7.05,3.71
dokuczać,3.07,4.6,6.26
dolar,6.67,6.09,4.74
dom,7.98,6.14,3.43
donosiciel,2.49,4.07,5.18
dopingować,6.98,5.81,6.93
dorosły,6.19,6.49,4.15
doskonałość,7.8,6.93,5.45
dostojny,7.21,7.31,3.59
dowcip,7.47,6.15,5.85
drań,2.55,5.5,6.0
drapacz chmur,5.86,6.48,5.21
drażnić,2.95,5.1,5.51
dreszczyk,5.31,4.83,5.71
drzewo,6.59,5.12,3.0
drzwi,5.0,4.95,3.44
dubeltówka,4.19,6.24,6.02
duch,4.14,4.05,5.4
duma,6.72,7.1,5.23
dumny,6.81,6.51,4.76
dusić,2.24,4.6,5.52
duszący,2.12,4.12,6.36
dwulicowość,2.29,4.85,6.07
dyplom,7.5,6.9,4.34
dyskryminacja,2.86,3.31,5.63
dystyngowany,5.95,5.5,3.88
dzbanek,5.56,4.15,2.73
działo,4.05,5.1,6.02
dzieci,6.44,4.6,5.15
dziecko,6.43,4.38,6.24
dziennik,4.88,4.65,3.38
dziewczyna,7.11,5.93,4.63
dziewica,5.9,5.67,4.17
dziękczynny,6.55,5.57,4.26
dzikość,4.93,6.05,7.2
