# Berardi, Esuli, Marcheggiani (2015)
a1	a2	b1	b2
# capital-common-countries
Atene	Grecia	Baghdad	Iraq
Atene	Grecia	Bangkok	Thailandia
Atene	Grecia	Pechino	Cina
Atene	Grecia	Berlino	Germania
Atene	Grecia	Berna	Svizzera
Atene	Grecia	Cairo	Egitto
Atene	Grecia	Canberra	Australia
Atene	Grecia	Hanoi	Vietnam
Atene	Grecia	Havana	Cuba
Atene	Grecia	Helsinki	Finlandia
Atene	Grecia	Islamabad	Pakistan
Atene	Grecia	Kabul	Afghanistan
Atene	Grecia	Londra	Inghilterra
Atene	Grecia	Madrid	Spagna
Atene	Grecia	Mosca	Russia
Atene	Grecia	Oslo	Norvegia
Atene	Grecia	Ottawa	Canada
Atene	Grecia	Parigi	Francia
Atene	Grecia	Roma	Italia
Atene	Grecia	Stoccolma	Svezia
Atene	Grecia	Tehran	Iran
Atene	Grecia	Tokyo	Giappone
Baghdad	Iraq	Bangkok	Thailandia
Baghdad	Iraq	Pechino	Cina
Baghdad	Iraq	Berlino	Germania
Baghdad	Iraq	Berna	Svizzera
Baghdad	Iraq	Cairo	Egitto
Baghdad	Iraq	Canberra	Australia
Baghdad	Iraq	Hanoi	Vietnam
Baghdad	Iraq	Havana	Cuba
Baghdad	Iraq	Helsinki	Finlandia
Baghdad	Iraq	Islamabad	Pakistan
Baghdad	Iraq	Kabul	Afghanistan
Baghdad	Iraq	Londra	Inghilterra
Baghdad	Iraq	Madrid	Spagna
Baghdad	Iraq	Mosca	Russia
Baghdad	Iraq	Oslo	Norvegia
Baghdad	Iraq	Ottawa	Canada
Baghdad	Iraq	Parigi	Francia
Baghdad	Iraq	Roma	Italia
Baghdad	Iraq	Stoccolma	Svezia
Baghdad	Iraq	Tehran	Iran
Baghdad	Iraq	Tokyo	Giappone
Baghdad	Iraq	Atene	Grecia
Bangkok	Thailandia	Pechino	Cina
Bangkok	Thailandia	Berlino	Germania
Bangkok	Thailandia	Berna	Svizzera
Bangkok	Thailandia	Cairo	Egitto
Bangkok	Thailandia	Canberra	Australia
Bangkok	Thailandia	Hanoi	Vietnam
Bangkok	Thailandia	Havana	Cuba
Bangkok	Thailandia	Helsinki	Finlandia
Bangkok	Thailandia	Islamabad	Pakistan
Bangkok	Thailandia	Kabul	Afghanistan
Bangkok	Thailandia	Londra	Inghilterra
Bangkok	Thailandia	Madrid	Spagna
Bangkok	Thailandia	Mosca	Russia
Bangkok	Thailandia	Oslo	Norvegia
Bangkok	Thailandia	Ottawa	Canada
Bangkok	Thailandia	Parigi	Francia
Bangkok	Thailandia	Roma	Italia
Bangkok	Thailandia	Stoccolma	Svezia
Bangkok	Thailandia	Tehran	Iran
Bangkok	Thailandia	Tokyo	Giappone
Bangkok	Thailandia	Atene	Grecia
Bangkok	Thailandia	Baghdad	Iraq
Pechino	Cina	Berlino	Germania
Pechino	Cina	Berna	Svizzera
Pechino	Cina	Cairo	Egitto
Pechino	Cina	Canberra	Australia
Pechino	Cina	Hanoi	Vietnam
Pechino	Cina	Havana	Cuba
Pechino	Cina	Helsinki	Finlandia
Pechino	Cina	Islamabad	Pakistan
Pechino	Cina	Kabul	Afghanistan
Pechino	Cina	Londra	Inghilterra
Pechino	Cina	Madrid	Spagna
Pechino	Cina	Mosca	Russia
Pechino	Cina	Oslo	Norvegia
Pechino	Cina	Ottawa	Canada
Pechino	Cina	Parigi	Francia
Pechino	Cina	Roma	Italia
Pechino	Cina	Stoccolma	Svezia
Pechino	Cina	Tehran	Iran
Pechino	Cina	Tokyo	Giappone
Pechino	Cina	Atene	Grecia
Pechino	Cina	Baghdad	Iraq
Pechino	Cina	Bangkok	Thailandia
Berlino	Germania	Berna	Svizzera
Berlino	Germania	Cairo	Egitto
Berlino	Germania	Canberra	Australia
Berlino	Germania	Hanoi	Vietnam
Berlino	Germania	Havana	Cuba
Berlino	Germania	Helsinki	Finlandia
Berlino	Germania	Islamabad	Pakistan
Berlino	Germania	Kabul	Afghanistan
Berlino	Germania	Londra	Inghilterra
Berlino	Germania	Madrid	Spagna
Berlino	Germania	Mosca	Russia
Berlino	Germania	Oslo	Norvegia
Berlino	Germania	Ottawa	Canada
Berlino	Germania	Parigi	Francia
Berlino	Germania	Roma	Italia
Berlino	Germania	Stoccolma	Svezia
Berlino	Germania	Tehran	Iran
Berlino	Germania	Tokyo	Giappone
Berlino	Germania	Atene	Grecia
Berlino	Germania	Baghdad	Iraq
Berlino	Germania	Bangkok	Thailandia
