# Grave, et al. (2018)
a1	a2	b1	b2
# gram10-adjective-to-noun
मीठा	मिठास	दुष्ट	दुष्टता
मीठा	मिठास	महान्	महानता
मीठा	मिठास	निर्धन	निर्धनता
मीठा	मिठास	धीर	धीरता
मीठा	मिठास	सुखद	सुखदायी
मीठा	मिठास	सभ्य	सभ्यता
मीठा	मिठास	साहित्यिक	साहित्य
मीठा	मिठास	एक	एकता
मीठा	मिठास	कायर	कायरता
मीठा	मिठास	चतुर	चतुराई
मीठा	मिठास	सफल	सफ़लता
मीठा	मिठास	गरीब	गरीबी
मीठा	मिठास	लम्बा	लम्बाई
मीठा	मिठास	शीघ्र	शीघ्रता
मीठा	मिठास	अमीर	अमीरी
मीठा	मिठास	बड़ा	बड़प्पन
मीठा	मिठास	शीतल	शीतलता
मीठा	मिठास	रोगी	रोग
मीठा	मिठास	खट्टा	खटास
मीठा	मिठास	बुरा	बुराई
मीठा	मिठास	शिष्ट	शिष्टता
मीठा	मिठास	पीला	पीलापन
मीठा	मिठास	उदार	उदारता
मीठा	मिठास	विद्वान	विद्वता
मीठा	मिठास	उपेक्षित	उपेक्षा
मीठा	मिठास	सुंदर	सुंदरता
मीठा	मिठास	कठोर	कठोरता
मीठा	मिठास	ऊँचा	ऊँचाई
मीठा	मिठास	फुर्तीला	फुर्ती
मीठा	मिठास	गरम	गरमी
मीठा	मिठास	धीरज	धीरता
मीठा	मिठास	स्वस्थ	स्वास्थ्य
मीठा	मिठास	नम्र	नम्रता
मीठा	मिठास	भला	भलाई
मीठा	मिठास	अशिष्ट	अशिष्टता
दुष्ट	दुष्टता	मीठा	मिठास
दुष्ट	दुष्टता	महान्	महानता
दुष्ट	दुष्टता	निर्धन	निर्धनता
दुष्ट	दुष्टता	धीर	धीरता
दुष्ट	दुष्टता	सुखद	सुखदायी
दुष्ट	दुष्टता	सभ्य	सभ्यता
दुष्ट	दुष्टता	साहित्यिक	साहित्य
दुष्ट	दुष्टता	एक	एकता
दुष्ट	दुष्टता	कायर	कायरता
दुष्ट	दुष्टता	चतुर	चतुराई
दुष्ट	दुष्टता	सफल	सफ़लता
दुष्ट	दुष्टता	गरीब	गरीबी
दुष्ट	दुष्टता	लम्बा	लम्बाई
दुष्ट	दुष्टता	शीघ्र	शीघ्रता
दुष्ट	दुष्टता	अमीर	अमीरी
दुष्ट	दुष्टता	बड़ा	बड़प्पन
दुष्ट	दुष्टता	शीतल	शीतलता
दुष्ट	दुष्टता	रोगी	रोग
दुष्ट	दुष्टता	खट्टा	खटास
दुष्ट	दुष्टता	बुरा	बुराई
दुष्ट	दुष्टता	शिष्ट	शिष्टता
दुष्ट	दुष्टता	पीला	पीलापन
दुष्ट	दुष्टता	उदार	उदारता
दुष्ट	दुष्टता	विद्वान	विद्वता
दुष्ट	दुष्टता	उपेक्षित	उपेक्षा
दुष्ट	दुष्टता	सुंदर	सुंदरता
दुष्ट	दुष्टता	कठोर	कठोरता
दुष्ट	दुष्टता	ऊँचा	ऊँचाई
दुष्ट	दुष्टता	फुर्तीला	फुर्ती
दुष्ट	दुष्टता	गरम	गरमी
दुष्ट	दुष्टता	धीरज	धीरता
दुष्ट	दुष्टता	स्वस्थ	स्वास्थ्य
दुष्ट	दुष्टता	नम्र	नम्रता
दुष्ट	दुष्टता	भला	भलाई
दुष्ट	दुष्टता	अशिष्ट	अशिष्टता
महान्	महानता	मीठा	मिठास
महान्	महानता	दुष्ट	दुष्टता
महान्	महानता	निर्धन	निर्धनता
महान्	महानता	धीर	धीरता
महान्	महानता	सुखद	सुखदायी
महान्	महानता	सभ्य	सभ्यता
महान्	महानता	साहित्यिक	साहित्य
महान्	महानता	एक	एकता
महान्	महानता	कायर	कायरता
महान्	महानता	चतुर	चतुराई
महान्	महानता	सफल	सफ़लता
महान्	महानता	गरीब	गरीबी
महान्	महानता	लम्बा	लम्बाई
महान्	महानता	शीघ्र	शीघ्रता
महान्	महानता	अमीर	अमीरी
महान्	महानता	बड़ा	बड़प्पन
महान्	महानता	शीतल	शीतलता
महान्	महानता	रोगी	रोग
महान्	महानता	खट्टा	खटास
महान्	महानता	बुरा	बुराई
महान्	महानता	शिष्ट	शिष्टता
महान्	महानता	पीला	पीलापन
महान्	महानता	उदार	उदारता
महान्	महानता	विद्वान	विद्वता
महान्	महानता	उपेक्षित	उपेक्षा
महान्	महानता	सुंदर	सुंदरता
महान्	महानता	कठोर	कठोरता
महान्	महानता	ऊँचा	ऊँचाई
महान्	महानता	फुर्तीला	फुर्ती
महान्	महानता	गरम	गरमी
महान्	महानता	धीरज	धीरता
महान्	महानता	स्वस्थ	स्वास्थ्य
महान्	महानता	नम्र	नम्रता
महान्	महानता	भला	भलाई
महान्	महानता	अशिष्ट	अशिष्टता
निर्धन	निर्धनता	मीठा	मिठास
निर्धन	निर्धनता	दुष्ट	दुष्टता
निर्धन	निर्धनता	महान्	महानता
निर्धन	निर्धनता	धीर	धीरता
निर्धन	निर्धनता	सुखद	सुखदायी
निर्धन	निर्धनता	सभ्य	सभ्यता
निर्धन	निर्धनता	साहित्यिक	साहित्य
निर्धन	निर्धनता	एक	एकता
निर्धन	निर्धनता	कायर	कायरता
निर्धन	निर्धनता	चतुर	चतुराई
निर्धन	निर्धनता	सफल	सफ़लता
निर्धन	निर्धनता	गरीब	गरीबी
निर्धन	निर्धनता	लम्बा	लम्बाई
निर्धन	निर्धनता	शीघ्र	शीघ्रता
निर्धन	निर्धनता	अमीर	अमीरी
निर्धन	निर्धनता	बड़ा	बड़प्पन
निर्धन	निर्धनता	शीतल	शीतलता
निर्धन	निर्धनता	रोगी	रोग
