Albania	Αλβανία
Albanian	αλβανικός
Argentina	Αργεντινή
Argentinean	αργεντίνικος
Australia	Αυστραλία
Australian	αυστραλέζικος
Austria	Αυστρία
Austrian	αυστριακός
Belarus	Λευκορωσία
Belorussian	λευκορώσικος
Brazil	Βραζιλία
Brazilian	βραζιλιάνικος
Bulgaria	Βουλγαρία
Bulgarian	βουλγαρικός
Cambodia	Καμπότζη
Cambodian	καμποτζιανός
Chile	Χιλή
Chilean	χιλιανικός
China	Κίνα
Chinese	κινέζικος
Colombia	Κολομβία
Colombian	κολομβιακός
Croatia	Κροατία
Croatian	κροατικός
Danish	δανικός
Denmark	Δανία
Dutch	ολλανδικός
Egypt	Αίγυπτος
Egyptian	αιγυπτιακός
England	Αγγλία
English	αγγλικός
France	Γαλλία
French	γαλλικός
German	γερμανικός
Germany	Γερμανία
Greece	Ελλάδα
Greek	ελληνικός
Iceland	Ισλανδία
Icelandic	ισλανδικός
India	Ινδία
Indian	ινδικός
Ireland	Ιρλανδία
Irish	ιρλανδικός
Israel	Ισραήλ
Israeli	ισραηλητικός
Italian	ιταλικός
Italy	Ιταλία
Japan	Ιαπωνία
Japanese	γιαπωνέζικος
Korea	Κορέα
Korean	κορεάτικος
Macedonia	Σκόπια
Macedonian	σκοπιανικός
Malta	Μάλτα
Maltese	μαλτέζικος
Mexican	μεξικανικός
Mexico	Μαξικό
Moldova	Μόλδαβία
Moldovan	μολδαβικός
Netherlands	Ολλανδία
Norway	Νορβηγία
Norwegian	νορβηγικός
Peru	Περού
Peruvian	περουβιανός
Poland	Πολωνία
Polish	πολωνικός
Portugal	Πορτογαλία
Portuguese	πορτογαλικός
Russia	Ρωσία
Russian	ρώσικος
Slovakia	Σλοβακία
Slovakian	σλοβάκικος
Spain	Ισπανία
Spanish	ισπανικός
Sweden	Σουηδία
Swedish	σουηδικός
Swiss	ελβετικός
Switzerland	Ελβετία
Thai	ταϊλανδικός
Thailand	Ταϊλανδία
Ukraine	Ουκρανία
Ukrainian	ουκρανικός
acceptable	αποδεκτός
amazing	καταπληκτικό
amazingly	καταπλητικά
apparent	προφανής
apparently	προφανώς
aunt	θεία
aware	έχω_επιγνωση
bad	κακός
banana	μπανάνα
bananas	μπανάνες
best	o_καλύτερος
better	καλύτερος
big	μεγάλος
bigger	μεγαλύτερος
biggest	o_μεγαλύτερος
bird	πουλί
birds	πουλιά
bottle	μπουκάλι
bottles	μπουκάλια
boy	αγόρι
bride	νύφη
bright	λαμπρός
brighter	λαμπρότερος
brightest	o_λαμπρότερος
brother	αδερφός
brothers	αδερφοί
building	κτήριο
buildings	κτήρια
calm	ήρεμος
calmly	ήρεμα
car	αυτοκίνητο
cars	αυτοκίνητα
cat	γάτα
cats	γάτες
certain	σίγουρος
cheap	φτηνός
cheaper	φτηνότερος
cheerful	ευδιάθετος
cheerfully	ευδιάθετα
child	παιδί
children	παιδιά
clear	καθαρός
cloud	σύννεφο
clouds	σύννεφα
code	προγραμματίζω
coding	προγραμματίζοντας
cold	κρύος
colder	πιο_κρύος
coldest	ο_πιο_κρύος
color	χρώμα
colors	χρώματα
comfortable	άνετος
competitive	ανταγωνιστικός
complete	πλήρης
completely	τελείως
computer	υπολογιστής
computers	υπολογιστές
consistent	συνεπής
convenient	πρακτκός
convincing	πειστκός
cool	γαμάτος
cooler	πιο_γαμάτος
