acceptable	acceptabel
Albania	Albanië
Albanian	Albanees
amazing	verbazingwekkend
amazingly	verbazingwekkend
apparent	ogenschijnlijk
apparently	ogenschijnlijk
Argentina	Argentinië
Argentinean	Argentijns
aunt	tante
Australia	Australië
Australian	Australisch
Austria	Oostenrijk
Austrian	Oostenrijks
aware	bewust
bad	slecht
banana	banaan
bananas	bananen
Belarus	Wit-Rusland
Belorussian	Wit-Russisch
best	best
better	beter
big	groot
bigger	groter
biggest	grootst
bird	vogel
birds	vogels
bottle	fles
bottles	flessen
boy	jongen
Brazil	Brazilië
Brazilian	Braziliaans
bride	bruid
bright	fel
brighter	feller
brightest	felst
brother	broer
brothers	broers
building	gebouw
buildings	gebouwen
Bulgaria	Bulgarije
Bulgarian	Bulgaars
calm	kalm
calmly	kalm
Cambodia	Cambodia
Cambodian	Cambodiaans
car	auto
cars	autos
cat	kat
cats	katten
certain	zeker
cheap	goedkoop
cheaper	goedkoper
cheerful	vrolijk
cheerfully	vrolijk
child	kind
children	kinderen
Chile	Chili
Chilean	Chileens
China	China
Chinese	Chinees
clear	duidelijk
cloud	wolk
clouds	wolken
code	programmeer
coding	programmeren
cold	koud
colder	kouder
coldest	koudst
Colombia	Colombia
Colombian	Colombiaans
color	kleur
colors	kleuren
comfortable	comfortabel
competitive	competitief
complete	compleet
completely	compleet
computer	computer
computers	computers
consistent	consistent
convenient	handig
convincing	overtuigend
cool	gaaf
cooler	gaver
coolest	gaafst
cow	koe
cows	koeien
Croatia	Kroatië
Croatian	Kroatisch
dad	papa
dance	dans
danced	dansde
dancing	dansen
Danish	Deens
dark	donker
darkest	donkerst
daughter	dochter
daughters	dochters
debug	debug
debugging	debuggen
decided	beslist
decrease	verminder
decreased	verminderde
decreases	vermindert
decreasing	verminderen
deep	diep
deeper	dieper
Denmark	Denemarken
describe	beschrijf
described	beschreef
describes	beschrijft
describing	beschrijven
discover	ontdek
discovering	ontdekken
dishonest	oneerlijk
distasteful	wansmakelijk
dog	hond
dogs	honden
dollar	dollar
dollars	dollars
donkey	ezel
donkeys	ezels
dream	droom
dreams	dromen
Dutch	Nederlands
eagle	arend
eagles	arenden
easier	makkelijker
easiest	makkelijks
easy	makkelijk
eat	eet
eats	eet
efficient	efficiënt
efficiently	efficiënt
Egypt	Egypte
Egyptian	Egyptisch
elephant	olifant
elephants	olifanten
England	Engeland
English	Engels
enhance	verbeter
enhanced	verbeterde
enhances	verbetert
enhancing	verbeteren
estimate	schat
estimates	schat
ethical	ethisch
eye	oog
eyes	ogen
falling	vallen
fast	snel
faster	sneller
fastest	snelst
father	vader
fed	voedde
feeding	voeren
fell	viel
find	vind
finds	vindt
finger	vinger
fingers	vingers
flew	vloog
fly	vlieg
flying	vliegen
fortunate	gelukkig
fortunately	gelukkig
France	Frankrijk
free	vrij
freely	vrijelijk
French	Frans
furious	furieus
furiously	furieus
generate	genereer
generated	genereerde
generates	genereert
generating	genereren
German	Duits
Germany	Duitsland
girl	meisje
go	ga
goat	geit
goats	geiten
goes	gaat
going	gaan
good	goed
granddaughter	kleindochter
grandfather	grootvader
grandma	oma
grandmother	grootmoeder
grandpa	opa
grandson	kleinzoon
