acceptable	aceitável
Albania	Albânia
Albanian	Albanês
amazing	incrível
amazingly	incrivelmente
apparent	aparente
apparently	aparentemente
Argentina	Argentina
Argentinean	Argentino
aunt	tia
Australia	Austrália
Australian	Australiano
Austria	Áustria
Austrian	Austríaco
aware	consciente
bad	mau
banana	banana
bananas	bananas
Belarus	Bielorússia
Belorussian	Bielorusso
best	melhor
better	melhor
big	grande
bigger	maior
biggest	o maior
bird	pássaro
birds	pássaros
bottle	garrafa
bottles	garrafas
boy	rapaz
Brazil	Brasil
Brazilian	Brasileiro
bride	noiva
bright	brilhante
brighter	mais_brilhante
brightest	o_mais_brilhante
brother	irmão
brothers	irmãos
building	construção
buildings	construções
Bulgaria	Bulgária
Bulgarian	Búlgaro
calm	calmo
calmly	calmamente
Cambodia	Camboja
Cambodian	Cambojano
car	carro
cars	carros
cat	gato
cats	gatos
certain	certo
cheap	barato
cheaper	mais_barato
cheerful	alegre
cheerfully	alegremente
child	criança
children	crianças
Chile	Chile
Chilean	Chileno
China	China
Chinese	Chinês
clear	claro
cloud	nuvem
clouds	nuvens
code	código
coding	codificação
cold	frio
colder	mais_frio
coldest	o_mais_frio
Colombia	Colômbia
Colombian	Colombiano
color	cor
colors	cores
comfortable	comfortável
competitive	competitivo
complete	completo
completely	completamente
computer	computador
computers	computadores
consistent	consistente
convenient	conveniente
convincing	convincente
cool	frio
cooler	mais_frio
coolest	o_mais_frio
cow	vaca
cows	vacas
Croatia	Croácia
Croatian	Croata
dad	pai
dance	dança
danced	dançou
dancing	dançar
Danish	Dinamarquês
dark	escuro
darkest	o_mais_escuro
daughter	filha
daughters	filhas
debug	depurar
debugging	depuração
decided	decidiu
decrease	diminuir
decreased	diminuiu
decreases	diminui
decreasing	diminuindo
deep	profundo
deeper	mais_profundo
Denmark	Dinamarca
describe	descreve
described	descreveu
describes	descreve
describing	descrevendo
discover	descobrir
discovering	descobrindo
dishonest	desonesto
distasteful	desagradável
dog	cão
dogs	cães
dollar	dólar
dollars	dólares
donkey	burro
donkeys	burros
dream	sonho
dreams	sonhos
Dutch	Holandês
eagle	águia
eagles	águias
easier	mais_fácil
easiest	o_mais_fácil
easy	fácil
eat	comer
eats	come
efficient	eficiente
efficiently	efficientemente
Egypt	Egito/Egipto
Egyptian	Egípcio
elephant	elefante
elephants	elefantes
England	Inglaterra
English	Inglês
enhance	realçar
enhanced	realçado
enhances	realça
enhancing	realçando
estimate	estimar
estimates	estima
ethical	ético
eye	olho
eyes	olhos
falling	cair
fast	rápido
faster	mais_rápido
fastest	o_mais_rápido
father	pai
fed	alimentado
feeding	alimentar
fell	caiu
find	encontrar
finds	encontra
finger	dedo
fingers	dedos
flew	voou
fly	voar
flying	vôo
fortunate	afortunado
fortunately	afortunadamente
France	França
free	livre
freely	livremente
French	Francês
furious	furioso
furiously	furiosamente
generate	gerar
generated	gerado
generates	gera
generating	gerando
German	Alemão
Germany	Alemanha
girl	rapariga
go	ir
goat	cabra
goats	cabras
goes	vai
going	indo
good	bom
granddaughter	neta
grandfather	avó
grandma	avó
grandmother	avõ
grandpa	avô
grandson	neto
great	grande
greater	maior
greatest	o_maior
Greece	Grécia
Greek	Grego
groom	noivo
hand	mão
hands	mãos
happily	alegremente
happy	alegre
hard	difícil
harder	mais_difícil
he	ele
heavier	mais_pesado
heavy	pesado
her	ela
hid	escondeu
hiding	escondendo
high	alto
higher	mais_alto
highest	o_mais_alto
his	dele
hit	acertar
hitting	acertando
honest	honesto
horse	cavalo
horses	cavalos
hot	quente
hotter	mais_quente
hottest	o_mais_quente
husband	marido
Iceland	Islândia
Icelandic	Islandês
illogical	Ilógico
immediate	imediato
immediately	imediatamente
implement	implementar
implemented	implementado
implementing	implementando
implements	implementa
impossible	impossível
impossibly	impossivelmente
impressive	impressionante
inconsistent	inconsistente
inconvenient	inconveniente
increase	aumento
increased	aumentado
increases	aumenta
increasing	aumentando
India	Índia
Indian	Indiano
inefficient	ineficiente
informative	informativo
informed	informado
infrequent	infrequente
infrequently	infrequentemente
invent	inventar
inventing	inventando
Ireland	Irlanda
Irish	Irlandês
irrational	irracional
irresponsible	irresponsável
Israel	Israel
Israeli	Israelense
Italian	Italiano
Italy	Itália
Japan	Japão
Japanese	Japonês
jump	saltar
jumped	saltou
jumping	saltando
king	rei
knew	sabia
knowing	sabendo
known	sabido
Korea	Coreia
Korean	Coreano
large	grande
larger	maior
largest	o_maior
likely	provável
lion	li
lions	leão
listen	ouvir
listened	ouviu
listening	ouvindo
listens	ouve
logical	lógico
long	longo
longer	mais_longo
longest	o_mais_longo
look	olhar
looked	olhou
looking	olhando
loud	alto
louder	mais_alto
low	baixo
lower	mais_baixo
lowest	o_mais_baixo
luckiest	o_mais_sortudo
luckily	afortunadamente
lucky	sortudo
Macedonia	Macedonia
Macedonian	Macedônio
machine	máquina
machines	máquinas
Malta	Malta
Maltese	Maltês
man	homem
mango	manga
mangoes	mangas
melon	melão
melons	melões
men	homens
Mexican	Mexicano
Mexico	México
mice	ratos
Moldova	Moldova
Moldovan	Moldavo
mom	mãe
monkey	macaco
monkeys	macacos
most	a_maioria
mostly	maioritariamente
mother	mãe
mouse	rato
move	move
moved	moveu
moving	movendo
nephew	sobrinho
Netherlands	Países_Baixos
new	novo
newer	mais_novo
niece	sobrinha
Norway	Noruega
Norwegian	Norueguês
obvious	óbivo
obviously	obviamente
occasional	ocasional
occasionally	ocasionalmente
old	velho
older	mais_velho
oldest	o_mais_velho
onion	cebola
onions	cebolas
paid	pago
paying	pagando
pear	pêra
pears	pêras
Peru	Peru
Peruvian	Peruano
pig	porco
pigs	porcos
pineapple	ananás
pineapples	ananases
play	jogar
played	jogou
playing	jogando
plays	joga
pleasant	agradável
Poland	Polónia
policeman	polícia
policewoman	polícia
Polish	Polaco
Portugal	Portugal
Portuguese	Portugues
possible	possível
possibly	possivelmente
precise	preciso
precisely	precisamente
predict	prever
predicted	preveu
predicting	prevendo
predicts	preve
prince	princípe
princess	princesa
productive	productivo
professional	profissional
professionally	profissionalmente
provide	providenciar
provides	providencia
queen	rainha
quick	rápido
quicker	mais_rápido
quickest	o_mais_rápido
quickly	rapidamente
quiet	calmo
quietly	calmamente
ran	correu
rapid	rápido
rapidly	rapidamente
rare	raro
rarely	raramente
rat	ratazana
rational	racional
rats	ratazanas
read	ler
reading	leu
reasonable	razoável
reluctant	relutante
reluctantly	relutantemente
responsible	responsável
road	estrada
roads	estradas
run	correr
running	correndo
Russia	Rússia
Russian	Russo
safe	seguro
safely	seguramente
safer	mais_seguro
said	disse
sang	cantou
sat	sentou
saw	viu
say	dizer
saying	dizendo
says	diz
scream	gritar
screamed	gritou
screaming	gritando
screams	gritos
search	procurar
searches	procura
see	ver
seeing	vendo
sees	vê
selling	vendendo
serious	sério
seriously	seriamente
sharp	afiado
sharper	mais_afiado
sharpest	o_mais_afiado
she	ela
short	baixo
shorter	mais_baixo
