acceptable	accettabile
Albania	albania
Albanian	albanese
amazing	incredibile
amazingly	incredibilmente
apparent	apparente
apparently	apparentemente
Argentina	argentia
Argentinean	argentino
aunt	zia
Australia	australia
Australian	australiano
Austria	austria
Austrian	austriaco
aware	consapevole
bad	cattivo
banana	banana
bananas	banane
Belarus	Bielorussia
Belorussian	Bielorusso
best	migliore
better	meglio
big	grande
bigger	piú_grande
biggest	il_maggiore
bird	uccello
birds	uccelli
bottle	bottiglia
bottles	bottiglie
boy	ragazzo
Brazil	brazile
Brazilian	braziliano
bride	sposa
bright	luminoso
brighter	piú_luminoso
brightest	il_piú_luminoso
brother	fratello
brothers	fratelli
building	edificio
buildings	edifici
Bulgaria	Bulgaria
Bulgarian	Bulgaro
calm	calmo
calmly	con_calma
Cambodia	cambogia
Cambodian	cambogiano
car	macchina
cars	macchine
cat	gatto
cats	gatti
certain	sicuro
cheap	economico
cheaper	piú_economico
cheerful	allegro
cheerfully	allegramente
child	bambino
children	bambini
Chile	Cile
Chilean	cileno
China	cina
Chinese	cinese
clear	chiaro
cloud	nuvola
clouds	nuvole
code	codice
coding	codificando
cold	freddo
colder	piú_freddo
coldest	il_piú_freddo
Colombia	Colombia
Colombian	colombiano
color	colore
colors	colori
comfortable	comodo
competitive	competitivo
complete	completo
completely	completamente
computer	computer
computers	computer
consistent	consistente
convenient	conveniente
convincing	convincente
cool	figo
cooler	piú_figo
coolest	il_piú_figo
cow	mucca
cows	mucche
Croatia	croazia
Croatian	croato
dad	papá
dance	ballo
danced	ballato
dancing	ballare
Danish	danese
dark	scuro
darkest	il_piú_scuro
daughter	figlia
daughters	figlie
debug	debug
debugging	fare_debug
decided	deciso
decrease	diminuire
decreased	diminuito
decreases	diminuzioni
decreasing	diminuendo
deep	profondo
deeper	piú_profondo
Denmark	Danimarca
describe	descrivere
described	descritto
describes	descrive
describing	descrivendo
discover	scoperta
discovering	scoprendo
dishonest	disonesto
distasteful	disgustevole
dog	cane
dogs	cani
dollar	dollaro
dollars	dollari
donkey	asino
donkeys	asini
dream	sogno
dreams	sogni
Dutch	Olandese
eagle	aquila
eagles	aquile
easier	piú_facile
easiest	il_piú_facile
easy	facile
eat	mangiare
eats	mangia
efficient	efficiente
efficiently	efficientemente
Egypt	egitto
Egyptian	egiziano
elephant	elefante
elephants	elefanti
England	inghilterra
English	inglese
enhance	rafforzare
enhanced	rafforzato
enhances	rafforza
enhancing	rafforzante
estimate	stima
estimates	stime
ethical	etico
eye	occhio
eyes	occhi
falling	cadendo
fast	veloce
faster	piú_veloce
fastest	il_piú_veloce
father	padre
fed	cibato
feeding	cibare
fell	cadde
find	trovare
finds	trova
finger	dito
fingers	dita
flew	voló
fly	volare
flying	volando
fortunate	fortunato
fortunately	fortunatamente
France	francia
free	libero
freely	liberamente
French	francese
furious	furioso
furiously	furiosamente
generate	generare
generated	generato
generates	genera
generating	generando
German	tedesco
Germany	Germania
girl	ragazza
go	andare
goat	capra
goats	capre
goes	va
going	andando
good	buono
granddaughter	nipote
grandfather	nonno
grandma	nonna
grandmother	nonna
grandpa	nonno
grandson	nipote
great	grande
greater	piú_grande
greatest	il_maggiore
Greece	grecia
Greek	greco
groom	sposo
hand	mano
hands	mani
happily	felicemente
happy	felice
hard	duro
harder	piú_duro
he	lui
heavier	piú_pesante
heavy	pesante
her	suo
hid	nascose
hiding	nascondendo
high	alto
higher	piú_alto
highest	il_piú_alto
his	suo
hit	colpire
hitting	colpendo
honest	sincero
horse	cavallo
horses	cavalli
hot	caldo
hotter	piú_caldo
hottest	il_piú_caldo
husband	marito
Iceland	Islanda
Icelandic	islandese
illogical	illogico
immediate	immediato
immediately	immediatamente
implement	implementare
implemented	implementato
implementing	implementando
implements	implementa
impossible	impossibile
impossibly	impossibilmente
impressive	impressionante
inconsistent	inconsistente
inconvenient	inconveniente
increase	aumentare
increased	aumentato
increases	aumenta
increasing	aumentando
India	india
Indian	indiano
inefficient	inefficiente
informative	informativo
informed	informato
infrequent	infrequente
infrequently	infrequentemente
invent	inventare
inventing	inventando
Ireland	irlanda
Irish	irlandese
irrational	irrazionale
irresponsible	irresponsabile
Israel	israel
Israeli	israeliano
Italian	italiano
Italy	italiano
Japan	Giappone
Japanese	giapponese
jump	saltare
jumped	saltato
jumping	saltando
king	re
knew	seppe
knowing	sapendo
known	saputo
Korea	corea
Korean	coreano
large	ampio
larger	piú_ampio
largest	il_piú_ampio
likely	possibile
lion	leone
lions	leoni
listen	ascoltare
listened	ascoltato
listening	ascoltando
listens	ascolta
logical	logico
long	lungo
longer	piú_lungo
longest	il_piú_lungo
look	guardare
looked	guardato
looking	guardando
loud	rumoroso
louder	piú_rumoroso
low	basso
lower	piú_basso
lowest	il_piú_basso
luckiest	il_piú_fortunato
luckily	fortunatamente
lucky	fortunato
Macedonia	macedonia
Macedonian	macedone
machine	macchina
machines	macchine
Malta	malta
Maltese	maltese
man	uomo
mango	mango
mangoes	mango
melon	melone
melons	meloni
men	uomini
Mexican	messicano
Mexico	messico
mice	topi
Moldova	moldova
Moldovan	moldovano
mom	mamma
monkey	scimmia
monkeys	scimmie
most	maggiormente
mostly	maggiormente
mother	madre
mouse	topo
move	muovere
moved	mosso
moving	muovendo
nephew	nipote
Netherlands	Olanda
new	nuovo
newer	piú_nuovo
niece	nipote
Norway	norvegia
Norwegian	norvegese
obvious	ovvio
obviously	ovviamente
occasional	occasionale
occasionally	occasionalmente
old	vecchio
older	piú_vecchio
oldest	il_piú_vecchio
onion	cipolla
onions	cipolle
paid	pagato
paying	pagando
pear	pera
pears	pere
Peru	peru
Peruvian	peruviano
pig	maiale
pigs	maiali
pineapple	ananas
pineapples	ananas
play	giocare
played	giocato
playing	giocando
plays	gioca
pleasant	piacevole
Poland	polonia
policeman	polizziotto
policewoman	polizziotta
Polish	polacco
Portugal	portogallo
Portuguese	portoghese
possible	possibile
possibly	possibilmente
precise	preciso
precisely	precisamente
predict	predirre
predicted	predetto
predicting	predicendo
predicts	predice
prince	principe
princess	principessa
productive	produttivo
professional	professionale
professionally	professionalmente
provide	provvedere
provides	provvede
queen	regina
quick	veloce
quicker	piú_veloce
quickest	il_piú_veloce
quickly	velocemente
quiet	silenzioso
quietly	silenziosamente
ran	corse
rapid	veloce
rapidly	velocemente
rare	raro
rarely	raramente
rat	ratto
rational	razionale
rats	ratti
read	leggere
reading	leggendo
reasonable	ragionevole
reluctant	riluttante
reluctantly	riluttantemente
responsible	responsabile
road	strada
roads	strade
run	correre
running	correndo
Russia	russia
Russian	russo
safe	sicuro
