# Italian Word Analogy Test
# Attribution-ShareAlike CC LICENSE http://creativecommons.org/licenses/by-sa/4.0/
# If used in scientific work please cite: http://ceur-ws.org/Vol-1404/paper_11.pdf
: capital-common-countries 
Atene Grecia Baghdad Iraq 
Atene Grecia Bangkok Thailandia 
Atene Grecia Pechino Cina 
Atene Grecia Berlino Germania 
Atene Grecia Berna Svizzera 
Atene Grecia Cairo Egitto 
Atene Grecia Canberra Australia 
Atene Grecia Hanoi Vietnam 
Atene Grecia Havana Cuba 
Atene Grecia Helsinki Finlandia 
Atene Grecia Islamabad Pakistan 
Atene Grecia Kabul Afghanistan 
Atene Grecia Londra Inghilterra 
Atene Grecia Madrid Spagna 
Atene Grecia Mosca Russia 
Atene Grecia Oslo Norvegia 
Atene Grecia Ottawa Canada 
Atene Grecia Parigi Francia 
Atene Grecia Roma Italia 
Atene Grecia Stoccolma Svezia 
Atene Grecia Tehran Iran 
Atene Grecia Tokyo Giappone 
Baghdad Iraq Bangkok Thailandia 
Baghdad Iraq Pechino Cina 
Baghdad Iraq Berlino Germania 
Baghdad Iraq Berna Svizzera 
Baghdad Iraq Cairo Egitto 
Baghdad Iraq Canberra Australia 
Baghdad Iraq Hanoi Vietnam 
Baghdad Iraq Havana Cuba 
Baghdad Iraq Helsinki Finlandia 
Baghdad Iraq Islamabad Pakistan 
Baghdad Iraq Kabul Afghanistan 
Baghdad Iraq Londra Inghilterra 
Baghdad Iraq Madrid Spagna 
Baghdad Iraq Mosca Russia 
Baghdad Iraq Oslo Norvegia 
Baghdad Iraq Ottawa Canada 
Baghdad Iraq Parigi Francia 
Baghdad Iraq Roma Italia 
Baghdad Iraq Stoccolma Svezia 
Baghdad Iraq Tehran Iran 
Baghdad Iraq Tokyo Giappone 
Baghdad Iraq Atene Grecia 
Bangkok Thailandia Pechino Cina 
Bangkok Thailandia Berlino Germania 
Bangkok Thailandia Berna Svizzera 
Bangkok Thailandia Cairo Egitto 
Bangkok Thailandia Canberra Australia 
Bangkok Thailandia Hanoi Vietnam 
Bangkok Thailandia Havana Cuba 
Bangkok Thailandia Helsinki Finlandia 
Bangkok Thailandia Islamabad Pakistan 
Bangkok Thailandia Kabul Afghanistan 
Bangkok Thailandia Londra Inghilterra 
Bangkok Thailandia Madrid Spagna 
Bangkok Thailandia Mosca Russia 
Bangkok Thailandia Oslo Norvegia 
Bangkok Thailandia Ottawa Canada 
Bangkok Thailandia Parigi Francia 
Bangkok Thailandia Roma Italia 
Bangkok Thailandia Stoccolma Svezia 
Bangkok Thailandia Tehran Iran 
Bangkok Thailandia Tokyo Giappone 
Bangkok Thailandia Atene Grecia 
Bangkok Thailandia Baghdad Iraq 
Pechino Cina Berlino Germania 
Pechino Cina Berna Svizzera 
Pechino Cina Cairo Egitto 
Pechino Cina Canberra Australia 
Pechino Cina Hanoi Vietnam 
Pechino Cina Havana Cuba 
Pechino Cina Helsinki Finlandia 
Pechino Cina Islamabad Pakistan 
Pechino Cina Kabul Afghanistan 
Pechino Cina Londra Inghilterra 
Pechino Cina Madrid Spagna 
Pechino Cina Mosca Russia 
Pechino Cina Oslo Norvegia 
Pechino Cina Ottawa Canada 
Pechino Cina Parigi Francia 
Pechino Cina Roma Italia 
Pechino Cina Stoccolma Svezia 
Pechino Cina Tehran Iran 
Pechino Cina Tokyo Giappone 
Pechino Cina Atene Grecia 
Pechino Cina Baghdad Iraq 
Pechino Cina Bangkok Thailandia 
Berlino Germania Berna Svizzera 
Berlino Germania Cairo Egitto 
Berlino Germania Canberra Australia 
Berlino Germania Hanoi Vietnam 
Berlino Germania Havana Cuba 
Berlino Germania Helsinki Finlandia 
Berlino Germania Islamabad Pakistan 
Berlino Germania Kabul Afghanistan 
Berlino Germania Londra Inghilterra 
Berlino Germania Madrid Spagna 
Berlino Germania Mosca Russia 
Berlino Germania Oslo Norvegia 
Berlino Germania Ottawa Canada 
Berlino Germania Parigi Francia 
Berlino Germania Roma Italia 
Berlino Germania Stoccolma Svezia 
Berlino Germania Tehran Iran 
Berlino Germania Tokyo Giappone 
Berlino Germania Atene Grecia 
Berlino Germania Baghdad Iraq 
Berlino Germania Bangkok Thailandia 
Berlino Germania Pechino Cina 
Berna Svizzera Cairo Egitto 
Berna Svizzera Canberra Australia 
Berna Svizzera Hanoi Vietnam 
Berna Svizzera Havana Cuba 
Berna Svizzera Helsinki Finlandia 
Berna Svizzera Islamabad Pakistan 
Berna Svizzera Kabul Afghanistan 
Berna Svizzera Londra Inghilterra 
Berna Svizzera Madrid Spagna 
Berna Svizzera Mosca Russia 
Berna Svizzera Oslo Norvegia 
Berna Svizzera Ottawa Canada 
Berna Svizzera Parigi Francia 
Berna Svizzera Roma Italia 
Berna Svizzera Stoccolma Svezia 
Berna Svizzera Tehran Iran 
Berna Svizzera Tokyo Giappone 
Berna Svizzera Atene Grecia 
Berna Svizzera Baghdad Iraq 
Berna Svizzera Bangkok Thailandia 
Berna Svizzera Pechino Cina 
Berna Svizzera Berlino Germania 
Cairo Egitto Canberra Australia 
Cairo Egitto Hanoi Vietnam 
Cairo Egitto Havana Cuba 
Cairo Egitto Helsinki Finlandia 
Cairo Egitto Islamabad Pakistan 
Cairo Egitto Kabul Afghanistan 
Cairo Egitto Londra Inghilterra 
Cairo Egitto Madrid Spagna 
Cairo Egitto Mosca Russia 
Cairo Egitto Oslo Norvegia 
Cairo Egitto Ottawa Canada 
Cairo Egitto Parigi Francia 
Cairo Egitto Roma Italia 
Cairo Egitto Stoccolma Svezia 
Cairo Egitto Tehran Iran 
Cairo Egitto Tokyo Giappone 
Cairo Egitto Atene Grecia 
Cairo Egitto Baghdad Iraq 
Cairo Egitto Bangkok Thailandia 
Cairo Egitto Pechino Cina 
Cairo Egitto Berlino Germania 
Cairo Egitto Berna Svizzera 
Canberra Australia Hanoi Vietnam 
Canberra Australia Havana Cuba 
Canberra Australia Helsinki Finlandia 
Canberra Australia Islamabad Pakistan 
Canberra Australia Kabul Afghanistan 
Canberra Australia Londra Inghilterra 
Canberra Australia Madrid Spagna 
Canberra Australia Mosca Russia 
Canberra Australia Oslo Norvegia 
Canberra Australia Ottawa Canada 
Canberra Australia Parigi Francia 
Canberra Australia Roma Italia 
Canberra Australia Stoccolma Svezia 
Canberra Australia Tehran Iran 
Canberra Australia Tokyo Giappone 
Canberra Australia Atene Grecia 
Canberra Australia Baghdad Iraq 
Canberra Australia Bangkok Thailandia 
Canberra Australia Pechino Cina 
Canberra Australia Berlino Germania 
Canberra Australia Berna Svizzera 
Canberra Australia Cairo Egitto 
Hanoi Vietnam Havana Cuba 
Hanoi Vietnam Helsinki Finlandia 
Hanoi Vietnam Islamabad Pakistan 
Hanoi Vietnam Kabul Afghanistan 
Hanoi Vietnam Londra Inghilterra 
Hanoi Vietnam Madrid Spagna 
Hanoi Vietnam Mosca Russia 
Hanoi Vietnam Oslo Norvegia 
Hanoi Vietnam Ottawa Canada 
Hanoi Vietnam Parigi Francia 
Hanoi Vietnam Roma Italia 
Hanoi Vietnam Stoccolma Svezia 
Hanoi Vietnam Tehran Iran 
Hanoi Vietnam Tokyo Giappone 
Hanoi Vietnam Atene Grecia 
Hanoi Vietnam Baghdad Iraq 
Hanoi Vietnam Bangkok Thailandia 
Hanoi Vietnam Pechino Cina 
Hanoi Vietnam Berlino Germania 
Hanoi Vietnam Berna Svizzera 
Hanoi Vietnam Cairo Egitto 
Hanoi Vietnam Canberra Australia 
Havana Cuba Helsinki Finlandia 
Havana Cuba Islamabad Pakistan 
Havana Cuba Kabul Afghanistan 
Havana Cuba Londra Inghilterra 
Havana Cuba Madrid Spagna 
Havana Cuba Mosca Russia 
Havana Cuba Oslo Norvegia 
Havana Cuba Ottawa Canada 
Havana Cuba Parigi Francia 
Havana Cuba Roma Italia 
Havana Cuba Stoccolma Svezia 
Havana Cuba Tehran Iran 
Havana Cuba Tokyo Giappone 
Havana Cuba Atene Grecia 
Havana Cuba Baghdad Iraq 
Havana Cuba Bangkok Thailandia 
Havana Cuba Pechino Cina 
Havana Cuba Berlino Germania 
Havana Cuba Berna Svizzera 
Havana Cuba Cairo Egitto 
Havana Cuba Canberra Australia 
Havana Cuba Hanoi Vietnam 
Helsinki Finlandia Islamabad Pakistan 
Helsinki Finlandia Kabul Afghanistan 
Helsinki Finlandia Londra Inghilterra 
Helsinki Finlandia Madrid Spagna 
Helsinki Finlandia Mosca Russia 
Helsinki Finlandia Oslo Norvegia 
Helsinki Finlandia Ottawa Canada 
Helsinki Finlandia Parigi Francia 
Helsinki Finlandia Roma Italia 
Helsinki Finlandia Stoccolma Svezia 
Helsinki Finlandia Tehran Iran 
Helsinki Finlandia Tokyo Giappone 
Helsinki Finlandia Atene Grecia 
Helsinki Finlandia Baghdad Iraq 
Helsinki Finlandia Bangkok Thailandia 
Helsinki Finlandia Pechino Cina 
Helsinki Finlandia Berlino Germania 
Helsinki Finlandia Berna Svizzera 
Helsinki Finlandia Cairo Egitto 
Helsinki Finlandia Canberra Australia 
Helsinki Finlandia Hanoi Vietnam 
Helsinki Finlandia Havana Cuba 
Islamabad Pakistan Kabul Afghanistan 
Islamabad Pakistan Londra Inghilterra 
Islamabad Pakistan Madrid Spagna 
Islamabad Pakistan Mosca Russia 
Islamabad Pakistan Oslo Norvegia 
Islamabad Pakistan Ottawa Canada 
Islamabad Pakistan Parigi Francia 
Islamabad Pakistan Roma Italia 
Islamabad Pakistan Stoccolma Svezia 
Islamabad Pakistan Tehran Iran 
Islamabad Pakistan Tokyo Giappone 
Islamabad Pakistan Atene Grecia 
Islamabad Pakistan Baghdad Iraq 
Islamabad Pakistan Bangkok Thailandia 
Islamabad Pakistan Pechino Cina 
Islamabad Pakistan Berlino Germania 
Islamabad Pakistan Berna Svizzera 
Islamabad Pakistan Cairo Egitto 
Islamabad Pakistan Canberra Australia 
Islamabad Pakistan Hanoi Vietnam 
Islamabad Pakistan Havana Cuba 
Islamabad Pakistan Helsinki Finlandia 
Kabul Afghanistan Londra Inghilterra 
Kabul Afghanistan Madrid Spagna 
Kabul Afghanistan Mosca Russia 
Kabul Afghanistan Oslo Norvegia 
Kabul Afghanistan Ottawa Canada 
Kabul Afghanistan Parigi Francia 
Kabul Afghanistan Roma Italia 
Kabul Afghanistan Stoccolma Svezia 
Kabul Afghanistan Tehran Iran 
Kabul Afghanistan Tokyo Giappone 
Kabul Afghanistan Atene Grecia 
Kabul Afghanistan Baghdad Iraq 
Kabul Afghanistan Bangkok Thailandia 
Kabul Afghanistan Pechino Cina 
Kabul Afghanistan Berlino Germania 
Kabul Afghanistan Berna Svizzera 
Kabul Afghanistan Cairo Egitto 
Kabul Afghanistan Canberra Australia 
Kabul Afghanistan Hanoi Vietnam 
Kabul Afghanistan Havana Cuba 
Kabul Afghanistan Helsinki Finlandia 
Kabul Afghanistan Islamabad Pakistan 
Londra Inghilterra Madrid Spagna 
Londra Inghilterra Mosca Russia 
Londra Inghilterra Oslo Norvegia 
Londra Inghilterra Ottawa Canada 
Londra Inghilterra Parigi Francia 
Londra Inghilterra Roma Italia 
Londra Inghilterra Stoccolma Svezia 
Londra Inghilterra Tehran Iran 
Londra Inghilterra Tokyo Giappone 
Londra Inghilterra Atene Grecia 
Londra Inghilterra Baghdad Iraq 
Londra Inghilterra Bangkok Thailandia 
Londra Inghilterra Pechino Cina 
Londra Inghilterra Berlino Germania 
Londra Inghilterra Berna Svizzera 
Londra Inghilterra Cairo Egitto 
Londra Inghilterra Canberra Australia 
Londra Inghilterra Hanoi Vietnam 
Londra Inghilterra Havana Cuba 
Londra Inghilterra Helsinki Finlandia 
Londra Inghilterra Islamabad Pakistan 
Londra Inghilterra Kabul Afghanistan 
Madrid Spagna Mosca Russia 
Madrid Spagna Oslo Norvegia 
Madrid Spagna Ottawa Canada 
Madrid Spagna Parigi Francia 
