word,Arousal,Familiarity,Tabooness,personal_use,Offensiveness,Valence
anus,,3.83,4.7,2.39,2.26,
ass,,6.78,4.99,5.88,2.42,
asshole,,6.44,5.65,5.36,3.77,
balls,,5.71,3.65,4.81,1.66,
bastard,6.07,5.62,5.53,4.3,3.21,3.36
bitch,,7.0,6.21,5.43,4.6,
blowjob,,5.3,6.61,3.88,2.87,
boner,,5.21,5.55,3.82,2.18,
boobs,,6.53,4.24,5.25,1.82,
booty,,5.9,3.08,4.71,1.45,
breasts,,5.87,3.33,4.59,1.5,
bullshit,,6.47,5.32,5.57,2.58,
butt,,6.26,2.59,5.82,1.34,
buttfuck,,2.94,7.91,1.96,4.82,
castrate,,3.36,4.17,2.31,2.31,
chink,,2.86,6.75,1.69,4.97,
climax,,4.93,2.61,3.86,1.33,
clit,,3.82,6.47,2.77,2.84,
cock,,5.03,6.51,3.38,3.29,
cocksucker,,3.9,7.73,2.44,5.0,
coitus,,1.95,3.35,1.52,1.47,
crap,,6.21,4.01,5.71,1.99,
cum,,4.68,5.99,3.69,2.21,
cunnilingus,,2.24,4.19,1.74,1.84,
cunt,,3.55,7.4,2.22,5.08,
damn,,7.05,3.94,6.52,1.87,
defecate,,3.05,3.51,2.2,2.13,
dick,,5.94,6.23,4.74,3.03,
dildo,,4.14,6.32,2.52,2.73,
dork,,6.16,2.27,5.39,1.61,
dumb,,6.71,3.21,6.39,2.97,
dyke,,3.78,6.5,1.97,4.45,
ejaculate,,4.45,5.53,3.04,1.99,
excrement,,2.99,2.39,2.07,1.61,
fag,,4.87,7.13,2.91,5.08,
fart,,5.84,3.39,4.58,1.75,
fellatio,,2.74,4.85,2.07,1.89,
fornicate,,3.41,3.82,2.24,1.86,
fuck,,7.14,7.5,5.79,4.05,
gay,,6.53,5.22,4.96,2.94,
goddamn,,5.82,5.35,4.49,3.13,
gook,,2.43,4.47,1.68,3.27,
hell,5.38,6.44,3.95,5.5,1.82,2.24
homo,,5.29,6.49,2.89,4.22,
hooker,4.93,4.73,5.31,3.13,3.03,3.34
horny,,5.59,5.1,4.5,2.04,
hump,,4.36,4.21,3.19,1.92,
idiot,4.21,6.27,3.32,5.51,2.57,3.16
jerk,,6.32,3.0,5.53,2.38,
jism,,1.8,3.59,1.36,2.11,
jugs,,4.01,3.53,2.65,2.26,
kike,,1.97,4.63,1.29,3.36,
knockers,,3.72,4.17,2.09,2.38,
lame,,6.12,1.84,6.29,1.77,
lesbo,,4.05,6.18,2.35,3.81,
loser,4.95,6.26,3.08,5.62,3.21,2.25
masturbate,5.67,5.14,6.0,3.64,2.43,5.45
moron,,5.04,3.53,3.71,3.0,
motherfucker,,5.62,7.75,3.97,4.83,
nigger,,4.8,8.45,1.66,6.64,
nipples,,5.32,4.69,3.92,1.82,
nutsack,,3.16,5.42,2.17,3.03,
orgasm,8.1,5.67,5.22,4.38,1.62,8.32
pecker,,2.91,3.53,1.81,1.99,
pee,,6.19,2.64,6.3,1.35,
penis,5.54,5.74,5.01,4.3,1.99,5.9
piss,,5.3,4.3,4.28,2.03,
prick,4.7,3.95,4.68,2.66,3.75,3.98
pussy,,5.36,6.6,3.66,4.36,
queer,,4.72,5.49,2.43,3.7,
randy,,2.25,1.8,1.71,1.16,
retard,,5.68,5.64,3.92,4.52,
rimjob,,2.6,5.72,1.75,3.03,
screw,,5.42,3.22,4.96,1.78,
scrotum,,3.39,4.39,2.14,2.07,
semen,,4.3,4.04,3.34,1.53,
shit,,7.42,5.6,6.23,2.81,
shithead,,4.13,6.05,2.71,3.83,
skank,,4.61,5.51,3.27,3.55,
slut,,6.33,6.28,4.68,4.3,
snatch,,3.88,2.62,3.05,1.72,
sodomize,,3.15,5.12,2.03,3.0,
spic,,2.21,4.6,1.42,3.42,
stupid,4.72,7.13,2.92,6.6,2.69,2.31
suck,,6.59,3.53,6.16,2.13,
testicles,,4.38,4.01,3.22,1.74,
tits,,5.51,5.51,3.48,2.83,
turd,,3.4,3.96,2.32,2.27,
twat,,2.35,5.07,1.89,3.24,
vagina,5.55,4.87,4.82,3.89,1.87,6.14
vibrator,,4.0,5.39,2.55,2.3,
whore,5.85,6.04,6.53,4.53,4.45,2.3
angel,4.83,5.3,1.2,4.25,1.01,7.53
bath,4.16,5.61,1.01,4.86,1.03,7.33
beauty,4.95,6.92,1.03,5.96,1.01,7.82
bird,3.17,5.73,1.03,5.22,1.09,7.27
breeze,4.37,5.13,1.09,4.58,1.03,6.85
bunny,4.06,4.77,1.0,4.06,1.01,7.24
cake,5.0,5.82,1.0,5.21,1.0,7.26
capable,5.08,5.62,1.03,5.22,1.03,7.16
carefree,4.17,4.83,1.28,4.16,1.03,7.54
caress,5.14,4.55,1.74,3.7,1.12,7.84
color,4.73,6.36,1.0,6.11,1.0,7.02
cozy,3.32,5.13,1.01,4.86,1.01,7.39
dignified,4.12,4.18,1.05,3.55,1.03,7.1
friendly,5.11,6.48,1.01,6.23,1.01,8.43
grateful,4.58,5.51,1.01,5.31,1.03,7.37
greet,5.27,5.06,1.14,4.29,1.03,7.0
grin,5.27,4.69,1.1,3.97,1.03,7.4
heal,4.77,5.36,1.03,4.45,1.03,7.09
honest,5.32,6.25,1.03,6.11,1.0,7.7
hug,5.35,6.7,1.06,6.32,1.0,8.0
kindness,4.3,5.81,1.13,5.32,1.01,7.82
kitten,5.08,5.03,1.04,4.51,1.03,6.86
loyal,5.16,5.47,1.01,4.78,1.01,7.55
luscious,5.34,3.78,1.55,2.94,1.18,7.5
luxury,4.75,5.73,1.08,4.77,1.04,7.88
melody,4.98,4.68,1.03,4.17,1.01,7.07
movie,4.93,7.47,1.01,6.99,1.01,6.86
paradise,5.12,5.16,1.03,4.23,1.0,8.72
peace,2.95,6.25,1.03,5.69,1.0,7.72
pet,5.1,5.96,1.03,5.21,1.07,6.79
pillow,2.97,5.83,1.0,6.08,1.0,7.92
queen,4.76,4.76,1.26,4.03,1.12,6.44
rainbow,4.64,4.55,1.23,3.69,1.09,8.14
safe,3.86,5.7,1.01,5.14,1.01,7.07
sailboat,4.88,4.08,1.01,3.38,1.01,7.25
scholar,5.12,5.14,1.01,4.08,1.04,7.26
secure,3.14,5.45,1.03,4.64,1.04,7.57
silk,3.71,4.44,1.03,3.58,1.01,6.9
snuggle,4.16,5.22,1.12,5.18,1.03,7.92
soothe,4.4,4.78,1.04,4.08,1.01,7.3
sunrise,5.06,5.33,1.0,4.79,1.0,7.86
sunset,4.2,5.81,1.0,5.25,1.01,7.68
tune,4.71,4.66,1.05,4.18,1.03,6.93
vision,4.66,5.57,1.03,5.13,1.03,6.62
wise,3.91,5.23,1.03,4.81,1.01,7.52
wish,5.16,6.39,1.01,6.1,1.01,7.09
ace,5.5,4.26,1.03,4.0,1.04,6.88
admired,6.11,5.46,1.01,4.79,1.03,7.74
adventure,6.98,5.71,1.04,5.36,1.04,7.6
alive,5.5,5.62,1.01,5.32,1.01,7.25
awed,5.74,3.68,1.09,3.29,1.05,6.7
bouquet,5.46,4.35,1.0,3.64,1.0,7.02
brave,6.15,5.62,1.0,4.76,1.01,7.15
bride,5.55,5.18,1.05,4.04,1.04,7.34
bright,5.4,5.38,1.0,5.51,1.03,7.5
casino,6.51,5.43,1.42,4.09,1.04,6.81
champ,6.0,4.65,1.03,3.65,1.03,7.18
couple,6.39,6.63,1.11,5.97,1.05,7.41
ecstasy,7.38,4.55,2.65,3.39,1.21,7.98
elated,6.21,3.74,1.03,3.47,1.03,7.45
erotic,7.24,4.92,3.96,3.27,1.65,7.43
excitement,7.67,6.05,1.01,5.6,1.01,7.5
exercise,6.84,7.04,1.03,6.44,1.01,7.13
fame,6.55,6.12,1.1,4.29,1.06,7.93
flirt,6.91,6.55,1.86,5.68,1.36,7.52
food,5.92,8.18,1.08,8.01,1.06,7.65
gift,6.14,6.35,1.01,5.69,1.01,7.77
gold,5.76,5.53,1.01,4.55,1.01,7.54
heaven,5.61,6.29,1.39,5.47,1.05,7.3
hopeful,5.78,5.57,1.01,5.3,1.01,7.1
intercourse,7.0,5.16,3.82,3.47,1.44,7.36
joke,6.74,6.64,1.14,6.45,1.08,8.1
joyful,5.98,5.23,1.05,4.53,1.0,8.22
liberty,5.6,5.13,1.06,3.58,1.04,7.98
lively,5.53,4.82,1.15,4.28,1.03,7.2
loved,6.38,6.97,1.08,6.49,1.0,8.64
lust,6.88,5.22,2.77,3.97,1.45,7.12
muscular,5.47,6.04,1.06,5.08,1.06,6.82
nude,6.41,5.31,3.23,3.95,1.36,6.82
profit,6.68,6.09,1.16,5.01,1.07,7.63
quick,6.57,5.95,1.03,5.8,1.05,6.64
riches,6.17,4.82,1.04,3.61,1.04,7.7
savior,5.8,4.67,1.57,3.7,1.09,7.73
snow,5.75,5.58,1.01,4.76,1.01,7.08
song,6.07,6.97,1.0,6.74,1.0,7.1
star,5.83,5.9,1.03,5.32,1.01,7.27
sunlight,6.1,5.58,1.01,5.05,1.01,7.76
surprised,7.47,6.21,1.01,6.03,1.01,7.47
thrill,8.02,5.01,1.18,4.31,1.01,8.05
wink,5.44,4.84,1.18,4.18,1.03,6.93
wit,5.42,4.36,1.1,3.82,1.04,7.32
zest,5.59,3.19,1.06,2.25,1.03,6.79
alone,4.83,6.08,1.58,5.55,1.38,2.41
blister,4.1,4.01,1.1,3.71,1.05,2.88
broken,5.43,6.01,1.14,5.51,1.21,3.05
