word	emotional_charge	valence	offensiveness	concreteness	familiarity
solvaus	3.81	1.33	1.95	4.51	1.42
hyvŠksyntŠ	4.51	6.82	0.38	5.74	2.9
onnettomuus	5.41	1.11	0.87	2.37	3.36
sŠrky	3.78	1.65	0.54	3.1	3.97
saavutus	3.77	6.65	0.35	4.48	3.3
seikkailu	3.91	6.26	0.29	3.75	2.73
hellyys	6.11	7.93	0.24	4.91	3.36
tuska	5.49	1.02	1.08	5.24	3.19
sovinto	4.45	6.79	0.27	4.58	2.84
kuja	1.13	4.05	0.3	0.58	2.47
kiukku	4.67	2.07	0.95	5.12	3.17
ahdistus	5.48	1.02	1.19	5.95	3.21
laite	0.77	4.29	0.32	0.61	3.39
armeija	3.24	4.08	0.43	1.03	4.34
perse	2.44	2.89	4.29	0.71	5.62
taide	3.16	5.72	0.28	3.5	3.73
perslŠpi	2.53	1.26	5.92	3.32	1.49
vauva	5.44	7.13	0.55	0.51	4.49
tynnyri	0.89	4.12	0.78	0.34	1.69
ŠpŠrŠ	2.87	1.5	5.81	2.77	1.47
kauneus	4.59	6.96	0.41	5.1	5.04
sŠnky	3.29	6.55	0.48	0.32	6.38
olut	3.18	4.77	0.78	0.4	4.78
urpo	2.01	2.37	4.19	3.67	2.33
narttu 	3.52	1.26	6.21	2.41	2.1
onni	6.11	8.03	0.24	6.08	4.24
kukoistus	2.82	6.38	0.27	4.82	1.45
kirja	2.11	5.38	0.25	0.4	6.31
kulho	0.83	4.5	0.24	0.31	2.99
leipŠ	1.65	6.2	0.22	0.37	6.54
veli	5.25	7.18	0.25	0.77	5.65
kamari	1.07	4.59	0.51	0.67	1.47
syšpŠ	5.16	0.81	1.32	2.0	3.03
auto	2.22	5.53	0.23	0.36	7.26
solu	0.89	4.25	0.36	1.77	2.0
tuoli	0.94	4.86	0.23	0.37	5.91
kyrpŠ	2.56	2.24	5.46	0.92	3.19
pylvŠs	0.79	4.13	0.37	0.48	1.78
mukavuus	4.65	7.58	0.3	4.81	4.28
tietokoneÊ	1.48	5.02	0.27	0.33	6.77
luottamus	5.55	7.5	0.34	6.09	4.1
sisŠltš	1.05	4.47	0.34	3.43	2.93
ydin	0.99	3.88	0.34	2.52	2.12
nurkka	0.81	3.85	0.37	0.56	2.99
kŠytŠvŠ	0.91	4.32	0.25	0.52	4.29
mškki	2.75	6.13	0.31	0.36	4.11
ruikku	1.5	1.35	4.28	1.18	1.5
rikos	3.81	1.31	1.21	2.61	3.52
pillu	2.81	2.07	5.85	0.93	3.37
pahus	2.01	2.38	1.57	5.2	2.56
vaara	4.32	1.63	0.64	4.04	3.37
kuolema	6.57	0.97	1.54	3.97	3.85
velka	2.75	1.81	1.05	2.52	3.62
masennus	4.99	0.89	1.24	5.18	3.65
halu	5.48	5.89	1.1	5.32	4.44
tuho	4.36	1.16	1.28	3.58	2.25
mulkku	2.77	1.41	6.22	1.88	3.09
pettymys	5.18	1.41	1.06	5.39	3.18
vaiva	2.6	1.9	0.9	3.55	3.11
lŠŠkŠri	2.37	5.15	0.34	0.49	4.26
ovi	0.79	4.78	0.29	0.35	5.98
uni	4.1	7.1	0.29	3.98	6.29
hissi	0.88	4.67	0.24	0.4	3.33
moottori	1.2	4.6	0.26	0.48	3.83
nautinto	6.48	7.46	0.68	4.96	3.75
liikunta	3.32	6.75	0.31	2.17	5.96
kangas	1.02	4.69	0.27	0.36	3.3
hintti	3.23	1.44	6.59	2.62	3.11
perhe	6.53	7.82	0.21	1.15	5.9
pieru	1.87	2.42	3.24	1.55	3.7
isŠ	6.3	7.35	0.19	0.75	6.86
pelko	5.64	1.56	0.83	5.63	3.92
kenttŠ	0.97	4.57	0.28	0.69	3.46
saasta	2.28	1.3	3.41	2.99	1.64
lippu	1.72	5.04	0.26	0.41	3.37
ruoka	3.43	6.98	0.26	0.46	7.57
tuoksu	4.01	6.64	0.31	2.8	4.02
petos	4.87	0.95	1.99	4.16	2.21
vapaus	5.32	7.47	0.28	6.08	3.58
ystŠvŠ	6.59	8.08	0.23	1.86	6.27
vittu	3.74	2.04	6.05	2.44	6.79
hautajaiset	5.93	1.28	1.03	1.45	2.31
lahja	3.73	7.05	0.23	1.04	3.82
typerys	2.66	1.92	3.71	3.5	2.91
lasi	1.12	4.73	0.25	0.33	5.85
kunnia	4.36	6.18	0.35	5.79	2.56
hauta	4.03	1.76	1.0	0.82	2.37
murhe	4.82	1.3	0.95	5.09	2.9
syyllisyys	5.13	1.66	1.11	5.53	2.65
tapa	1.3	4.35	0.67	4.25	3.91
vasara	0.75	4.23	0.28	0.27	2.48
viha	6.52	1.24	1.5	5.46	4.2
helvetti	4.37	1.27	3.91	5.81	5.31
loma	5.04	7.65	0.22	2.65	6.24
rehellisyys	5.46	7.51	0.39	6.06	4.0
hunaja	1.56	5.44	0.28	0.6	2.32
toivo	5.34	7.34	0.25	6.32	3.49
kauhu	5.09	1.85	0.74	5.43	3.11
sairaala	3.28	3.93	0.45	0.45	3.75
panttivanki	3.89	1.12	1.12	1.08	1.68
talo	1.97	5.75	0.25	0.32	5.4
sairaus	4.82	1.19	1.15	2.72	4.11
parannus	3.9	6.88	0.32	4.48	2.33
teollisuus	1.03	3.83	0.36	1.96	3.02
asukas	1.04	4.66	0.25	0.76	3.44
vamma	3.1	1.6	1.87	1.57	2.76
loukkaus	4.65	1.4	1.67	4.96	3.0
yhdyntŠ	5.22	5.89	2.29	1.33	2.99
hyytelšÊ	0.92	4.12	0.53	0.5	1.67
vitsi	3.27	6.65	0.61	3.06	5.49
ilo	6.03	8.0	0.28	5.27	4.95
oikeus	3.68	6.42	0.41	5.15	3.24
pannu	0.88	4.48	0.4	0.41	2.72
suudelma	7.2	8.01	0.41	1.15	4.39
