word	arousal	valence
Ahdinko	5.19	1.54
Abortti	4.52	2.38
Ahdistus	5.34	1.56
Ahkeruus	3.88	4.88
Ahneus	5.02	1.89
Aikuisuus	3.59	4.41
Aitous	2.98	5.83
Ajatus	3.67	5.3
Ampiainen	4.92	2.88
Apeus	3.63	2.24
Armeija	4.38	3.43
Arvokkuus	3.35	4.83
Asiointi	3.95	3.73
Askel	3.55	4.79
Astia	3.37	4.08
Asukas	3.51	4.07
Aurinko	3.24	5.99
Autuus	2.45	5.28
Avaruus	3.97	4.91
Ehostus	3.41	4.2
Elämä	4.13	5.76
Enkeli	2.67	5.61
Etelä	3.65	5.05
Etevyys	3.63	4.84
Haarniska	3.96	3.47
Haaska	4.18	2.27
Haava	4.35	2.42
Haaveilu	3.21	5.82
Halaus	3.43	6.13
Halvaus	4.71	1.52
Hankaluus	4.66	2.28
Happamuus	3.81	2.95
Hauta	3.81	2.41
Hellyys	2.84	6.43
Herjaus	5.19	1.84
Hermo	4.26	3.46
Hetki	3.22	5.07
Hiekka	2.89	4.85
Hienous	3.57	4.79
Hihitys	4.29	4.5
Hipiä	3.48	4.59
Hitaus	3.95	2.8
Hoitaja	3.02	4.68
Holkki	3.59	3.83
Huone	3.37	4.27
Hurmio	5.01	5.26
Hurmuri	4.12	4.18
Huuma	4.85	4.88
Huvila	2.94	5.53
Hylkäys	5.2	1.64
Hylly	3.28	4.11
Hyrinä	3.18	4.57
Hyvyys	3.01	5.9
Hyväily	4.37	6.24
Hyökkäys	5.51	2.17
Häirintä	5.15	1.94
Hämähäkki	4.46	2.67
Häpeä	4.67	1.79
Häpäisy	5.43	1.51
Häviäjä	4.44	2.35
Hölmöys	4.09	2.84
Ihailu	3.97	5.22
Ihanuus	3.55	5.99
Ihastus	5.25	6.07
Ilmoitus	3.78	3.93
Iloisuus	3.89	6.25
Innokkuus	4.71	5.27
Intohimo	5.32	5.89
Irvokkuus	4.69	2.11
Istuin	3.17	4.49
Itsekkyys	4.88	2.14
Jalous	3.02	5.32
Juhla	4.49	5.54
Jumaluus	3.91	4.07
Juoksija	3.89	4.16
Juoma	3.52	4.88
Juoru	4.87	2.51
Kaarna	2.84	4.94
Kaide	3.31	4.14
Kaiku	3.3	4.77
Kakku	3.28	5.19
Kalastus	3.15	4.62
Kallio	2.82	5.17
Kallo	3.75	3.28
Kalpeus	3.31	2.67
Kampa	3.34	4.13
Kampaus	3.5	4.52
Kangas	3.45	4.4
Kangastus	3.13	4.69
Kankeus	3.67	2.36
Kannuste	3.83	5.0
Kannustus	4.02	5.79
Kanootti	3.39	4.49
Kansa	3.7	4.13
Kappale	3.54	4.35
Karkki	3.57	5.04
Kaste	2.96	5.03
Kasvain	5.43	1.4
Kasvi	2.95	5.11
Katkeruus	4.5	1.81
Kauneus	3.6	5.86
Kavallus	4.69	1.87
Kavaltaja	5.21	1.65
Kaveruus	3.26	5.72
Kehitys	3.95	4.78
Keksintö	4.19	4.89
Kerskailu	4.98	1.82
Kiduttaja	5.77	1.28
