word	taboo_personal	taboo_general	insulting
aanslag	2.41	2.76	1.7
aarslog	2.72	3.1	3.36
aarsneger	4.71	5.28	5.37
aarsridder	3.15	3.84	3.93
abortus	2.57	4.39	1.91
abortuskind	3.52	4.7	4.4
aftrekken	3.29	4.47	1.51
afvalturk	3.82	4.32	4.77
agressief	1.69	2.02	1.79
aids	2.75	4.11	2.62
alleen	1.46	1.69	1.36
allesneuker	4.08	4.87	5.21
allochtoon	1.77	3.1	2.39
ambitie	1.02	1.13	1.05
ambitieus	1.13	1.18	1.0
amputatie	1.64	2.28	1.3
anaal	3.47	4.43	1.87
angst	1.57	1.91	1.3
anus	2.6	3.53	2.01
anusgezwel	4.33	4.9	4.24
anuslikker	4.46	5.26	5.3
apathie	1.59	1.66	1.69
apathisch	1.53	1.7	2.11
applaus	1.0	1.01	1.0
avontuurlijk	1.01	1.1	1.0
baggerslet	4.29	4.85	5.63
ballen	1.67	2.21	1.25
balzak	2.4	3.24	2.25
batsen	2.79	3.68	1.79
bed	1.0	1.02	1.01
bedreiging	1.7	1.91	1.66
beffen	3.36	4.7	1.54
begrafenis	1.71	2.07	1.18
bescheiden	1.09	1.18	1.11
beul	2.0	2.29	2.7
bitch	2.41	3.06	4.07
blij	1.01	1.03	1.01
bloedbad	2.61	3.06	1.67
bloem	1.0	1.01	1.0
bloesem	1.0	1.0	1.0
boeket	1.0	1.02	1.0
bom	1.9	2.16	1.18
borsten	1.69	2.63	1.18
braaf	1.1	1.21	1.26
bruiloft	1.07	1.07	1.01
bruinen	1.14	1.24	1.3
buttplug	3.57	4.67	1.99
castreren	2.3	3.26	1.63
climax	1.43	1.95	1.11
clitoris	2.79	3.92	1.51
coma	1.41	1.8	1.26
comfort	1.01	1.03	1.01
condoom	2.1	3.24	1.21
crimineel	1.76	2.01	2.64
cruise	1.03	1.0	1.0
dapper	1.0	1.08	1.0
debiel	2.29	2.75	3.59
degelijk	1.06	1.13	1.18
depressief	2.16	3.23	1.92
dictator	2.15	2.61	2.92
diefstal	2.1	2.36	1.49
dikke pad	1.85	2.05	2.84
dikzak	2.66	3.03	4.34
dildo	3.22	4.26	1.69
doden	2.51	3.08	1.84
dolgraag	1.03	1.09	1.02
dom	1.91	2.24	3.62
dood	2.25	3.0	1.76
doodsangst	1.89	2.17	1.2
doodskist	1.99	2.37	1.33
doof	1.32	1.54	1.53
doofpot	1.68	1.92	1.33
dor	1.16	1.2	1.31
down	1.72	2.11	2.21
drol	1.87	2.3	1.74
duivel	2.01	2.83	2.64
dwang	1.95	2.08	1.57
eenzaam	2.07	2.52	1.77
eikel	2.14	2.82	3.37
energie	1.01	1.03	1.01
energiek	1.0	1.02	1.01
engel	1.08	1.3	1.06
enthousiast	1.0	1.0	1.03
erectie	2.78	3.84	1.32
erotisch	2.43	3.44	1.23
evenwichtig	1.01	1.03	1.01
executie	2.76	3.21	1.69
ezel	1.21	1.31	2.23
fazant	1.01	1.01	1.03
feest	1.05	1.1	1.0
feesten	1.09	1.14	1.06
fiets	1.0	1.0	1.0
flauw	1.1	1.2	1.49
fles	1.01	1.03	1.01
flikker	3.11	4.03	4.53
fluweel	1.03	1.01	1.05
fobie	1.63	2.38	1.34
fornuis	1.0	1.03	1.01
framboos	1.0	1.0	1.0
freak	2.14	2.37	3.62
frustratie	1.38	1.54	1.21
fuck	1.92	3.15	1.94
fuckface	3.09	3.98	4.13
futloos	1.25	1.34	1.66
futon	1.06	1.07	1.06
garde	1.05	1.05	1.02
gay	2.0	3.75	3.36
