word,PN_Singapore,PLD20_Singapore,PN_NonStd,OLD20
aba,7,1.35,3,1.4
abad,9,1.35,9,1.6
abadi,0,1.85,0,1.8
abah,8,1.4,8,1.4
abai,6,1.65,6,1.5
abang,6,1.5,6,1.65
abdi,0,1.95,0,1.9
abjad,0,1.95,0,2.35
abon,3,1.8,3,2.0
abu,8,1.4,8,1.45
acah,8,1.6,8,1.6
acap,6,1.65,6,1.7
acapkali,0,4.2,0,3.95
acar,7,1.6,7,1.55
acara,0,1.95,0,1.9
aci,4,1.8,4,1.8
acuan,2,1.85,2,1.85
acuh,2,1.9,3,1.85
acung,1,1.95,0,1.9
ada,7,1.2,4,1.2
adab,3,1.8,3,1.75
adai,5,1.6,5,1.45
adakalanya,0,5.45,0,4.95
adan,7,1.5,7,1.45
adat,8,1.45,8,1.55
adegan,0,2.65,0,2.5
adik,4,1.75,4,1.85
adil,2,1.9,2,1.8
adinda,0,2.8,0,2.75
aduan,2,1.85,2,1.75
aduh,3,1.8,4,1.75
aduk,4,1.65,4,1.7
adun,6,1.7,6,1.65
agak,6,1.65,6,1.65
agakan,2,1.9,2,1.9
agal,8,1.5,8,1.5
agama,0,2.0,0,2.0
agar,7,1.5,7,1.55
agih,2,1.85,2,1.9
agihan,0,2.7,0,2.55
agong,1,1.75,1,1.9
agung,1,1.75,1,1.8
agus,0,1.95,0,1.85
ahli,1,1.95,1,1.95
aib,2,1.9,2,1.85
ain,2,1.9,2,1.6
air,3,1.8,3,1.75
ajaib,0,2.7,0,2.25
ajak,6,1.6,6,1.6
ajakan,4,1.75,4,1.75
ajal,8,1.55,8,1.55
ajar,8,1.5,8,1.5
ajaran,2,1.85,2,1.85
ajeng,0,2.0,0,2.1
aji,6,1.45,6,1.45
aju,6,1.5,6,1.5
ajukan,1,2.15,1,1.95
akad,10,1.25,10,1.75
akal,10,1.35,10,1.35
akan,8,1.4,8,1.4
akar,9,1.1,9,1.1
akarat,0,1.95,0,1.95
akbar,1,1.9,1,1.9
akhbar,1,1.95,1,2.55
akhir,0,2.0,0,2.05
akhirat,0,2.95,0,2.8
akhlak,0,2.0,0,2.75
akibat,0,2.45,0,2.45
akidah,0,2.7,0,2.65
akil,2,1.85,2,1.8
akmal,0,1.85,0,1.85
akrab,0,2.1,0,2.0
aksi,0,1.85,0,1.85
aku,5,1.45,5,1.4
akuan,2,1.9,2,1.85
akur,4,1.8,4,1.75
ala,7,1.05,2,1.0
alah,11,1.2,11,1.25
alahan,4,1.75,4,1.75
alam,11,1.15,11,1.15
alamat,0,2.0,0,2.0
alami,0,1.95,0,1.9
alamin,0,2.5,0,2.15
alang,9,1.0,9,1.2
alas,9,1.3,9,1.35
alasan,4,1.75,4,1.75
alat,11,1.35,11,1.5
alatan,2,1.9,2,1.9
alem,2,1.9,2,1.85
alih,6,1.7,6,1.8
alik,4,1.7,4,1.75
alim,4,1.7,4,1.7
aliran,0,2.1,0,1.95
almari,0,2.85,0,2.7
alpa,0,1.95,0,1.9
alu,6,1.4,6,1.4
alun,0,1.95,0,1.8
alunan,0,2.1,0,2.0
am,0,1.75,0,1.8
amal,9,1.35,9,1.3
amalan,3,1.75,3,1.7
amali,0,1.95,0,1.9
amalkan,0,2.7,0,2.45
amanah,2,2.2,2,2.25
amanat,1,2.45,1,2.45
amar,7,1.4,7,1.4
amarah,2,1.85,2,1.85
amaran,3,1.75,3,1.75
amat,10,1.35,10,1.5
amaun,0,2.5,0,1.95
ambak,2,1.8,2,1.85
ambang,5,1.5,5,1.55
ambil,1,2.35,1,2.1
ambing,2,1.85,2,1.9
amil,2,1.9,2,1.6
amin,1,1.95,1,1.65
amit,2,1.8,2,1.7
ampang,1,1.95,1,1.95
ampu,0,1.9,0,1.8
ampuh,1,1.95,1,1.95
ampun,1,1.95,1,1.85
amuk,1,1.95,1,1.95
anai,5,1.7,5,1.65
anak,7,1.55,7,1.5
anak-beranak,0,5.9,0,6.6
anang,6,1.55,6,1.55
anasir,0,2.9,0,2.65
ancam,0,2.0,0,2.0
ancaman,1,2.7,1,2.55
anda,1,1.5,1,1.5
andai,1,1.75,1,1.65
andaian,1,2.65,1,2.2
andaikan,1,2.8,1,2.8
andainya,0,3.75,0,3.65
andak,0,1.9,0,1.8
andaman,1,2.3,1,2.25
anding,1,1.8,1,1.8
aneh,2,1.9,2,2.0
angan,6,1.65,6,1.85
angap,4,1.75,4,1.9
angga,2,1.6,1,1.65
anggap,1,1.85,1,1.85
anggapan,1,2.5,1,2.55
anggar,2,1.65,2,1.7
anggaran,1,2.45,1,2.65
anggerik,0,3.65,0,3.55
anggota,0,2.75,0,2.95
anggu,1,1.95,1,1.8
angguk,2,1.9,2,2.25
anggun,2,1.9,2,1.85
anggur,3,1.85,3,1.95
angin,2,1.9,2,1.9
angka,1,1.7,0,1.7
angkara,1,2.5,1,2.5
angkasa,1,2.7,1,2.7
angkat,1,1.7,1,1.75
angkatan,1,1.95,1,2.05
angkuh,0,2.35,0,2.15
angkut,1,2.05,1,1.95
angkutan,1,2.65,1,2.65
aniaya,0,3.15,0,2.85
anjakan,0,2.3,0,2.2
anjal,1,1.9,1,1.95
anjang,3,1.8,3,1.8
anjing,3,1.85,3,1.95
anju,0,1.95,0,1.85
anjung,3,1.75,3,1.8
anjur,3,1.85,3,1.85
anjuran,2,2.45,2,2.35
ansur,2,2.2,2,1.95
ansuran,1,2.75,1,2.65
antah,2,1.85,2,1.85
antar,1,1.9,1,1.85
antara,0,2.45,0,2.25
antarabangsa,0,5.9,0,6.2
anu,6,1.65,6,1.65
anugerah,0,4.0,0,3.85
anum,0,1.95,0,1.9
anutan,0,2.35,0,2.0
apa,6,1.5,4,1.5
api,5,1.6,5,1.55
apit,1,1.9,1,1.85
apung,1,1.75,1,1.8
ara,9,1.0,7,1.0
arah,9,1.25,9,1.15
arahan,1,1.85,1,1.9
arai,7,1.65,7,1.4
arak,8,1.3,8,1.3
aral,10,1.4,10,1.35
arang,9,1.15,9,1.4
aras,11,1.2,11,1.15
arau,3,1.8,3,1.65
arca,0,2.0,0,1.9
ari,8,1.0,8,1.0
aria,0,1.95,0,1.75
aris,2,1.7,2,1.6
arjuna,0,3.15,0,2.85
arnab,0,2.6,0,2.15
arun,4,1.75,4,1.75
arus,5,1.7,5,1.7
arwah,0,2.0,0,1.95
asa,8,1.0,6,1.0
asad,12,1.25,12,1.4
asah,13,1.15,13,1.1
asai,6,1.55,6,1.1
asakan,3,1.75,3,1.75
asal,12,1.25,12,1.2
asal-usul,0,4.35,0,4.95
asalan,3,1.85,3,1.85
asam,10,1.4,10,1.35
asap,9,1.45,9,1.45
asar,11,1.1,11,1.05
asas,10,1.4,10,1.35
asasi,0,1.9,0,1.85
asfar,1,1.9,1,1.9
asi,7,1.45,7,1.4
asing,0,1.9,0,1.9
askar,1,1.85,1,1.85
asli,1,1.9,1,1.85
asmara,0,2.5,0,2.3
asrama,0,2.6,0,2.55
astana,1,2.7,0,2.7
asuh,2,1.8,3,1.75
asuhan,0,2.2,0,2.0
asyik,2,1.9,2,2.5
atap,4,1.7,4,1.75
atas,5,1.65,5,1.65
atasan,1,1.9,1,1.9
atur,1,1.9,1,1.85
aturan,0,2.1,0,2.0
aur,1,1.95,1,1.8
awak,8,1.5,8,1.5
awal,10,1.45,10,1.45
awalan,2,1.85,2,1.85
awam,8,1.6,8,1.6
awan,8,1.3,8,1.35
awang-awang,0,4.0,0,4.95
awas,8,1.6,8,1.6
awet,0,2.0,0,2.05
ayah,8,1.55,8,1.55
ayam,8,1.5,8,1.55
ayang,7,1.2,7,1.35
ayat,9,1.45,9,1.65
ayu,5,1.4,5,1.3
ayum,2,1.9,2,1.8
ayun,4,1.75,4,1.75
azab,3,1.85,3,1.85
azam,6,1.7,6,1.7
azan,6,1.7,6,1.75
azimat,0,2.75,0,2.75
bab,5,1.65,5,1.6
babak,5,1.7,5,1.75
babi,12,1.35,12,1.25
babit,2,1.9,2,1.8
babu,12,1.3,12,1.3
baca,9,1.5,8,1.5
bacaan,1,1.95,1,1.95
bacang,8,1.55,8,1.6
bad,11,1.2,11,1.45
bada,14,1.0,14,1.0
badai,5,1.65,5,1.45
badak,9,1.45,9,1.5
badam,6,1.65,6,1.65
badan,11,1.35,11,1.3
badang,17,1.1,17,1.3
badar,8,1.5,8,1.45
badari,0,2.35,0,1.9
badi,15,1.15,15,1.1
baduk,4,1.75,4,1.75
badut,1,1.95,1,1.95
bagai,3,1.85,3,1.75
bagaimana,0,3.9,0,3.9
bagaimanapun,0,5.8,0,6.45
bagan,5,1.75,5,1.7
bagasi,0,2.4,0,2.25
bagi,11,1.45,11,1.4
baginda,0,2.85,0,2.9
bagus,0,2.0,0,1.95
bah,13,1.15,13,1.15
bahadur,0,2.95,0,2.85
bahagi,0,2.35,0,2.05
bahagia,0,3.35,0,2.6
bahagian,0,3.55,0,2.85
bahan,10,1.45,10,1.4
bahang,10,1.5,10,1.6
bahar,9,1.55,9,1.5
baharu,0,2.4,0,1.9
bahas,6,1.65,5,1.65
bahasa,2,1.85,2,1.85
bahau,5,1.7,5,1.6
bahawa,2,1.95,2,1.95
bahaya,3,1.85,3,1.85
bahkan,0,1.95,0,1.95
bahtera,0,2.9,0,2.9
bahu,12,1.35,12,1.35
bai,2,1.8,2,1.0
baiduri,0,2.85,0,2.9
baik,3,1.85,3,1.7
bait,1,1.9,1,1.8
bajau,6,1.7,6,1.8
baji,15,1.2,15,1.2
baju,12,1.35,12,1.35
bak,16,1.0,16,1.0
baka,16,1.0,15,1.0
bakal,7,1.55,7,1.5
bakap,5,1.7,5,1.65
bakar,11,1.35,11,1.3
bakat,7,1.55,7,1.55
bakau,8,1.55,8,1.5
bakawali,0,3.8,0,3.75
bakhil,1,1.95,0,2.5
baki,16,1.1,16,1.1
bakti,2,1.85,2,1.85
baku,18,1.0,18,1.0
bakul,1,1.95,1,1.9
bala,11,1.35,11,1.0
balai,8,1.6,8,1.45
balak,11,1.35,11,1.35
balan,11,1.4,11,1.2
balang,22,1.0,22,1.0
balapan,2,1.9,2,1.95
balas,9,1.45,9,1.4
balasan,4,1.75,4,1.8
balau,9,1.55,9,1.45
bali,20,1.0,20,1.0
balian,2,1.9,2,1.85
balik,6,1.6,6,1.65
baling,5,1.75,5,1.8
balu,16,1.15,16,1.15
ban,9,1.5,9,1.4
banang,10,1.45,10,1.45
bancuh,0,2.65,0,2.5
banda,8,1.45,1,1.45
bandar,2,1.8,2,1.8
bandaran,2,2.15,2,2.05
banding,4,1.75,4,1.75
bandingan,2,2.5,2,2.6
banduan,2,2.5,2,2.05
bandung,2,1.9,2,1.9
bang,16,1.05,16,1.25
bangau,5,1.7,5,1.9
bangga,5,1.7,5,1.75
bangka,8,1.5,8,1.55
bangkai,3,1.85,3,1.9
bangkangan,0,2.5,0,2.95
bangkit,0,2.0,0,2.25
bangku,4,1.75,4,1.8
bangsa,5,1.7,4,1.75
bangsawan,0,2.85,0,3.0
bangun,0,2.0,0,2.0
bangunan,0,2.9,0,2.8
banjaran,1,2.3,1,2.25
banjir,0,2.55,0,2.5
bantah,1,1.9,1,1.9
bantahan,0,2.4,0,2.35
bantal,1,1.9,1,1.9
banteras,0,2.9,0,2.9
banting,4,1.8,4,1.85
bantu,2,1.85,2,1.8
bantuan,1,2.65,1,1.9
bantut,0,2.15,0,2.0
banyak,0,2.0,0,2.0
bapa,9,1.5,9,1.45
bara,19,1.0,18,1.0
barah,10,1.4,10,1.45
baran,9,1.5,9,1.5
barang,17,1.05,17,1.2
barangan,2,1.9,2,1.9
barangkali,0,3.75,0,3.7
barat,10,1.4,10,1.5
bari,23,1.0,23,1.0
baris,4,1.75,4,1.75
barisan,2,2.2,2,2.05
baru,17,1.15,17,1.1
barua,0,2.5,0,1.9
basa,13,1.2,13,1.15
basah,4,1.7,4,1.7
basi,11,1.35,11,1.25
basikal,0,2.9,0,2.85
basil,0,1.95,0,1.85
basuh,1,1.9,1,1.9
bata,14,1.1,14,1.1
batak,11,1.35,11,1.45
batal,7,1.55,7,1.6
batang,14,1.25,14,1.45
batas,5,1.65,5,1.7
batasan,1,1.9,1,1.9
batik,6,1.7,6,1.7
batil,5,1.75,4,1.75
batin,2,1.9,2,1.85
batu,12,1.35,12,1.3
batuan,1,1.9,1,1.9
batuk,5,1.75,5,1.7
bau,9,1.55,9,1.1
baur,1,1.95,1,1.9
bawa,14,1.25,13,1.25
bawaan,1,1.9,1,1.9
bawah,6,1.65,6,1.7
bawahan,0,1.95,0,1.95
bayam,5,1.7,5,1.75
bayan,10,1.5,10,1.5
bayang,18,1.05,18,1.15
bayangan,5,1.75,5,1.9
bayar,9,1.55,9,1.65
bayaran,2,1.9,2,1.95
bayi,9,1.55,9,1.5
bayu,14,1.25,14,1.25
bazir,0,2.0,0,2.0
beban,0,1.95,0,1.9
bebanan,0,2.25,0,2.0
bebas,0,2.0,0,1.75
bebel,0,2.3,0,2.5
beberapa,0,3.2,0,3.1
beca,2,1.85,0,1.75
becak,2,1.85,2,1.8
becok,2,1.9,2,2.05
bedah,4,1.8,4,1.8
bedilan,0,2.85,0,2.65
begawan,0,2.05,0,2.35
begini,0,2.85,0,2.65
begitu,0,2.8,0,2.75
bek,5,1.7,5,1.65
beka,7,1.55,0,1.25
bekal,4,1.8,4,1.75
bekalan,0,2.0,0,2.0
bekas,4,1.75,4,1.65
bekerja,1,3.05,1,2.8
bekerjasama,0,4.5,0,4.4
beku,2,1.9,2,1.75
bekuan,0,2.35,0,2.0
bekuk,1,1.95,1,1.9
bela,6,1.55,4,1.25
belacan,1,1.95,1,1.9
belah,7,1.6,7,1.6
belaian,1,2.25,1,1.85
belajar,2,1.9,2,1.95
belaka,1,1.9,1,2.0
belakang,1,1.9,1,2.35
belalang,1,1.95,1,2.15
belang,10,1.4,10,1.55
belanga,1,1.9,1,1.9
belanja,0,2.65,0,2.4
belanjawan,0,3.2,0,3.45
belantan,0,2.6,0,2.35
belantara,0,3.05,0,2.8
belas,6,1.65,6,1.65
belasah,1,1.95,1,1.95
belasan,3,1.85,3,1.8
belatuk,0,2.85,0,2.85
belayar,2,1.9,2,1.9
belenggu,0,3.55,0,3.5
beli,7,1.6,7,1.5
belia,2,1.85,2,1.65
belian,2,1.8,2,1.65
beliau,1,2.65,1,1.9
belin,0,1.95,1,1.8
belit,1,1.95,2,1.8
belok,1,1.9,1,1.85
belom,0,1.9,0,2.1
