word	Male_Valence_Mean	Male_Arousal_Mean	Male_Dominance_Mean	ALLPredictability_Mean	Male_Concreteness_Mean	Male_Frequency_Mean
abang	6.076923077000001	4.736842105	5.5	6.3125	3.382352941	5.607142857
aborsi	2.884615385	5.236842105	5.166666667	3.75	4.058823529	4.464285714
abu	3.730769231	4.052631579	4.472222222	5.90625	3.617647059	4.464285714
acar	4.307692308	3.421052632	4.75	6.59375	4.058823529	4.714285714
acara	5.153846154	4.210526316	4.916666667	6.09375	4.088235294	6.642857143
adat	5.884615385	5.052631579	5.3611111110000005	6.125	4.558823529	5.035714286
aerobik	4.884615385	4.1052631580000005	5.027777778	4.71875	4.0	4.035714286
agar-agar	5.269230769	4.3421052630000005	4.75	6.75	3.941176471	4.785714286
agresif	4.730769231	6.236842105	5.472222222	5.125	5.088235294	5.535714286
air	5.038461538	4.026315789	5.222222222	6.34375	3.294117647	6.178571429
air terjun	4.961538462	4.684210526	4.888888889	5.96875	3.558823529	4.25
akal	5.769230769	5.421052632	5.527777778	5.375	4.852941176	5.357142857
aksi	5.846153846	4.736842105	5.055555556	6.125	4.676470588	4.214285714
akta	4.653846154	3.631578947	5.1111111110000005	6.03125	3.382352941	4.357142857
aktivis	5.576923077000001	4.157894737	5.277777778	5.28125	4.264705882	5.428571429
alam	5.192307692	5.631578947	5.1111111110000005	5.28125	3.970588235	5.107142857
alami	6.076923077000001	5.315789474	4.694444444	5.96875	4.9117647060000005	5.25
alasan	4.5	4.552631579	5.1111111110000005	5.90625	4.9117647060000005	4.5
alat	4.384615385	4.210526316	5.3611111110000005	5.34375	3.970588235	5.0
alergi	2.461538462	4.578947368	4.916666667	4.625	4.647058824	4.857142857
alis	4.653846154	4.315789474	5.055555556	6.75	3.705882353	5.071428571
aljabar	4.615384615	4.3684210530000005	5.722222222	5.34375	4.3823529410000015	4.25
alkohol	5.038461538	4.736842105	5.444444444	4.96875	3.558823529	4.285714286
alun-alun	4.5	5.157894737	5.3611111110000005	5.0625	3.911764706	4.25
aman	5.538461538	4.8684210530000005	4.722222222	6.03125	5.705882353	5.0
ambisi	6.038461538	5.289473684	4.777777778	6.0625	4.323529412	5.785714286
ambisius	5.384615385	5.078947368	5.0	6.15625	4.882352941000001	5.214285714
amis	3.538461538	4.763157895	5.055555556	4.21875	4.7352941180000006	4.357142857
amok	4.115384615	6.026315789	4.888888889	4.34375	5.117647058999999	3.428571429
amoral	3.307692308	5.631578947	5.166666667	4.0625	5.676470588	3.964285714
anak	5.5	5.052631579	4.583333333	5.375	3.529411765	5.25
anak-anak	6.153846154	4.973684211	4.75	5.5	3.735294118	5.5
ancaman	3.423076923	5.473684211	4.888888889	4.21875	4.3823529410000015	4.714285714
aneh	4.692307692	4.789473684	4.833333333	6.28125	6.029411765	4.535714286
anggun	5.884615385	4.631578947	4.777777778	5.90625	6.4117647060000005	4.214285714
anggur	5.269230769	4.421052632	4.916666667	5.0625	3.411764706	4.964285714
angin	4.5	4.526315789	4.833333333	6.53125	4.3823529410000015	4.607142857
anjing	4.576923077	4.473684211	5.638888889	4.15625	3.235294118	5.25
anjing kecil	5.076923077	4.736842105	4.444444444	5.09375	3.794117647	4.25
antarnegara	5.115384615	4.289473684	5.222222222	5.09375	6.823529412	4.321428571
api	4.576923077	4.263157895	4.777777778	4.6875	3.617647059	4.964285714
arah	3.961538462	4.684210526	4.916666667	5.46875	5.823529412	4.964285714
arang	4.807692308	4.184210526	4.5	5.75	3.882352941	5.607142857
arif	4.576923077	3.789473684	5.222222222	6.03125	4.7352941180000006	5.1428571430000005
aritmetika	3.807692308	5.263157895	5.3611111110000005	4.0625	6.470588235	3.678571429
arogan	4.615384615	5.421052632	4.916666667	4.5625	4.7352941180000006	4.8928571430000005
asam	4.346153846	5.052631579	4.805555556	5.3125	3.911764706	4.714285714
asap	4.307692308	4.8684210530000005	4.944444444	5.09375	2.823529412	4.857142857
asing	3.923076923	4.894736842	4.805555556	5.84375	4.441176471	5.535714286
asmara	6.807692307999999	5.473684211	5.0	4.28125	4.647058824	4.785714286
astronot	6.0	4.3684210530000005	4.944444444	4.875	4.1176470589999985	3.785714286
asyik	6.230769231	6.131578947	5.222222222	6.3125	4.852941176	4.607142857
atletik	6.038461538	4.210526316	5.1111111110000005	5.1875	3.882352941	4.857142857
atmosfer	5.846153846	4.315789474	5.222222222	4.4375	4.264705882	4.178571429
awan	4.692307692	5.157894737	5.25	5.40625	3.470588235	5.535714286
ayah	6.769230769	5.5	5.027777778	4.84375	3.911764706	5.678571429
babi	4.307692308	5.236842105	4.805555556	4.40625	1.970588235	4.5
badai	3.384615385	5.157894737	5.444444444	4.65625	4.323529412	4.321428571
badan	5.192307692	4.894736842	5.083333333	5.25	2.352941176	4.714285714
bagian	5.423076922999999	4.3684210530000005	5.027777778	7.125	4.5	4.464285714
bagus	4.423076923	5.973684211	4.333333333	6.21875	4.941176471	5.25
bahagia	4.384615385	6.184210526	5.3611111110000005	5.1875	5.205882353	5.464285714
bahasa	5.038461538	4.157894737	5.027777778	6.71875	4.617647058999999	4.821428571
bahaya	3.884615385	5.5	4.972222222	4.59375	4.352941176	4.821428571
baik	6.153846154	5.552631579	4.972222222	6.0	4.588235294	4.928571429
bajing	5.153846154	4.894736842	5.0	4.53125	3.676470588	4.214285714
bajingan	2.423076923	7.184210526	4.8611111110000005	4.8125	5.323529412	4.607142857
bak	4.615384615	4.736842105	4.888888889	5.59375	3.764705882	4.5
bakat	5.961538462	6.131578947	5.0	5.28125	4.558823529	5.678571429
balai kota	4.961538462	4.1052631580000005	5.1111111110000005	6.0625	3.882352941	4.678571429
banci	2.961538462	5.789473684	4.6111111110000005	4.40625	4.2352941180000006	4.035714286
bandara	4.653846154	5.421052632	5.194444444	5.6875	3.3529411760000003	4.785714286
bangga	6.730769231	5.763157895	4.944444444	5.9375	4.647058824	5.392857143
bangkai	2.615384615	3.815789474	5.388888889	5.53125	3.911764706	4.5
bangkrut	2.653846154	5.684210526	4.472222222	4.5	4.4117647060000005	4.571428571
bangku	3.923076923	3.684210526	5.583333333	6.6875	3.705882353	4.8928571430000005
bangsa	6.038461538	4.578947368	5.305555556	5.9375	4.5	4.107142857
bangsat	2.269230769	5.921052632	5.472222222	4.0	5.029411765	4.285714286
bangun	5.115384615	5.184210526	4.972222222	7.03125	3.882352941	4.928571429
banjir	3.730769231	5.0	5.166666667	4.75	4.352941176	4.75
bank	5.346153846	4.315789474	5.527777778	6.34375	3.4411764710000003	5.678571429
bantal	6.076923077000001	4.263157895	4.805555556	6.125	3.676470588	5.321428571
bantuan	5.5	4.1052631580000005	5.055555556	6.0	4.294117647	5.035714286
bar	4.653846154	4.3684210530000005	4.875	5.03125	3.676470588	4.535714286
barang	4.769230769	4.5	5.388888889	6.15625	3.794117647	4.428571429
barbel	5.346153846	4.736842105	5.055555556	4.875	3.794117647	4.75
batang	4.038461538	4.3421052630000005	5.277777778	5.96875	3.676470588	3.964285714
batasan	4.730769231	4.157894737	4.527777778	5.9375	4.4117647060000005	4.535714286
batu	5.153846154	3.789473684	5.416666667	6.625	3.558823529	5.071428571
