word	imageability
abandon	2.8
abat-jour	5.33
abattoir	4.47
abbé	2.94
abdomen	5.64
abeille	6.84
abîme	3.22
aboiement	3.76
abondance	2.9
abonné	2.63
abonnement	2.83
abricot	6.51
abstinence	2.72
abstraction	2.15
abus	3.31
académie	3.15
accélérateur	4.11
accent	3.85
acceptation	2.28
accès	2.75
accession	2.12
accessoire	4.08
accident	4.7
accord	2.86
accordéon	6.35
accouplement	4.26
accroc	2.29
accusation	2.88
accusé	3.06
achat	3.95
acide	4.2
acier	4.91
acquisition	2.55
acte	2.98
acteur	4.93
action	2.97
activation	2.47
actualité	2.47
adage	1.84
adaptation	2.65
adhésion	2.7
adieu	2.98
adjectif	2.62
adjoint	3.07
administrateur	3.31
administration	2.73
admiration	2.69
admission	3.16
adolescente	5.4
adoption	3.29
adresse	4.16
adverbe	2.95
adversaire	3.45
aéroport	6.45
affection	3.01
affichage	3.97
affirmation	2.72
affluence	1.94
affolement	2.84
âge	3.08
agenda	5.86
agente	4.05
agilité	2.98
agitation	3.08
agneau	6.6
agonie	2.81
agrafeuse	6.52
agressivité	3.16
agriculteur	5.37
agriculture	4.11
agrumes	5.7
aide	2.95
aïeul	2.26
aigle	6.77
aigre	3.05
ail	6.34
aile	6.32
aimant	5.02
aisance	2.39
ajout	3.09
ajustage	2.75
album	5.63
alerte	3.45
algèbre	4.02
alibi	2.05
alignement	3.8
aliment	4.92
alimentation	3.86
allée	4.45
allégresse	2.16
alligator	6.68
allocution	1.83
allure	2.65
allusion	2.4
altitude	4.26
amande	6.23
amante	3.18
amas	3.0
amateur	3.18
ambassadeur	4.04
ambiance	2.7
ambiguïté	1.97
ambulance	6.44
âme	3.09
aménagement	3.01
amende	4.88
amertume	2.43
amnésie	2.84
amortisseur	3.5
ampère	2.54
ampleur	2.58
amplificateur	4.19
amplitude	3.05
ampoule	6.71
analogie	2.19
ananas	6.91
anarchie	2.69
anatomie	4.04
ancêtre	3.68
âne	6.42
angle	5.27
angoisse	2.88
anguille	5.63
animation	3.77
anneau	6.36
année	3.37
annexe	3.7
annonce	3.52
annuaire	5.06
antichambre	2.34
anticipation	2.19
antipathie	1.92
antithèse	2.15
antre	1.93
anxiété	2.81
aorte	4.75
aperçu	2.36
apéritif	4.59
aphrodisiaque	3.04
aplomb	2.01
apogée	2.15
appareil	4.38
appartement	5.72
appât	3.75
appel	3.65
appétit	3.18
application	2.98
apport	2.41
appréciation	2.51
apprentissage	2.67
approche	2.46
appui	2.95
aptitude	2.52
aquarelle	4.06
araignée	6.91
arbalète	3.26
arbre	6.91
arbuste	5.8
arc	6.01
archer	3.62
archet	3.4
archipel	3.4
architecture	4.44
ardeur	2.09
arène	3.05
arête	4.94
argile	4.94
argot	2.08
argument	2.86
armistice	1.88
armoire	6.54
armure	5.61
arôme	3.23
arrivée	2.98
arrosoir	6.39
arsenal	2.72
artère	5.65
artichaut	5.13
articulation	4.37
artillerie	4.16
artisan	4.61
ascension	3.29
asile	4.43
aspect	1.98
asperge	6.54
asphalte	5.94
aspirateur	6.27
aspiration	2.83
aspirine	6.15
assaut	3.2
assemblée	3.73
assiette	6.82
assistanat	2.25
assistance	2.95
assistant	3.73
association	2.85
astronaute	6.5
astuce	2.06
atmosphère	3.95
atome	4.47
atout	2.51
âtre	1.69
attachement	2.9
attaque	4.08
atteinte	2.19
attelage	3.81
attendrissement	2.54
attirance	2.81
attraction	3.22
attrape	3.15
attribut	2.25
attribution	1.83
aubergine	5.9
audace	2.22
audience	4.29
audition	3.5
auge	2.13
augmentation	3.18
augure	1.56
aune	1.37
aura	3.14
aurore	4.51
auteure	4.11
automate	2.61
automobile	6.61
autonomie	2.77
autorisation	2.46
autruche	6.59
auvent	3.26
avalanche	5.76
avant	2.97
avantage	2.2
avatar	1.84
avenir	2.76
avenue	4.22
averse	4.41
avertissement	3.18
aveu	2.43
avion	6.76
aviron	5.01
avis	2.4
avoine	5.75
avortement	4.58
avril	3.73
axe	4.4
azote	2.97
babillard	5.69
bactérie	4.8
bagage	6.18
bagarre	4.66
bagatelle	3.06
bagnole	5.04
bague	6.9
bail	3.43
bain	6.76
baiser	6.09
balade	4.08
balai	6.67
balance	5.28
balançoire	6.59
balcon	6.49
baleine	6.88
balise	2.77
balle	6.61
ballet	6.31
ballon	6.9
baluchon	4.98
bambin	5.27
bambou	6.36
banane	6.95
bande	4.72
bandelette	4.08
banderole	5.15
banjo	6.04
banlieue	4.09
bannière	5.12
banque	5.88
banquet	5.54
baptême	5.19
baraque	4.23
barbe	6.56
barbecue	6.47
barbelé	4.45
barbiche	5.41
barge	2.87
baril	5.91
baron	3.41
baronne	3.15
barque	4.86
barrage	5.58
barrette	6.33
barricade	4.97
barrière	5.7
bascule	4.31
basket-ball	6.44
basse	3.19
bassine	3.91
bataille	5.52
bataillon	3.43
bateau	6.84
bâtisse	5.47
bâtonnet	6.22
battant	2.79
baume	4.3
bavure	3.34
bazar	3.62
bec	6.26
bedon	5.59
bègue	1.94
beignet	6.14
belette	4.83
belge	3.83
bélier	6.02
belvédère	3.86
bémol	3.75
bénéfice	2.65
benne	1.77
béquille	6.21
béret	5.58
berge	3.16
besogne	2.58
bestiole	4.74
bêtise	2.83
béton	5.12
betterave	6.01
beurre	6.68
biais	2.41
biberon	6.7
bible	6.69
biche	5.05
bicyclette	6.86
bidon	4.35
bien-être	2.91
bienfait	2.47
bigoudi	4.55
bijouterie	5.79
bijoutière	5.26
binette	2.4
biographie	3.54
biscotte	4.34
bise	4.44
bisou	5.69
blague	3.76
blaireau	4.09
blanc	5.76
blason	2.69
blatte	2.52
blé	6.5
blessé	4.31
blessure	5.52
blette	2.94
bleuet	6.85
blocage	3.63
blouse	6.34
blouson	6.01
boa	6.38
bobine	5.54
boeuf	6.87
bois	6.19
boîtier	5.13
bombarde	3.55
bombe	5.95
bon	2.91
bonbon	6.44
bonbonne	5.29
bond	3.9
bonheur	3.23
bonne	2.93
bonté	2.59
bonze	2.02
boomerang	6.29
bordée	2.76
bordereau	2.97
bordure	4.97
borne	3.36
bosquet	3.12
bottin	5.43
bottine	6.15
bouche	6.75
bouchée	4.95
boucle	5.98
boudin	4.66
bouge	3.33
bougie	6.8
bouilloire	6.4
boulanger	5.37
boulangerie	5.74
bouleau	5.88
boulet	4.74
boulette	6.08
boulevard	5.12
boulon	4.38
boulot	4.19
bouquet	6.45
bouquineur	3.25
bourde	1.74
bourdon	5.08
bourgeoisie	3.66
bourreau	3.87
bourse	5.02
bouse	2.81
bouseux	2.06
boussole	6.61
bout	4.19
boutade	1.48
boute-en-train	2.48
bouteille	6.64
boutique	5.54
bouton	6.43
boutonnière	4.98
boyau	5.45
braise	3.9
branchage	3.41
branche	6.55
bras	6.77
brasier	3.86
bravoure	2.75
bretelle	5.94
bribe	2.0
brigade	3.62
brigadière	5.08
brindille	4.97
brioche	6.04
brique	6.72
brise	3.9
brocanteur	2.31
broche	5.8
brochet	5.3
brochette	6.07
brochure	5.45
brocoli	6.81
broderie	5.13
brosse	6.25
brosse à dents	6.94
brouette	6.47
brouillon	5.09
broussaille	3.51
bru	2.84
bruine	3.95
bruit	3.36
brûleur	4.77
brûlure	5.43
brutalité	2.95
buanderie	5.38
bûcher	5.19
budget	3.68
buée	4.8
bulbe	5.41
bulle	6.43
bureau	6.24
burin	1.56
butin	3.28
butor	1.78
buveur	4.12
cabale	1.7
cabanon	4.52
cabinet	5.59
câblage	4.22
cabriolet	3.54
cacahuète	6.11
cachalot	3.52
cachette	4.02
cachot	4.2
cactus	6.73
caddie	2.72
cadenas	6.7
cadran	6.08
cadre	5.86
cafard	3.66
café	6.59
cage	6.59
cahier	6.33
caïman	2.63
caissière	5.27
calanque	1.87
calcification	2.77
calcul	4.11
cale	2.31
calèche	5.43
caleçon	5.83
calepin	5.66
calibre	2.9
calmar	4.38
calme	3.22
calomnie	1.94
calorie	2.5
calotte	4.47
calumet	3.52
camarade	4.47
cambriolage	4.04
caméléon	6.49
camion	6.73
camionnette	6.5
camisole	6.53
camp	5.36
campagne	5.33
camping	5.94
canapé	5.63
canard	6.81
canari	6.34
cancer	3.88
candeur	1.88
candidat	3.56
candidature	2.86
cane	5.75
canette	6.5
caniche	5.86
canif	6.25
canoë	5.8
canon	6.22
cantatrice	2.43
cantine	5.27
cantique	2.58
canton	3.19
capacité	2.26
cape	5.65
capital	3.52
capitale	3.98
capot	4.79
caprice	2.47
capsule	4.88
captivité	3.23
capture	3.5
capuche	4.87
capuchon	6.36
carabine	6.19
caractéristique	2.62
carafe	3.78
caramel	6.51
carapace	5.7
carat	2.44
caravane	5.33
caravelle	2.91
carburant	4.51
carburateur	4.31
carcan	1.94
carcasse	4.98
cardiogramme	4.36
carence	2.23
caresse	4.76
cargo	4.79
caribou	6.35
caricature	5.33
carie	5.18
carillon	3.93
carnaval	5.52
carotte	6.98
carpette	3.7
carquois	2.02
carré	6.22
carrefour	3.94
carrière	3.34
carriole	3.84
carrosse	5.91
cartable	6.53
cartouche	5.36
cas	2.33
cascade	4.87
cascadeur	4.56
caserne	5.19
casino	6.07
casque	6.55
cassette	6.52
caste	1.95
castor	6.81
cataclysme	2.55
catalogue	5.77
catapulte	5.33
catastrophe	4.22
catégorie	2.75
cauchemar	4.33
causalité	2.02
cause	2.19
cavalerie	4.2
cave	5.69
caverne	6.35
cavité	4.16
cèdre	5.88
ceinture	6.62
céleri	6.79
cellule	5.4
cène	2.25
cens	2.52
cent	5.5
centaure	3.04
centre	4.45
cèpe	1.41
cerceau	6.36
cercueil	6.56
cérémonie	4.12
cerf	6.43
cerise	6.84
cerisier	6.04
cerne	4.72
certitude	2.15
chacal	3.68
chagrin	3.87
chair	5.12
chaise	6.85
châle	4.97
chalet	6.25
chaloupe	6.36
chambre	6.15
chameau	6.72
champ	6.28
champignon	6.69
champion	4.57
championnat	4.15
chance	2.63
chandail	6.6
chanteuse	5.26
chantier	4.65
chaos	3.51
chapeau	6.76
chapelle	5.77
chaperon	4.87
chapiteau	4.69
chapitre	4.23
charabia	1.93
charité	3.16
charme	3.31
charnière	3.13
charpente	4.27
charte	3.84
châsse	3.05
chaste	2.36
chat	6.91
châtaigne	3.36
château	6.84
châtiment	2.83
chaton	6.58
chaudron	6.74
chauffage	4.09
chaussette	6.57
chausson	6.11
chaussure	6.66
chauve	5.87
chauve-souris	6.85
chauvinisme	2.13
cheminée	6.7
chemisier	5.14
chenille	6.71
cheptel	1.83
chéquier	4.47
cheval	6.9
chevelure	6.11
cheveu	6.6
cheville	6.45
chèvre	6.94
chevreau	4.29
chewing-gum	6.62
chien	6.97
chignon	5.15
chinoiserie	2.61
chirurgien	5.56
choc	3.75
choeur	4.65
choléra	2.68
chômage	3.45
chose	3.26
chronique	2.79
chronomètre	6.19
ciel	6.69
cigare	6.69
cigarette	6.85
cigogne	5.44
ciment	5.91
cimetière	6.52
cintre	4.9
circonstance	2.31
circulation	4.13
cirrhose	2.16
ciseaux	6.87
citadelle	4.33
citation	3.87
citerne	3.97
citoyen	4.19
citoyenne	3.88
citron	6.95
citrouille	6.94
civière	5.22
civilisation	3.58
civisme	2.47
clafoutis	1.48
clairière	4.58
clairon	3.22
clarification	2.36
clarté	3.72
classement	3.31
classification	2.77
claustrophobie	3.7
clavecin	3.43
clé	6.63
clebs	1.69
clef	6.28
clémence	2.23
clenche	1.94
clic	2.86
cliché	2.79
client	4.23
