word	valence	arousal	dominance
maus-tratos	2.0	7.58	2.73
acidente	2.83	7.36	4.5
realização	7.0	4.44	5.5
activar	5.71	5.25	5.83
admirado	6.25	5.55	4.92
adorável	7.27	2.57	5.6
afecto	8.0	4.88	6.88
receoso	3.45	5.44	3.17
agressivo	3.0	7.57	4.2
agonia	2.33	5.88	2.56
alerta	4.71	6.71	4.62
sozinho	3.38	4.13	3.67
distante	3.54	3.88	3.69
ambição	6.93	6.11	6.63
ambulância	3.68	6.79	4.0
anjo	6.58	4.11	5.8
ira	3.3	6.46	5.0
irritado	3.15	6.82	4.56
angustiado	2.6	5.6	4.79
aborrecer	3.38	4.23	5.25
ansioso	4.35	7.63	4.29
agilidade	6.7	5.57	6.5
exército	5.0	5.71	3.5
excitado	6.67	6.14	5.89
arrogante	2.72	6.64	3.4
assassinar	2.0	7.57	4.63
agressão	2.58	7.09	4.4
espantado	5.58	5.95	5.16
outono	5.25	3.86	4.67
maravilhado	7.82	5.14	5.75
bebé	7.3	5.5	5.1
falência	3.08	5.54	5.2
bastardo	4.65	4.0	5.18
praia	7.59	3.38	6.5
beleza	7.14	4.5	5.78
mendigo	2.44	5.75	3.83
trair	1.69	6.71	2.89
pássaro	6.45	3.17	6.13
aniversário	7.0	5.67	5.21
chantagem	2.28	7.07	4.0
apático	3.35	3.5	5.15
abençoar	5.0	3.3	6.17
cego	2.0	3.86	5.75
florescer	6.82	4.17	3.0
atrevido	6.14	5.93	5.92
bomba	3.25	5.67	4.64
livro	6.25	2.56	6.22
aborrecido	3.05	4.56	5.2
tigela	5.11	2.83	5.0
rapaz	5.46	4.7	5.75
seio	7.12	5.36	5.13
irmão	7.07	4.11	5.18
brutal	4.46	5.82	5.67
coelhinho	6.18	3.54	5.1
sobrecarregado	3.38	5.83	4.0
enterro	3.0	6.25	3.7
manteiga	5.41	4.2	6.09
borboleta	6.89	3.76	5.62
bolo	7.42	4.33	6.17
cancro	1.67	7.64	4.2
rebuçado	6.7	4.75	5.54
capaz	6.11	3.4	4.8
despreocupado	6.7	2.39	5.83
carícia	7.15	3.77	5.93
cemitério	2.67	5.17	3.36
cadeira	5.33	3.5	4.83
vencedor	8.27	7.14	6.2
encanto	7.55	5.44	5.09
ânimo	6.92	5.76	6.13
criança	6.83	5.0	5.33
igreja	4.21	3.6	5.36
circo	5.96	5.58	4.94
cidade	5.64	3.85	5.7
roupa	5.38	4.0	7.8
barata	3.67	5.13	4.27
caixão	2.28	6.37	4.82
comédia	8.08	6.1	5.29
concentrado	5.44	4.69	5.78
confiante	7.37	4.41	7.08
confuso	3.71	5.22	4.59
consolado	6.4	2.93	5.22
desprezo	2.63	5.2	5.25
conteúdo	5.82	3.25	6.25
contexto	5.75	2.13	5.25
controlador	3.59	5.46	6.1
cadáver	2.91	5.63	4.5
cabana	6.09	3.0	4.46
acolhedor	6.42	3.0	5.33
colisão	2.96	7.15	3.8
coroa	5.37	4.62	5.0
crucificar	3.0	4.29	4.13
cruel	2.61	5.79	4.75
esmagado	3.47	5.62	3.4
aconchego	7.14	1.85	7.5
curioso	6.45	4.68	6.13
costume	5.0	4.29	4.67
giro	6.85	3.38	4.95
ciclone	4.13	6.89	4.25
punhal	4.29	5.0	4.75
morte	1.79	6.2	1.8
dívida	3.17	6.07	4.75
decompor	3.7	5.0	4.0
derrotado	2.5	6.06	3.62
provocador	5.07	5.95	5.12
deleite	5.0	2.67	5.18
demónio	3.68	5.22	3.4
deprimido	3.2	4.8	3.86
depressão	1.73	7.0	3.0
desertor	3.33	4.08	3.88
desesperado	2.79	6.71	3.46
desprezar	2.74	5.73	5.44
destruir	2.86	7.6	3.5
imparcial	6.0	4.29	5.33
detestar	3.04	5.67	3.76
diabo	3.91	4.91	6.0
dedicado	6.36	4.2	6.38
diamante	6.14	4.58	4.22
digno	6.93	3.1	5.4
diploma	6.64	4.33	4.29
decepcionar	1.86	6.45	5.86
desastre	2.4	6.17	4.43
desanimado	2.67	5.6	4.0
desdenhoso	3.13	4.73	3.94
desagradado	3.28	5.31	3.45
desleal	2.47	6.45	5.0
descontente	3.42	5.89	4.4
aflito	3.79	6.76	3.56
divórcio	2.67	5.74	4.7
doutor	5.77	2.75	5.75
porta	4.43	3.13	4.69
medonho	3.57	5.83	3.89
sonho	7.71	4.36	4.55
vestido	5.5	3.31	5.09
terra	6.29	3.57	5.78
descontraído	7.19	2.23	6.36
comer	6.77	4.4	5.22
educação	6.41	4.56	5.73
eufórico	6.83	5.75	4.0
elegante	6.4	3.56	5.9
embaraçado	4.06	4.17	4.11
armado	3.33	6.11	5.64
empenhado	7.47	5.0	5.87
gozo	5.75	4.93	4.75
tédio	3.0	5.36	1.67
emprego	6.18	3.82	4.7
motor	5.0	4.6	4.33
enfurecido	2.8	7.11	3.5
recado	4.79	3.55	6.18
excelência	7.0	5.5	6.93
entusiasmo	6.77	6.69	5.56
desculpa	4.48	4.73	4.7
execução	3.73	6.18	4.7
exercício	6.13	5.63	5.64
fracasso	1.88	6.25	5.0
fama	5.54	4.45	5.3
família	7.4	3.63	5.78
