word	valence	arousal	concreteness
Abdruck	5.031250	2.573771	4.196721
Abend	6.193548	3.875000	4.984127
Abfahrt	5.046875	2.096774	5.412698
Abfall	3.828125	3.412698	3.467742
Ablauf	5.109375	1.903226	6.838710
Absatz	4.906250	2.612903	4.677419
Abschaum	3.317460	5.859375	6.032258
Abscheu	3.546875	5.693548	7.709677
Absicht	4.921875	2.725807	6.885246
Abstand	4.921875	2.640625	5.936508
Abstieg	3.890625	3.428571	6.047619
Absturz	3.746032	4.682540	6.016129
Abteil	5.015625	1.800000	2.761905
Abzweig	4.875000	2.312500	5.476191
Achse	5.140625	2.114754	2.888889
Advent	6.301587	4.079365	5.306452
Ahorn	5.421875	2.603175	1.693548
Aids	2.714286	7.253968	5.370968
Akkord	5.396825	3.301587	5.677419
Akne	3.370968	5.234375	2.349206
Akte	4.578125	2.491803	2.698413
Akteur	5.349206	3.484375	4.777778
Akzent	5.421875	3.515625	6.338710
Album	5.328125	2.714286	2.741936
Alge	4.750000	2.590164	2.032258
Ampel	4.906250	2.387097	1.746032
Amsel	5.640625	2.444444	1.492064
Andrang	4.578125	3.253968	6.253968
Anfahrt	5.111111	2.387097	5.825397
Angel	5.062500	2.129032	1.507937
Angriff	4.140625	5.857143	6.126984
Angst	3.095238	7.078125	7.629032
Anhang	5.015625	2.338710	6.016129
Anker	4.903226	2.548387	1.269841
Ankunft	5.453125	2.209677	6.222222
Anlass	5.390625	2.825397	7.063492
Anlauf	5.125000	2.596774	6.032258
Anmut	6.285714	5.546875	7.983871
Anrecht	5.218750	2.730159	7.516129
Anreiz	6.112903	4.843750	7.285714
Ansatz	5.062500	2.048387	6.661290
Anschein	5.187500	3.062500	7.629032
Anschlag	3.387097	6.158730	5.841270
Ansporn	5.746032	4.968750	7.258065
Anstand	5.734375	3.111111	7.306452
Antrieb	5.492064	3.016129	7.064516
Anus	4.593750	5.796875	2.500000
Anwalt	4.781250	3.000000	3.412698
Anzahl	5.126984	2.338710	6.770492
Anzug	5.390625	2.868853	2.064516
Apfel	5.718750	3.578125	1.206349
Applaus	6.241936	5.079365	5.603175
Archiv	4.953125	2.377049	3.278689
ƒrger	3.359375	6.206349	7.967213
Armut	3.531250	5.770492	7.126984
Arsch	4.203125	6.906250	2.274194
Arznei	4.765625	3.920635	3.238095
Ass	5.796875	3.500000	4.064516
Ast	5.218750	2.206349	1.333333
ƒsthet	6.015873	4.111111	5.761905
Asthma	3.634921	4.250000	4.571429
Athlet	5.746032	4.031250	3.370968
Aufriss	5.046875	3.444444	6.095238
Aufsatz	4.937500	2.328125	4.761905
Aufsicht	4.843750	2.274194	6.015873
Aufstieg	6.187500	3.640625	6.095238
Aufzug	5.125000	2.451613	2.209677
Ausflug	5.906250	3.539683	5.603175
Ausguck	5.562500	3.112903	3.790323
Auskunft	5.203125	2.435484	6.435484
Autor	5.687500	3.048387	3.854839
Baby	6.650794	5.531250	2.111111
Bach	5.375000	3.238095	2.031746
Bad	6.063492	3.904762	1.774194
Bagger	4.968750	2.516129	1.269841
Bahn	5.125000	2.806452	1.612903
Balken	5.079365	2.269841	1.868853
Balkon	5.765625	3.142857	1.873016
Ball	5.578125	2.921875	1.349206
Balsam	6.158730	4.343750	4.225807
Bambus	5.578125	3.000000	1.516129
Bankrott	3.063492	5.187500	6.161290
Bar	5.888889	3.873016	2.698413
Basar	5.312500	3.983607	2.758065
Bastard	3.396825	6.126984	5.634921
Bastler	5.515625	2.656250	3.741936
Bauch	5.375000	4.000000	2.095238
Bauer	5.140625	2.377049	3.016129
Baum	5.562500	2.444444	1.460318
Becher	4.968750	1.645161	1.412698
