# Koeper, Scheible, Schulte im Walde (2015)
word1	word2	similarity
Psychologie	Geist	7.2
Fünf	Monat	3.2
Planet	Galaxie	8.3
Wodka	Gin	7.8
Tiger	Katze	8.2
Auto	Flug	6.1
Ankunft	Hotel	6.2
König	Königin	9.4
Seife	Oper	5.1
Brühe	Ei	2.9
Essen	Vorbereitung	4.9
Trinken	Essen	8.1
Ankündigung	Aufwand	1.5
Sommer	Natur	5.4
Film	Star	6.9
Psychologie	Klinik	7.1
Spiel	Sieg	6.5
Situation	Isolation	1.8
Psychologie	Depression	7.6
Gouverneur	Interview	3.6
Bischof	Rabbi	6.6
Kredit	Information	2.7
Frieden	Versicherung	1.9
Fruchtbarkeit	Ei	6.5
Dollar	Verlust	5.5
Schlaganfall	Krankenhaus	7.2
Vorhergend	Information	2.4
Gewinn	Verlust	8.2
Opec	Land	4.4
Pokal	Artefakt	4.4
Kalkulation	Berechnung	8.3
Psychologie	Wissenschaft	7.5
Heilig	Sex	1.4
Vogel	Kranich	8.3
Psychologie	Gesundheit	6.4
Meile	Kilometer	8.9
Bank	Geld	7.9
Wodka	Brandy	7.7
Boxen	Runde	6.2
Video	Archiv	4.8
Edelstein	Juwel	8.1
Bericht	Gewinn	2.4
Geld	Abhebung	5.8
Oper	Aufführung	7.4
Aktie	Markt	6.4
Straße	Kinder	3.4
Leben	Tod	8.4
Luxus	Auto	5.2
Gurke	Kartoffel	6
Medien	Radio	7.1
Meeresfrüchte	Meer	7.3
Planet	Sonne	8.3
Fußball	Basketball	7.1
Magier	Zauberer	9.3
Fbi	Fingerabdruck	6
Mittag	Mittagsstunde	7.1
Netzwerk	Hardware	6.3
Bild	Oberfläche	3.5
Professor	Gurke	0.8
Mittwoch	Nachrichten	1.3
Öl	Aktie	4.3
Zucker	Ansatz	0.5
Tiger	Tierwelt	6.5
Leben	Dauer	4.7
Tiger	Zoo	7.2
Atmosphäre	Landschaft	3.3
Verbraucher	Energie	6.3
Energie	Labor	4.3
Ficken	Sex	9.1
Nachrichten	Bericht	7.8
Präzedenzfall	Beispiel	5.7
