lang	corpus	words	lines	mean_line_length
af	subs	323663	48934	6.61
af	wiki	17132998	1007243	17.01
ar	subs	188360587	33386805	5.64
ar	wiki	119823112	6539777	18.32
bg	subs	246937672	35945244	6.87
bg	wiki	53474661	3379903	15.82
bn	subs	2227539	413611	5.39
bn	wiki	18575526	672037	27.64
br	subs	110927	18587	5.97
br	wiki	7644077	486145	15.72
bs	subs	91932337	14493168	6.34
bs	wiki	13140963	999374	13.15
ca	subs	3098950	445957	6.95
ca	wiki	175562501	8461347	20.75
cs	subs	249041680	38707657	6.43
cs	wiki	100293682	7461606	13.44
da	subs	87088174	12521094	6.96
da	wiki	56246019	3822355	14.72
de	subs	139494246	19891229	7.01
de	wiki	976143002	69439030	14.06
el	subs	271063437	39259337	6.9
el	wiki	58228905	3189510	18.26
en	subs	750595863	91280187	8.22
en	wiki	2477794990	141019932	17.57
eo	subs	381666	70097	5.44
eo	wiki	37640319	2571606	14.64
es	subs	514363933	68983539	7.46
es	wiki	585587691	28761419	20.36
et	subs	60427434	10091628	5.99
et	wiki	29174554	2810290	10.38
eu	subs	3400494	684348	4.97
eu	wiki	20139778	1768443	11.39
fa	subs	45332893	7097056	6.39
fa	wiki	86730261	4995718	17.36
fi	subs	116907161	22938041	5.1
fi	wiki	73628517	6815457	10.8
fr	subs	335525381	40377723	8.31
fr	wiki	724280676	37062245	19.54
gl	subs	1666742	253327	6.58
gl	wiki	40154889	2163830	18.56
he	subs	169640985	27272065	6.22
he	wiki	132900286	9549973	13.92
hi	subs	659797	97473	6.77
hi	wiki	31099476	917739	33.89
hr	subs	241661204	37522212	6.44
hr	wiki	42982504	3507561	12.25
hu	subs	227698560	37694398	6.04
hu	wiki	120830241	9771660	12.37
hy	subs	23729	3916	6.06
hy	wiki	38490278	1777157	21.66
id	subs	65035948	10522766	6.18
id	wiki	69226946	4911924	14.09
is	subs	7474110	1229586	6.08
is	wiki	7196890	546452	13.17
it	subs	277692789	37352602	7.43
it	wiki	476457197	25247503	18.87
ja	subs	3027882	2077266	1.46
ja	wiki	23524346	9888695	2.38
ka	subs	1108569	212798	5.21
ka	wiki	15259792	1382839	11.04
kk	subs	13479	3459	3.9
kk	wiki	18298522	1760475	10.39
ko	subs	6834405	1589818	4.3
ko	wiki	62946029	5260248	11.97
lt	subs	6252007	1278894	4.89
lt	wiki	23201286	2089553	11.1
lv	subs	2167619	424849	5.1
lv	wiki	13939981	1278305	10.91
mk	subs	20095252	3176907	6.33
mk	wiki	26681023	1586236	16.82
ml	subs	1520819	372678	4.08
ml	wiki	10454146	1139338	9.18
ms	subs	12184058	2073735	5.88
ms	wiki	28946521	1995723	14.5
nl	subs	264868500	35858635	7.39
nl	wiki	248764424	17269655	14.4
no	subs	45553184	6811474	6.69
no	wiki	90882901	6254817	14.53
pl	subs	250390753	40709778	6.15
pl	wiki	232421846	18408289	12.63
pt	subs	257597147	34830482	7.4
pt	wiki	238221599	12807223	18.6
ro	subs	434898199	56462492	7.7
ro	wiki	65168413	4033576	16.16
ru	subs	152197701	23670047	6.43
ru	wiki	390749247	27991787	13.96
si	subs	3493084	654130	5.34
si	wiki	5980384	411985	14.52
sk	subs	47349587	7596694	6.23
sk	wiki	28569118	2223727	12.85
sl	subs	106593589	17336959	6.15
sl	wiki	31642017	2351882	13.45
sq	subs	11767479	1768701	6.65
sq	wiki	17768078	1051381	16.9
sr	subs	343517729	52324860	6.57
sr	wiki	69719971	5373500	12.97
sv	subs	101270589	14730593	6.87
sv	wiki	143268104	12007853	11.93
ta	subs	123486	28338	4.36
ta	wiki	17143982	1698631	10.09
te	subs	103116	22907	4.5
te	wiki	15246609	1473989	10.34
th	subs	10557948	5987929	1.76
th	wiki	12440032	1382430	9
tl	subs	87945	14615	6.02
tl	wiki	6514999	379732	17.16
tr	subs	239771327	43163069	5.56
tr	wiki	54731118	4370202	12.52
uk	subs	4945826	897629	5.51
uk	wiki	162630340	12191108	13.34
ur	subs	195580	27875	7.02
ur	wiki	15878599	549778	28.88
vi	subs	27372810	3327528	8.23
vi	wiki	115161095	5615449	20.51
