	Unnamed: 0	adjusted score	lang	score	source	vecs	language	label
0	0.0	0.5028793550244746	cs	0.6383406432748538	analogies svoboda	subs	czech	czech: analogies svoboda
48	0.0	0.4551780401190134	cs	0.5877067971993308	analogies svoboda	wiki	czech	czech: analogies svoboda
24	0.0	0.5309050772626932	cs	0.6392950014446692	analogies svoboda	wiki+subs	czech	czech: analogies svoboda
19	0.0	0.5840000000000001	nl	0.5993431855500821	semantic (no geo)	subs	dutch	dutch: semantic (no geo)
67	0.0	0.5488000000000001	nl	0.5726210350584308	semantic (no geo)	wiki	dutch	dutch: semantic (no geo)
43	0.0	0.5983999999999999	nl	0.6243739565943238	semantic (no geo)	wiki+subs	dutch	dutch: semantic (no geo)
18	0.0	0.5367001254705145	nl	0.6729155742003147	syntactic	subs	dutch	dutch: syntactic
66	0.0	0.4644500209117524	nl	0.6437681159420289	syntactic	wiki	dutch	dutch: syntactic
42	0.0	0.5850062735257214	nl	0.7288952579468473	syntactic	wiki+subs	dutch	dutch: syntactic
7	0.0	0.1985981308411215	en	0.2945544554455445	semantic	subs	english	english: semantic
55	0.0	0.7096128170894526	en	0.7757236682072488	semantic	wiki	english	english: semantic
31	0.0	0.7044948820649756	en	0.7748409202153695	semantic	wiki+subs	english	english: semantic
10	0.0	0.7856	en	0.7957860615883307	semantic (no geo)	subs	english	english: semantic (no geo)
58	0.0	0.7248	en	0.7248	semantic (no geo)	wiki	english	english: semantic (no geo)
34	0.0	0.8384	en	0.8384	semantic (no geo)	wiki+subs	english	english: semantic (no geo)
9	0.0	0.7846722243273968	en	0.8032389449185415	syntactic	subs	english	english: syntactic
57	0.0	0.8039977264115195	en	0.8140226357183963	syntactic	wiki	english	english: syntactic
33	0.0	0.8228495642288746	en	0.8280266920877025	syntactic	wiki+subs	english	english: syntactic
11	0.0	0.10028929604628736	fi	0.2458628841607565	analogies venekoski	subs	finnish	finnish: analogies venekoski
59	0.0	0.08871745419479267	fi	0.20043572984749453	analogies venekoski	wiki	finnish	finnish: analogies venekoski
35	0.0	0.16779170684667308	fi	0.3790849673202614	analogies venekoski	wiki+subs	finnish	finnish: analogies venekoski
13	0.0	0.05075593952483801	fr	0.17696893630373392	semantic	subs	french	french: semantic
61	0.0	0.4967152627789778	fr	0.7777229815414964	semantic	wiki	french	french: semantic
37	0.0	0.4964902807775378	fr	0.7758402475038673	semantic	wiki+subs	french	french: semantic
12	0.0	0.492497886728656	fr	0.5556747734859323	syntactic	subs	french	french: syntactic
60	0.0	0.4509721048182586	fr	0.6387309188865609	syntactic	wiki	french	french: syntactic
36	0.0	0.5751267962806424	fr	0.6756454816285998	syntactic	wiki+subs	french	french: syntactic
1	0.0	0.050513022888713496	de	0.0851063829787234	semantic	subs	german	german: semantic
49	0.0	0.53455857481114	de	0.610560206052801	semantic	wiki	german	german: semantic
25	0.0	0.540083436689593	de	0.6401175998930911	semantic	wiki+subs	german	german: semantic
3	0.0	0.4442837963441082	de	0.637616718541574	syntactic	subs	german	german: syntactic
51	0.0	0.4848703914076216	de	0.6960711638250556	syntactic	wiki	german	german: syntactic
27	0.0	0.5385727563771558	de	0.7346105085223271	syntactic	wiki+subs	german	german: syntactic
4	0.0	0.35200000000000004	el	0.38461538461538464	semantic (no geo)	subs	greek	greek: semantic (no geo)
52	0.0	0.2208	el	0.24775583482944344	semantic (no geo)	wiki	greek	greek: semantic (no geo)
28	0.0	0.3968	el	0.4366197183098591	semantic (no geo)	wiki+subs	greek	greek: semantic (no geo)
5	0.0	0.2724189103243587	el	0.530882049163396	syntactic	subs	greek	greek: syntactic
53	0.0	0.13143947424210306	el	0.4099173553719008	syntactic	wiki	greek	greek: syntactic
29	0.0	0.28301886792452835	el	0.556018325697626	syntactic	wiki+subs	greek	greek: syntactic
14	0.0	0.4448	he	0.5965665236051502	semantic (no geo)	subs	hebrew	hebrew: semantic (no geo)
62	0.0	0.16640000000000002	he	0.2736842105263158	semantic (no geo)	wiki	hebrew	hebrew: semantic (no geo)
38	0.0	0.3776	he	0.5592417061611374	semantic (no geo)	wiki+subs	hebrew	hebrew: semantic (no geo)
15	0.0	0.2258431223948465	he	0.3682990885215511	syntactic	subs	hebrew	hebrew: syntactic
63	0.0	0.22432739674118984	he	0.3762313314267556	syntactic	wiki	hebrew	hebrew: syntactic
39	0.0	0.2863774156877605	he	0.4554082554986442	syntactic	wiki+subs	hebrew	hebrew: syntactic
16	0.0	0.09814918676388112	it	0.1686909581646424	semantic	subs	italian	italian: semantic
64	0.0	0.418956814357824	it	0.5304644226672348	semantic	wiki	italian	italian: semantic
40	0.0	0.4351093662366797	it	0.5541428571428572	semantic	wiki+subs	italian	italian: semantic
17	0.0	0.48556454578889297	it	0.6578226208271052	syntactic	subs	italian	italian: syntactic
65	0.0	0.4530158146377344	it	0.6870729326453772	syntactic	wiki	italian	italian: syntactic
41	0.0	0.5219749908054431	it	0.7101576182136602	syntactic	wiki+subs	italian	italian: syntactic
21	0.0	0.02697771406229637	pl	0.1975190839694657	semantic	subs	polish	polish: semantic
69	0.0	0.2874364655284765	pl	0.4678616885871871	semantic	wiki	polish	polish: semantic
45	0.0	0.2500325817802685	pl	0.538148667601683	semantic	wiki+subs	polish	polish: semantic
20	0.0	0.4120771899392888	pl	0.6108968177434908	syntactic	subs	polish	polish: syntactic
68	0.0	0.3699045967042498	pl	0.7049586776859504	syntactic	wiki	polish	polish: syntactic
44	0.0	0.5277536860364267	pl	0.7533271432992882	syntactic	wiki+subs	polish	polish: syntactic
23	0.0	0.07467422096317279	pt	0.13905887317999574	semantic	subs	portuguese	portuguese: semantic
71	0.0	0.27966005665722377	pt	0.4020853698273053	semantic	wiki	portuguese	portuguese: semantic
47	0.0	0.301756373937677	pt	0.4417717319177173	semantic	wiki+subs	portuguese	portuguese: semantic
22	0.0	0.4614407758023552	pt	0.5845276396607195	syntactic	subs	portuguese	portuguese: syntactic
70	0.0	0.5070422535211268	pt	0.6724850711988976	syntactic	wiki	portuguese	portuguese: syntactic
46	0.0	0.5335950126991458	pt	0.6762253108997806	syntactic	wiki+subs	portuguese	portuguese: syntactic
