	Unnamed: 0	lang	norm	r	r-squared	source	task	corrected score	label	col
0	0	de	valence	0.738206657	0.544949069	cc	kanske (2010)	0.544949069	de kanske (2010) valence	0
1	1	de	arousal	0.818963432	0.670701103	cc	kanske (2010)	0.670701103	de kanske (2010) arousal	0
2	2	de	concreteness	0.83132175	0.691095852	cc	kanske (2010)	0.691095852	de kanske (2010) concreteness	0
3	0	de	potency	0.642041824	0.412217703	cc	schauenburg (2016)	0.412217703	de schauenburg (2016) potency	0
4	1	de	authority	0.703517068	0.494936265	cc	schauenburg (2016)	0.494936265	de schauenburg (2016) authority	0
5	2	de	community	0.708748236	0.502324062	cc	schauenburg (2016)	0.502324062	de schauenburg (2016) community	0
6	3	de	arousal	0.756031473	0.571583588	cc	schauenburg (2016)	0.571583588	de schauenburg (2016) arousal	0
7	4	de	valence	0.826659803	0.68336643	cc	schauenburg (2016)	0.68336643	de schauenburg (2016) valence	0
67	0	de	valence	0.807601754	0.652220592	sub	kanske (2010)	0.652220592	de kanske (2010) valence	0
68	1	de	arousal	0.801222449	0.641957413	sub	kanske (2010)	0.641957413	de kanske (2010) arousal	0
69	2	de	concreteness	0.892063116	0.795776604	sub	kanske (2010)	0.795776604	de kanske (2010) concreteness	0
70	0	de	potency	0.641780811	0.411882609	sub	schauenburg (2016)	0.411882609	de schauenburg (2016) potency	0
71	1	de	authority	0.682625201	0.465977164	sub	schauenburg (2016)	0.465977164	de schauenburg (2016) authority	0
72	2	de	community	0.706000417	0.498436589	sub	schauenburg (2016)	0.498436589	de schauenburg (2016) community	0
73	3	de	arousal	0.768559791	0.590684152	sub	schauenburg (2016)	0.590684152	de schauenburg (2016) arousal	0
74	4	de	valence	0.800692589	0.641108621	sub	schauenburg (2016)	0.641108621	de schauenburg (2016) valence	0
134	0	de	valence	0.836877317	0.700363644	wiki-sub	kanske (2010)	0.700363644	de kanske (2010) valence	0
135	1	de	arousal	0.834274587	0.696014087	wiki-sub	kanske (2010)	0.696014087	de kanske (2010) arousal	0
136	2	de	concreteness	0.901901066	0.813425533	wiki-sub	kanske (2010)	0.813425533	de kanske (2010) concreteness	0
137	0	de	potency	0.676440444	0.457571675	wiki-sub	schauenburg (2016)	0.457571675	de schauenburg (2016) potency	0
138	1	de	authority	0.738019425	0.544672671	wiki-sub	schauenburg (2016)	0.544672671	de schauenburg (2016) authority	0
139	2	de	community	0.729546908	0.532238692	wiki-sub	schauenburg (2016)	0.532238692	de schauenburg (2016) community	0
140	3	de	arousal	0.797838937	0.63654697	wiki-sub	schauenburg (2016)	0.63654697	de schauenburg (2016) arousal	0
141	4	de	valence	0.840069495	0.705716757	wiki-sub	schauenburg (2016)	0.705716757	de schauenburg (2016) valence	0
201	0	de	valence	0.811681903	0.658827512	wiki	kanske (2010)	0.658827512	de kanske (2010) valence	0
202	1	de	arousal	0.815521407	0.665075165	wiki	kanske (2010)	0.665075165	de kanske (2010) arousal	0
203	2	de	concreteness	0.894471836	0.800079865	wiki	kanske (2010)	0.800079865	de kanske (2010) concreteness	0
204	0	de	potency	0.669303735	0.44796749	wiki	schauenburg (2016)	0.44796749	de schauenburg (2016) potency	0
205	1	de	authority	0.719650412	0.517896716	wiki	schauenburg (2016)	0.517896716	de schauenburg (2016) authority	0
206	2	de	community	0.698203941	0.487488743	wiki	schauenburg (2016)	0.487488743	de schauenburg (2016) community	0
207	3	de	arousal	0.780917153	0.6098316	wiki	schauenburg (2016)	0.6098316	de schauenburg (2016) arousal	0
208	4	de	valence	0.830224724	0.689273093	wiki	schauenburg (2016)	0.689273093	de schauenburg (2016) valence	0
8	0	en	valence	0.817406964	0.668154145	cc	warriner (2013)	0.668154145	en warriner (2013) valence	0
9	1	en	arousal	0.637513366	0.406423291	cc	warriner (2013)	0.406423291	en warriner (2013) arousal	0
10	2	en	dominance	0.712498071	0.507653501	cc	warriner (2013)	0.507653501	en warriner (2013) dominance	0
11	0	en	concreteness	0.885662933	0.784398831	cc	brysbaert (2014)	0.784398831	en brysbaert (2014) concreteness	0
12	0	en	imageability	0.438418045	0.192210382	cc	thibodeau (2016)	0.192210382	en thibodeau (2016) imageability	0
13	1	en	arousal	0.606456117	0.367789022	cc	thibodeau (2016)	0.367789022	en thibodeau (2016) arousal	0
14	2	en	familiarity	0.389354186	0.151596682	cc	thibodeau (2016)	0.151596682	en thibodeau (2016) familiarity	0
15	3	en	use	0.436370033	0.190418806	cc	thibodeau (2016)	0.190418806	en thibodeau (2016) use	0
16	4	en	aversion	0.646560266	0.418040178	cc	thibodeau (2016)	0.418040178	en thibodeau (2016) aversion	0
17	5	en	valence	0.713121089	0.508541687	cc	thibodeau (2016)	0.508541687	en thibodeau (2016) valence	0
18	0	en	age of acquisition	0.821225264	0.674410934	cc	kuperman (2012)	0.674410934	en kuperman (2012) age of acquisition	0
