# Postma, Vossen (2014)
word1	word2	similarity
morgen	draadje	0.075
hen	reis	0.1
begraafplaats	woud	0.25
glas	magiër	0.375
knul	tovenaar	0.5
monnik	slaaf	0.6
bos	kerkhof	0.6
kust	bos	0.7
oever	woud	0.725
kust	berg	0.8
monnik	orakel	1.0
vogel	ezel	1.075
akkoord	glimlach	1.1
voedsel	hen	1.325
tocht	auto	1.35
ezel	werktuig	1.725
knul	broeder	1.85
kust	oever	2.25
oven	fornuis	2.375
inrichting	gekkenhuis	2.675
broeder	monnik	2.8
vogel	kip	2.85
voedsel	fruit	3.025
tocht	reis	3.075
gereedschap	werktuig	3.175
edelsteen	juweel	3.225
ochtend	morgen	3.275
auto	wagen	3.575
jongen	knul	3.75
magiër	tovenaar	3.85
