word1;word2;sim_score;sim_score_sd
aikuinen;vauva;0.7090909091;1.4099215538
aisti;intuitio;2.7272727273;2.9966311051
äiti;vaimo;2.2909090909;2.4994275439
ajatella;tiedustella;0.9272727273;1.94226429
ajatella;järkeillä;5.0363636364;2.7282041058
alkoholi;viski;3.6727272727;2.944263383
aloittaa;mennä;0.6181818182;1.2246074063
älykkyys;taito;2.3272727273;2.4724747346
älykkyys;logiikka;3.3454545455;2.6542640873
ampiainen;kuningatar;1.1454545455;1.6263818264
ampiainen;muurahainen;1.8363636364;2.3235002041
analysoida;arvioida;4.9454545455;3.2909425748
anella;kysyä;1.8545454545;2.490115138
ankara;julma;4.6727272727;3.1272668546
aritmetiikka;rytmi;0.5272727273;1.152365449
arvo;uskomus;3.2727272727;2.7985085013
asunto;hotelli;1.6909090909;2.2760648893
ateria;illallinen;0.2727272727;0.7316785738
ateria;vyötärö;4.5090909091;3.0053823771
aurinko;taivas;1.2727272727;1.8604514133
auto;pyörä;0.1636363636;0.5005047957
auto;hissi;0.2181818182;0.7120889741
auto;silta;0.2727272727;0.7565649823
auto;letku;0.8909090909;1.4990457122
edullinen;halpa;8.3090909091;2.3163886905
eksoottinen;harvinainen;5.2909090909;3.0409107266
elastinen;joustava;8.2545454545;2.4960574974
erilainen;normaali;0.6363636364;1.519790877
esittää;kuvitella;1.0727272727;2.0078968678
esittää;vaikuttaa;1.5818181818;2.2000918254
etsiä;kadota;0.7090909091;1.2862913568
fiksu;tyhmä;0.4909090909;1.3315644833
fiksu;älykäs;8.5090909091;2.0264247596
flunssa;kuume;3.0545454545;2.804877906
haluta;valita;1.6727272727;2.3495826694
hattu;takki;1.1818181818;1.9253754717
hävitä;säilyttää;0.3272727273;0.861835798
heijastus;kuva;3.7272727273;2.4529237691
helppo;joustava;0.1454545455;0.5906111655
helppo;iso;0.3818181818;0.706868658
helppo;vaikea;2;2.4570382653
hevonen;härkä;1.5454545455;2.0800479145
hiiri;hallinto;0.0181818182;0.1348399725
hiiri;kissa;0.7818181818;1.2124494505
hoitaja;tieteilijä;0.7454545455;1.3363602006
huomattava;selvä;4.4363636364;3.348651671
huone;sänky;0.6727272727;1.2026905863
hysteria;hämmennys;2.0181818182;2.4757408849
hyväksyä;uskoa;0.5454545455;1.1677484162
hyväksyä;suositella;1.7818181818;2.4921425342
hyväksyä;hylätä;2.6727272727;2.687795086
ikkuna;ovi;1.6363636364;2.2637533268
illallinen;keitto;1.6363636364;2.2473328749
illallinen;aamiainen;1.5272727273;2.4408145685
ilma;helium;1.4727272727;2.2348630371
ilo;ylpeys;1.8545454545;2.3366498796
iloinen;nuori;0.5636363636;1.1668830968
isä;jumala;1.0363636364;1.7423232294
isä;veli;1.3272727273;1.9346216536
isä;tytär;2.1818181818;2.8355606219
iso;laaja;6.4181818182;2.6575602087
järjestää;vaatia;0.4545454545;1.1024918211
järvi;suo;1.elo;2.2722154306
joki;meri;1.8363636364;2.1922729315
joki;virta;6;2.8738927014
jumala;pappi;1.0909090909;1.7349642677
jumala;henki;3.0181818182;2.7045291854
juoru;uutinen;2.5090909091;2.5449494448
juristi;pankkiiri;1.0727272727;1.6761347229
kadota;hävitä;8.0363636364;2.7417461074
kana;kalkkuna;2.7454545455;2.7231394043
kantaa;tuoda;1.8545454545;2.4975408781
kapea;laaja;0.3636363636;0.8684519297
kärsimätön;ahdistunut;2.0909090909;2.3670009723
kärsimys;suru;3.9272727273;2.8858181038
katu;kuja;0.4545454545;0.89893315
katu;auto;5.0909090909;2.8949043819
kaunis;ihana;4.7818181818;2.7734916427
kaveri;kumppani;4.1090909091;2.9544237219
käyttäytyä;totella;2.8363636364;2.7268462068
