word1_fi;word2_fi;SimLex999;word1_en;word2_en;POS;SimLex999;conc(w1);conc(w2);concQ;Assoc(USF);SimAssoc333;SD(SimLex)
helppo;vaikea;SimLex999;easy;difficult;A;0,58;2,07;2,21;1;2,83;1;0,36
aikuinen;vauva;SimLex999;adult;baby;N;2,22;4,4;5;3;0,19;0;0,39
ranta;saari;SimLex999;beach;island;N;5,6;4,79;4,96;4;0,48;1;0,39
tihku;sade;SimLex999;drizzle;rain;N;9,17;4,21;4,97;3;0,19;0;0,39
turhautuminen;viha;SimLex999;frustration;anger;N;6,5;2,06;2,41;1;0,17;0;0,39
joki;meri;SimLex999;river;sea;N;5,72;4,89;4,79;4;0,17;0;0,39
vanha;uusi;SimLex999;old;new;A;1,58;2,72;2,81;2;7,25;1;0,41
luu;leuka;SimLex999;bone;jaw;N;4,17;4,9;4,87;4;0,82;1;0,44
vaara;sairaus;SimLex999;danger;disease;N;3;2,68;3,45;2;0,14;0;0,44
ovi;keittiö;SimLex999;door;kitchen;N;1,67;4,81;4,97;4;0,15;0;0,44
hysteria;hämmennys;SimLex999;hysteria;confusion;N;6,33;2,86;2,24;1;0,14;0;0,44
ottaa;kantaa;SimLex999;take;carry;V;5,23;3,06;4,04;2;0,34;0;0,44
kirja;kirjallisuus;SimLex999;book;literature;N;7,53;4,9;4,1;3;4,86;1;0,45
kadota;hävitä;SimLex999;vanish;disappear;V;9,8;2,77;2,86;2;2,76;1;0,46
yritys;yhtiö;SimLex999;business;company;N;9,02;3,28;4,11;3;0,97;1;0,47
iloinen;nuori;SimLex999;happy;young;A;2;2,56;3,16;2;0,2;0;0,47
fiksu;tyhmä;SimLex999;smart;dumb;A;0,55;1,75;2,36;1;2,1;1;0,47
päivällinen;ateria;SimLex999;supper;meal;N;7,53;4,63;4,62;3;0,63;1;0,47
talvi;kesä;SimLex999;winter;summer;N;2,38;3,84;3,64;3;3,96;1;0,47
vahinko;hätä;SimLex999;accident;emergency;N;4,93;3,26;2,41;2;0,41;0;0,49
analysoida;arvioida;SimLex999;analyze;evaluate;V;8,03;2,3;1,85;1;0,28;0;0,49
varvas;sormi;SimLex999;toe;finger;N;4,68;4,93;5;4;3,22;1;0,55
selvittää;jahdata;SimLex999;investigate;pursue;V;7,15;2,27;2,83;1;0;0;0,56
leveä;kapea;SimLex999;wide;narrow;A;1,03;3,06;3,04;2;4,06;1;0,58
lehmä;vuohi;SimLex999;cow;goat;N;2,93;4,96;5;4;0,42;0;0,59
kestävyys;voima;SimLex999;endurance;strength;N;6,58;2;2,96;1;0,28;0;0,59
kerääntyä;tavata;SimLex999;gather;meet;V;7,3;2,75;3;2;0,55;1;0,59
siemen;sinappi;SimLex999;seed;mustard;N;3,48;4,71;4,93;4;0,32;0;0,59
sana;kirjallisuus;SimLex999;word;literature;N;4,77;3,56;4,1;3;0,14;0;0,59
ystävällinen;antelias;SimLex999;friendly;generous;A;5,9;2,32;2,25;1;0,21;0;0,6
sanoa;varmistaa;SimLex999;say;verify;V;4,9;2,58;2,1;1;0;0;0,65
fiksu;älykäs;SimLex999;smart;intelligent;A;9,2;1,75;2,46;1;7,11;1;0,67
sulhanen;morsian;SimLex999;groom;bride;N;3,17;4,54;4,63;3;8,65;1;0,68
luu;nilkka;SimLex999;bone;ankle;N;3,82;4,9;4,81;4;0,35;0;0,69
miellyttää;viihdyttää;SimLex999;please;entertain;V;5;1,64;2,55;1;0,11;0;0,71
tuoda;palauttaa;SimLex999;bring;restore;V;2,62;2,55;2,79;2;0,1;0;0,74
puhua;kuulla;SimLex999;speak;hear;V;3,02;3,7;3,66;2;0,33;0;0,76
mennä;lähettää;SimLex999;go;send;V;3,75;3,15;2,7;2;0,33;0;0,77
kirja;tarina;SimLex999;book;story;N;5,63;4,9;3,3;3;4,19;1;0,78
auto;letku;SimLex999;car;hose;N;0,87;4,89;4,87;4;0,14;0;0,78
lehmä;karja;SimLex999;cow;cattle;N;9,52;4,96;4,64;4;4,39;1;0,79
säveltäjä;kirjailija;SimLex999;composer;writer;N;6,58;4,37;4,32;3;0,15;0;0,8
rakastaja;kumppani;SimLex999;lover;companion;N;5,97;3,68;3,75;3;0,42;0;0,8
ottaa;poistua;SimLex999;take;leave;V;2,47;3,06;2,53;2;0,21;0;0,8
voittaa;saavuttaa;SimLex999;win;accomplish;V;7,85;2,67;2,33;1;0,27;0;0,8
kirja;teema;SimLex999;book;theme;N;2,58;4,9;2,72;3;0,1;0;0,81
edullinen;halpa;SimLex999;inexpensive;cheap;A;8,72;2,22;2,11;1;0,79;1;0,81
joki;virta;SimLex999;river;stream;N;7,3;4,89;4,5;3;3,21;1;0,81
kissa;leijona;SimLex999;cat;lion;N;6,75;4,86;4,96;4;0,85;1;0,84
verrata;analysoida;SimLex999;compare;analyze;V;8,1;2,52;2,3;1;0,28;0;0,84
kaunis;ihana;SimLex999;beautiful;wonderful;A;6,5;2,16;1,82;1;0,68;1;0,85
tappaa;puolustaa;SimLex999;kill;defend;V;2,63;3,9;2,31;2;0,14;0;0,85
levoton;nuori;SimLex999;restless;young;A;1,6;2,46;3,16;2;0,41;0;0,85
rikos;rikkomus;SimLex999;crime;violation;N;7,12;3,03;2,67;2;0,33;0;0,87
tyyli;muoti;SimLex999;style;fashion;N;8,5;2,67;3,43;2;0,61;1;0,87
tuoda;lähettää;SimLex999;bring;send;V;2,97;2,55;2,7;2;0,11;0;0,88
liittyä;lisätä;SimLex999;join;add;V;8,1;2,86;3;2;0,11;0;0,88
oppia;arvioida;SimLex999;learn;evaluate;V;4,17;2,2;1,85;1;0,17;0;0,88
lumi;myrsky;SimLex999;snow;storm;N;4,8;4,85;4,7;4;0,12;0;0,88
taistelu;valloitus;SimLex999;battle;conquest;N;7,22;4;2,54;2;0,41;0;0,89
likainen;kapea;SimLex999;dirty;narrow;A;0,3;4,23;3,04;2;0;0;0,89
todellisuus;fantasia;SimLex999;reality;fantasy;N;1,03;1,72;1,59;1;0,83;1;0,89
seinä;koriste;SimLex999;wall;decoration;N;2,62;4,86;3,53;3;0,14;0;0,89
mennä;myydä;SimLex999;go;sell;V;0,97;3,15;3,35;2;0,11;0;0,9
ilo;ylpeys;SimLex999;joy;pride;N;5;2,37;1,66;1;0,72;1;0,9
lusikka;kuppi;SimLex999;spoon;cup;N;2,02;4,96;5;4;0,19;0;0,9
lintu;haukka;SimLex999;bird;hawk;N;7,85;5;4,93;4;5,29;1;0,91
valtava;tyhmä;SimLex999;huge;dumb;A;0,48;3,54;2,36;2;0;0;0,91
morsian;prinsessa;SimLex999;bride;princess;N;2,8;4,63;4,72;3;0,58;1;0,92
eksoottinen;harvinainen;SimLex999;exotic;rare;A;8,05;2,11;1,96;1;0,14;0;0,93
ystävä;kaveri;SimLex999;friend;buddy;N;8,78;3,07;3,48;2;6,87;1;0,93
rotta;hiiri;SimLex999;rat;mouse;N;7,78;4,85;4,83;4;0,87;1;0,93
liittää;liittyä;SimLex999;attach;join;V;7,75;3,33;2,86;2;0,11;0;0,94
pilvi;sää;SimLex999;cloud;weather;N;4,87;4,54;3,83;3;0,4;0;0,94
vesi;suola;SimLex999;water;salt;N;1,3;5;4,89;4;0,63;1;0,94
kirja;artikkeli;SimLex999;book;article;N;5,43;4,9;4,33;3;0,14;0;0,95
kipu;vahinko;SimLex999;pain;harm;N;5,38;3,5;2,62;2;0,42;0;0,95
varastaa;ostaa;SimLex999;steal;buy;V;1,13;3,84;3,35;2;0,28;0;0,95
arvo;uskomus;SimLex999;value;belief;N;7,07;1,62;1,19;1;0,14;0;0,95
sana;sivu;SimLex999;word;page;N;2,92;3,56;4,9;3;0,14;0;0,99
ymmärtää;tyydyttää;SimLex999;comprehend;satisfy;V;2,55;1,86;2,04;1;0;0;1
hyväksyä;suositella;SimLex999;accept;recommend;V;2,75;3,03;1,74;1;0,11;0;1,01
putki;sikari;SimLex999;pipe;cigar;N;6,03;4,88;4,93;4;0,14;0;1,01
olettaa;ennustaa;SimLex999;assume;predict;V;4,85;1,75;2;1;0,17;0;1,02
pallo;asu;SimLex999;ball;costume;N;2,32;5;4,57;4;0,24;0;1,02
hiiri;kissa;SimLex999;mouse;cat;N;1,12;4,83;4,86;4;2,56;1;1,02
mies;soturi;SimLex999;man;warrior;N;4,72;4,79;4,17;3;0,14;0;1,03
ampiainen;muurahainen;SimLex999;bee;ant;N;2,78;4,88;4,86;4;0,34;0;1,04
pilvi;sumu;SimLex999;cloud;fog;N;6;4,54;4,66;3;1,05;1;1,04
etsiä;kadota;SimLex999;find;disappear;V;0,77;2,63;2,86;2;0,2;0;1,04
luu;kaula;SimLex999;bone;neck;N;2,53;4,9;5;4;0,18;0;1,05
poliitikko;presidentti;SimLex999;politician;president;N;7,38;4,33;4,4;3;0,14;0;1,05
prinssi;kuningas;SimLex999;prince;king;N;5,92;4,44;4,1;3;0,16;0;1,05
hoitaja;tieteilijä;SimLex999;nurse;scientist;N;2,08;4,39;4,24;3;0,14;0;1,06
heijastus;kuva;SimLex999;reflection;image;N;7,27;3,29;3,85;2;0,16;0;1,06
väite;kritiikki;SimLex999;argument;criticism;N;5,08;2,85;2,07;1;0,14;0;1,07
olut;alkoholi;SimLex999;beer;alcohol;N;7,5;4,88;4,76;4;2,4;1;1,07
sydän;leikkaus;SimLex999;heart;surgery;N;1,08;4,52;4,34;3;0,48;1;1,07
sokeri;hunaja;SimLex999;sugar;honey;N;5,13;4,87;4,88;4;0,26;0;1,07
pallo;kori;SimLex999;ball;basket;N;1,67;5;5;4;1,33;1;1,08
ranta;meri;SimLex999;beach;sea;N;4,68;4,79;4,79;4;0,33;0;1,08
sairaus;infektio;SimLex999;disease;infection;N;7,15;3,45;4,1;3;3,45;1;1,08
helppo;joustava;SimLex999;easy;flexible;A;4,1;2,07;2,64;1;0,27;0;1,08
vankila;valinta;SimLex999;jail;choice;N;1,08;4,83;1,9;2;0;0;1,08
korvata;palauttaa;SimLex999;replace;restore;V;5,73;3;2,79;2;0,11;0;1,08
elastinen;joustava;SimLex999;elastic;flexible;A;7,78;3,73;2,64;2;0,14;0;1,09
lisätä;rakentaa;SimLex999;add;build;V;4,92;3;3,71;2;0,11;0;1,1
yritys;teollisuus;SimLex999;business;industry;N;7,02;3,28;3,29;2;1,73;1;1,1
luoda;tuhota;SimLex999;create;destroy;V;0,63;2,62;3,08;2;0,11;0;1,1
likainen;halpa;SimLex999;dirty;cheap;A;1,6;4,23;2,11;2;0,14;0;1,1
valinta;suoni;SimLex999;choice;vein;N;0,98;1,9;4,63;2;0;0;1,11
ovi;käytävä;SimLex999;door;corridor;N;3,73;4,81;4,72;4;0,79;1;1,11
raha;palkka;SimLex999;money;salary;N;7,88;4,54;3,69;3;5,16;1;1,11
opiskelija;oppilas;SimLex999;student;pupil;N;9,35;4,92;4,55;3;6,83;1;1,11
varmistaa;oikeuttaa;SimLex999;verify;justify;V;4,08;2,1;1,45;1;0,17;0;1,11
keho;hermo;SimLex999;body;nerve;N;3,13;4,79;3,89;3;0,18;0;1,12
kirja;informaatio;SimLex999;book;information;N;5;4,9;2,87;3;0,2;0;1,13
kuolema;tragedia;SimLex999;death;tragedy;N;5,8;3,73;2,07;2;1,41;1;1,13
opiskelija;professori;SimLex999;student;professor;N;1,95;4,92;4,86;4;0,14;0;1,13
ajatella;järkeillä;SimLex999;think;rationalize;V;8,25;2,41;1,52;1;3,17;1;1,13
saavuttaa;yrittää;SimLex999;achieve;try;V;4,42;2,29;2,22;1;0,21;0;1,14
luoda;rakentaa;SimLex999;create;build;V;8,48;2,62;3,71;2;0,28;0;1,14
mukava;antelias;SimLex999;nice;generous;A;5;2,18;2,25;1;0,77;1;1,14
olettaa;esittää;SimLex999;assume;pretend;V;3,72;1,75;2,11;1;0,14;0;1,15
keho;vatsa;SimLex999;body;stomach;N;3,93;4,79;4,89;4;0,28;0;1,15
sekunti;minuutti;SimLex999;second;minute;N;4,62;3,3;3,04;2;2,84;1;1,15
vero;tulo;SimLex999;tax;income;N;2,38;3,89;3,07;2;2,25;1;1,15
tina;metalli;SimLex999;tin;metal;N;5,63;4,87;4,87;4;0,13;0;1,15
kynsi;peukalo;SimLex999;nail;thumb;N;3,55;4,93;4,96;4;1,76;1;1,16
katu;auto;SimLex999;street;car;N;2,38;4,75;4,89;4;0,11;0;1,16
ottaa;toimittaa;SimLex999;take;deliver;V;4,37;3,06;3,12;2;0,33;0;1,16
yö;päivä;SimLex999;night;day;N;1,88;4,52;3,92;3;8,19;1;1,17
asunto;hotelli;SimLex999;apartment;hotel;N;3,33;4,9;4,93;4;0,14;0;1,18
veli;sielu;SimLex999;brother;soul;N;0,97;4,43;1,86;2;0,27;0;1,18
rikos;petos;SimLex999;crime;fraud;N;5,65;3,03;1,68;1;0,42;0;1,18
reikä;vaimo;SimLex999;hole;wife;N;0,68;4,81;4,13;3;0;0;1,18
hevonen;härkä;SimLex999;horse;ox;N;3,02;5;4,86;4;0,14;0;1,18
tietää;uskoa;SimLex999;know;believe;V;5,5;1,68;1,55;1;0,6;1;1,18
juristi;pankkiiri;SimLex999;lawyer;banker;N;1,88;4,7;4,43;3;0,2;0;1,18
kapea;laaja;SimLex999;narrow;broad;A;1,18;3,04;2,45;2;1;1;1,18
alkoholi;viski;SimLex999;alcohol;whiskey;N;7,27;4,76;4,74;4;0,51;1;1,19
uskomus;kukka;SimLex999;belief;flower;N;0,4;1,19;5;2;0;0;1,19
auto;hissi;SimLex999;car;elevator;N;1,03;4,89;4,79;4;0,14;0;1,19
tohtori;professori;SimLex999;doctor;professor;N;4,65;4,69;4,86;4;0,36;0;1,19
metri;tuuma;SimLex999;meter;inch;N;5,08;4,7;4,37;3;0,2;0;1,19
ampiainen;kuningatar;SimLex999;bee;queen;N;3,27;4,88;4,45;3;0,41;0;1,2
auto;silta;SimLex999;car;bridge;N;0,95;4,89;4,97;4;0,16;0;1,2
jumala;pappi;SimLex999;god;priest;N;4,5;2,07;4,77;2;0,28;0;1,2
