: TOEFL QUESTIONS
Bijou Schmuckstück Spitzbube Spielkarte Gaststätte
indiskret taktlos unaufdringlich undurchschaubar rücksichtslos
Kaprice Laune Niedertracht Schelmenstreich Luftsprung
Stethoskop Hörrohr Blutdruckmesser Augenspiegel Spatel
Stabelle Sitzmöbel Metallplastik Zierpflanze Stabreim
Weichbild Stadtgebiet Horizont Silhouette Luftspiegelung
Zabaione Weincreme Zitrusfrucht Fremdenführer Liebeslied
Rigg Takelung Signalflagge Steuerruder Fangnetz
Schot Segelleine Schiffswand Mastspitze Haltetau
Bibliomanie Büchersammelwut Literaturverzeichnis Verlagstätigkeit Buchstabengläubigkeit
Compliance Therapietreue Verwirrung Vereinbarkeit Vertrauen
desaströs verhängnisvoll verlockend abenteuerlich respektlos
Honorar Vergütung Zuwendung Künstlergehalt Ehrengrab
konsequent unbeirrbar zuständig sachverständig gebieterisch
Lemming Nagetier Spukgeist Geheimagent Rebsorte
Muffin Kleingebäck Spenglerwerkzeug Miesepeter Wildschaf
Outlaw Geächteter Außenseiter Steuersünder Flüchtling
Reverie Träumerei Ehrerbietung Einkommen Wiederkehr
Rucola Salatpflanze Glücksspiel Laubengang Fleischrolle
Urbanität Bildung Bodenständigkeit Tatendrang Starrsinn
Zyniker Spötter Spaßmacher Widerspruchsgeist Wortklauber
durchgeknallt überspannt fassungslos wütend zahlungsunfähig
etepetete zimperlich begriffsstutzig wichtigtuerisch schüchtern
Sündenbock Prügelknabe Schandpfahl Anklagebank Lebemann
Ticker Fernschreiber Schnellmerker Wirrkopf Schaltelement
Festplatte Dauerspeicher Stellfläche Hauptplatine Siliciumchip
RAM Arbeitsspeicher Tastatur Gehäusetyp Datenbank
Monitor Bildschirm Lesestift Blendfilter Drucker
Pixel Bildpunkt Bildröhre Bildschärfe Einbrennfleck
Scanner Bildabtaster Farbpatrone Suchmaschine Flachbildschirm
Netzwerk Rechnerverbund Kabelsalat Tischcomputer Fernsehkanal
Server Zentralcomputer Stromquelle Nothelfer Regler
Software Computerprogramme Zusatzgeräte Ersatzteile Drähte
herunterladen kopieren markieren verkleinern löschen
Smiley Bildsymbol Warnsignal Abkürzung Strahlung
Alraune Zauberwesen Blutstiller Rutengänger Rankenornament
Altarblatt Gemälde Bibeltext Tagesspruch Schnitzwerk
Bandsalat Tonbandgewirr Nudelspeise Bänderriss Kurzwellenempfang
Bessemerbirne Stahlbehälter Leuchtkörper Hochofen Schnaps
Blätterwald Presse Tabakplantage Laubdach Lesesaal
Einbaum Holzkahn Rindenboot Einmaster Surfbrett
Gerstenkorn Lidentzündung Mitesser Kaffeeersatz Schrotkugel
Rosette Schmuckform Rundbeet Kirchenkuppel Wasserpflanze
Schellenbaum Rasselinstrument Pranger Signalmast Spielkarte
Windrose Kompassscheibe Krankheit Irrlicht Wirbelsturm
Agnostiker Ungläubiger Eiferer Nichtswisser Querkopf
anachronistisch zeitwidrig sonderbar originell zeitbedingt
Desillusion Ernüchterung Erhellung Verblendung Entspannung
Dogma Glaubenssatz Schlagwort Theorie Erkenntnis
Duplikat Zweitschrift Einzelstück Doppelkinn Nachbildung
Exkursion Lehrausflug Abschweifung Erläuterung Entschuldigung
fingieren erdichten belasten gestalten begründen
Kollaps Schwächeanfall Zusammenstoß Anhäufung Wutausbruch
kompatibel zusammenpassend vergleichbar zuständig erheblich
Nonchalance Lässigkeit Schüchternheit Trägheit Heftigkeit
Ovation Beifallssturm Eiablage Lobrede Höhepunkt
Protektion Gönnerschaft Vormundschaft Obhut Bestechung
Renegat Abtrünniger Heimkehrer Aufrührer Neinsager
Annexion Aneignung Befriedung Verwüstung Aufteilung
autoritär diktatorisch bodenständig unabhängig maßgebend
Dirigismus Wirtschaftslenkung Staatskunst Freizügigkeit Gängelung
Koalition Parteienbündnis Beratung Zusammenstoß Abkommen
Lobby Interessengruppe Pressestelle Parteislogan Wahlbüro
Migration Zuwanderung Menschenschmuggel Eingliederung Abschiebung
Opportunist Anpasser Gegenkandidat Widerständler Wirrkopf
Plenum Vollversammlung Haushaltsplan Vollmacht Sitzungssaal
progressiv fortschrittlich planmäßig modebewusst herausfordernd
Prosperität Wohlstand Einfluss Sparpolitik Unnachgiebigkeit
Resolution Entschließung Tatkraft Rechtfertigung Antrag
telegen fernsehwirksam weitblickend hübsch volkstümlich
lapidar wuchtig schlüpfrig seitlich weinerlich
Ägide Schirmherrschaft Leitspruch Richtschnur Zeitalter
Aphrodisiakum Anregungsmittel Aroma Liebesschwur Lebensweisheit
Bacchanal Trinkgelage Siegessprache Weinprobe Festmahl
herkulisch riesenstark wohlbeleibt schwerfällig schöpferisch
Hermaphrodit Zwitter Schöngeist Frauenliebling Solotänzer
junonisch stattlich jugendlich temperamentvoll vergeistigt
martialisch kriegerisch märzlich gebieterisch quälend
Mnemonik Gedächtniskunst Hörvermögen Ausdruckskraft Spürsinn
narzisstisch selbstverliebt verträumt uneigennützig genusssüchtig
Thanatologie Sterbekunde Traumdeutung Erblehre Zukunftsforschung
titanisch gewaltig feenhaft metallen rebellisch
Zerberus Türhüter Leibwächter Zankteufel Wundermann
antiquiert überholt ehrwürdig alt unbrauchbar
Atheist Gottesleugner Glaubensstreiter Frömmler Spötter
Demenz Geistesschwäche Abwesenheit Anstand Fehlbetrag
Eklat Skandal Gebäckstück Paukenschlag Applaus
etabliert anerkannt aufstrebend parteiisch kämpferisch
fulminant mitreißend wohlbeleibt zornentbrannt hochexplosiv
Nonsens Unsinn Meinungsverschiedenheit Irrtum Wortwitz
optimal bestmöglich eindrucksvoll wünschenswert übersteigert
resolut tatkräftig zurückhaltend bärbeißig berechnend
sporadisch vereinzelt ständig ungeplant formlos
Voyeur Schlüssellochgucker Fernsehnarr Wachmann Erpresser
Bionik Wissenschaftszweig Umwelt Bodensatz Komposthaufen
Blockbuster Kassenschlager Prellbock Eckhaus Betonkopf
Fake Fälschung Nagelbrett Tatsache Kunstgriff
Guarana Aufputschmittel Freischärlerin Abwehrzauber Dünger
Gyros Fleischgericht Wurfscheibe Umlaufbahn Imbissstube
Headhunter Personalberater Meisterdetektiv Kopfballspieler Großwildjäger
IT Informationstechnik Instrumententafel Intelligenztest Außerirdischer
Kickboard Tretroller Trittbrett Anschlagtafel Computertastatur
Organizer Taschencomputer Kirchenmusiker Chirurg Manager
Piercing Hautschmuck Rakete Liebkosung Heilmethode
Truck Lastkraftwagen Zugmaschine Werkzeugkasten Reisekoffer
Abstinenz Enthaltsamkeit Aufmüpfigkeit Ausdauer Genusssucht
allergisch überempfindlich abgebrüht misstrauisch hilflos
Creole Ohrring Handtrommel Strandgewand Schmuckspange
erodieren zerfressen ermitteln abrunden ausstrahlen
Fiasko Misserfolg Wirrwarr Wandgemälde Wollgewebe
Häresie Ketzerei Glaubenseifer Zweifelsucht Empörung
inkognito unerkannt ahnungslos begriffsstutzig insgeheim
irisieren schillern schimmern zwinkern begeistern
Magnolie Zierbaum Südfrucht Töpferware Zupfinstrument
Parzelle Grundstück Gewahrsam Schicksalsgöttin Anwesen
Repression Unterdrückung Hotelbüro Wirtschaftsflaute Zurückhaltung
Basar Marktbereich Teppichhandel Wechselstube Armenfürsorge
Imam Vorbeter Gebetsrufer Gebetsrichtung Glaubensbekenntnis
