NOUN	CLASS	FREQ.BNC	LOGFREQ.BNC
galinha	ave-animal-natural	2579	7.86
águia	ave-animal-natural	1793	7.49
pato	ave-animal-natural	2094	7.65
cisne	ave-animal-natural	1431	7.27
coruja	ave-animal-natural	1648	7.41
pinguim	ave-animal-natural	600	6.40
pavão	ave-animal-natural	578	6.36
cão	animTerrestre-animal-natural	12536	9.44
elefante	animTerrestre-animal-natural	1508	7.32
vaca	animTerrestre-animal-natural	2611	7.87
gato	animTerrestre-animal-natural	5540	8.62
leão	animTerrestre-animal-natural	2155	7.68
porco	animTerrestre-animal-natural	2508	7.83
caracol	animTerrestre-animal-natural	543	6.30
tartaruga	animTerrestre-animal-natural	447	6.10
cerejeira	arvFruto-vegetal-natural	1096	7.00
bananeira	arvFruto-vegetal-natural	991	6.90
pereira	arvFruto-vegetal-natural	723	6.58
ananaseiro	arvFruto-vegetal-natural	330	5.80
cogumelo	verdura-vegetal-natural	901	6.80
milho	verdura-vegetal-natural	1224	7.11
alface	verdura-vegetal-natural	448	6.10
batata	verdura-vegetal-natural	2527	7.83
cebola	verdura-vegetal-natural	1236	7.12
garrafa	ferramenta-artefacto-artefacto	6002	8.70
lápis	ferramenta-artefacto-artefacto	1451	7.28
caneta	ferramenta-artefacto-artefacto	2691	7.90
chávena	ferramenta-artefacto-artefacto	13575	9.52
taça	ferramenta-artefacto-artefacto	3165	8.06
tesouras	ferramenta-artefacto-artefacto	442	6.09
chaleira	ferramenta-artefacto-artefacto	989	6.90
faca	ferramenta-artefacto-artefacto	3364	8.12
chave de fendas	ferramenta-artefacto-artefacto	272	5.61
martelo	ferramenta-artefacto-artefacto	1354	7.21
colher	ferramenta-artefacto-artefacto	1013	6.92
cinzel	ferramenta-artefacto-artefacto	233	5.45
telefone	ferramenta-artefacto-artefacto	8551	9.05
barco	veículo-artefacto-artefacto	7391	8.91
carro	veículo-artefacto-artefacto	35374	10.47
navio	veículo-artefacto-artefacto	7505	8.92
camião	veículo-artefacto-artefacto	1867	7.53
foguete	veículo-artefacto-artefacto	892	6.79
mota	veículo-artefacto-artefacto	367	5.91
helicóptero	veículo-artefacto-artefacto	1556	7.35
