	adjusted r	adjusted r-squared	norm	r-squared	source
0	0.7808289648812161	0.6096938723974714	valence	0.6202580958042707	en-warriner-2013.tsv
1	0.6047343218967558	0.3657036000799291	arousal	0.37204018095571084	en-warriner-2013.tsv
2	0.6910252801666165	0.4775159378293507	dominance	0.48578990165926417	en-warriner-2013.tsv
0	0.7946017409493369	0.631391926719717	concreteness	0.7688909999796021	en-brysbaert-2014.tsv
0	0.5358037157267637	0.28708562178660657	rt	0.3211300213888705	en-keuleers-2012.tsv
1	0.610174330953241	0.3723127141542353	accuracy	0.4164638727486278	en-keuleers-2012.tsv
0		-0.0756497447624235	imageability	-0.07835152136108148	en-thibodeau-2016.tsv
1	0.4305638880865582	0.18538526172421424	arousal	0.19200616392865044	en-thibodeau-2016.tsv
2		-0.04991942227764153	familiarity	-0.0517022587875573	en-thibodeau-2016.tsv
3	0.3804055385503973	0.14470837375981782	use	0.14987652996552558	en-thibodeau-2016.tsv
4	0.5352693395529945	0.2865132658654989	aversion	0.29674588250355244	en-thibodeau-2016.tsv
5	0.6752394763539051	0.45594835042669596	valence	0.4722322200847922	en-thibodeau-2016.tsv
0	0.7144508651317305	0.5104400386874781	age of acquisition	0.5698122651307008	en-kuperman-2012.tsv
0	0.6191715658655698	0.38337342797642165	familiarity	0.3892975206824591	en-janschewitz-2008.tsv
1	0.8527407372698569	0.7271667649995391	tabooness	0.7384033375271258	en-janschewitz-2008.tsv
2	0.6211398442469134	0.3858147061110798	personal use	0.3917765227618029	en-janschewitz-2008.tsv
3	0.8110863508086043	0.6578610684680183	offensiveness	0.6680266920425793	en-janschewitz-2008.tsv
