	norm	r	r-squared	source
0	valence	0.8141283730100788	0.6628050077400379	en-warriner-2013.tsv
1	arousal	0.634321302878613	0.4023635152856211	en-warriner-2013.tsv
2	dominance	0.7093743897215828	0.5032120247928681	en-warriner-2013.tsv
0	concreteness	0.8472482867496705	0.7178296594002518	en-brysbaert-2014.tsv
0	rt	0.6718215863899544	0.4513442439395149	en-keuleers-2012.tsv
1	accuracy	0.7617904616427474	0.5803247074498703	en-keuleers-2012.tsv
0	imageability	0.42423187781909205	0.17997268615791306	en-thibodeau-2016.tsv
1	arousal	0.6274180237439322	0.3936533765187414	en-thibodeau-2016.tsv
2	familiarity	0.30589118534023435	0.0935694172688536	en-thibodeau-2016.tsv
3	use	0.4290327369070408	0.18406908933794608	en-thibodeau-2016.tsv
4	aversion	0.6635494743319562	0.44029790488621545	en-thibodeau-2016.tsv
5	valence	0.7433281555961706	0.5525367469020048	en-thibodeau-2016.tsv
0	age of acquisition	0.8124557451194945	0.660084337777673	en-kuperman-2012.tsv
0	familiarity	0.801863689075987	0.6429853758585512	en-janschewitz-2008.tsv
1	tabooness	0.9137863158712105	0.8350054310734797	en-janschewitz-2008.tsv
2	personal use	0.8162070611179547	0.6661939666188086	en-janschewitz-2008.tsv
3	offensiveness	0.8680045126408311	0.7534318339648468	en-janschewitz-2008.tsv
