word	age of acquisition	concreteness
aai	5.28	4.07
aak	10.50	4.67
aalbes	9.78	4.73
aalglad	12.20	2.64
aalmoezenier	11.80	2.87
aalscholver	12.09	4.27
aalt	16.33	5.00
aambeeld	11.44	3.79
aambei	13.53	4.13
aambeien	12.26	4.43
aamborstig	13.33	1.50
aan	5.50	1.93
aanbaksel	10.78	3.93
aanbedene	11.00	1.93
aanbelanden	10.39	2.67
aanbelangen	12.17	2.07
aanbellen	7.39	4.13
aanbesteden	11.95	2.00
aanbesteding	13.89	2.13
aanbetaling	12.94	2.00
aanbevelen	10.72	2.00
aanbeveling	10.85	2.20
aanbiddelijk	10.72	1.67
aanbidden	10.11	2.33
aanbidder	9.89	2.60
aanbidding	9.35	2.07
aanbieden	9.61	2.73
aanbieding	10.29	2.80
aanblijven	9.17	2.27
aanblik	9.90	2.60
aanbod	9.22	2.13
aanboren	12.00	2.87
aanbouw	10.56	3.50
aanbraden	9.00	3.53
aanbranden	7.28	3.87
aanbreken	9.94	1.87
aanbrengen	8.83	2.33
aandacht	8.15	1.87
aandachtspunt	10.61	2.00
aandeel	11.50	2.33
aandeelhouder	11.94	2.73
aandelen	12.89	2.53
aandenken	8.72	2.33
aandikken	10.67	3.33
aandoen	6.56	3.60
aandoening	10.55	2.20
aandoenlijk	11.50	1.47
aandraaien	9.56	3.13
aandrang	10.89	1.93
aandraven	11.12	2.79
aandrift	12.23	1.83
aandrijven	10.50	2.53
aandrijving	12.33	3.33
aandringen	9.22	2.73
aandrukken	8.35	3.40
aanduiden	7.11	3.67
aanduiding	10.17	2.60
aandurven	9.56	2.13
aaneen	7.67	2.27
aanflitsen	10.06	2.91
aanfluiting	11.36	2.17
aangaan	9.72	2.07
aangaande	11.61	1.27
aangapen	9.11	3.80
aangebonden	9.65	2.71
aangeboren	9.72	1.60
aangedaan	10.28	2.07
aangeklaagde	11.70	2.13
aangelegenheid	11.28	2.00
aangeschoten	11.67	2.87
aangeslagen	10.35	2.33
aangetrouwd	10.06	2.47
aangeven	9.06	2.60
aangever	10.35	2.54
aangewezen	10.85	1.80
aangezicht	8.50	4.20
aangezien	10.78	1.29
aangifte	11.28	2.67
aangrenzend	10.85	3.00
aangrijpen	10.78	2.53
aangrijpend	10.78	2.27
aangroei	10.44	2.53
aangroeien	9.00	3.00
aanhalen	9.42	2.20
aanhalerig	12.67	1.67
aanhalig	12.00	1.85
