word	arousal	valence
ahdinko	5.19	1.54
abortti	4.52	2.38
ahdistus	5.34	1.56
ahkeruus	3.88	4.88
ahneus	5.02	1.89
aikuisuus	3.59	4.41
aitous	2.98	5.83
ajatus	3.67	5.3
ampiainen	4.92	2.88
apeus	3.63	2.24
armeija	4.38	3.43
arvokkuus	3.35	4.83
asiointi	3.95	3.73
askel	3.55	4.79
astia	3.37	4.08
asukas	3.51	4.07
aurinko	3.24	5.99
autuus	2.45	5.28
avaruus	3.97	4.91
ehostus	3.41	4.2
elämä	4.13	5.76
enkeli	2.67	5.61
etelä	3.65	5.05
etevyys	3.63	4.84
haarniska	3.96	3.47
haaska	4.18	2.27
haava	4.35	2.42
haaveilu	3.21	5.82
halaus	3.43	6.13
halvaus	4.71	1.52
hankaluus	4.66	2.28
happamuus	3.81	2.95
hauta	3.81	2.41
hellyys	2.84	6.43
herjaus	5.19	1.84
hermo	4.26	3.46
hetki	3.22	5.07
hiekka	2.89	4.85
hienous	3.57	4.79
hihitys	4.29	4.5
hipiä	3.48	4.59
hitaus	3.95	2.8
hoitaja	3.02	4.68
holkki	3.59	3.83
huone	3.37	4.27
hurmio	5.01	5.26
hurmuri	4.12	4.18
huuma	4.85	4.88
huvila	2.94	5.53
hylkäys	5.2	1.64
hylly	3.28	4.11
hyrinä	3.18	4.57
hyvyys	3.01	5.9
hyväily	4.37	6.24
hyökkäys	5.51	2.17
häirintä	5.15	1.94
hämähäkki	4.46	2.67
häpeä	4.67	1.79
häpäisy	5.43	1.51
häviäjä	4.44	2.35
hölmöys	4.09	2.84
ihailu	3.97	5.22
ihanuus	3.55	5.99
ihastus	5.25	6.07
ilmoitus	3.78	3.93
iloisuus	3.89	6.25
innokkuus	4.71	5.27
intohimo	5.32	5.89
irvokkuus	4.69	2.11
istuin	3.17	4.49
itsekkyys	4.88	2.14
jalous	3.02	5.32
juhla	4.49	5.54
jumaluus	3.91	4.07
juoksija	3.89	4.16
juoma	3.52	4.88
juoru	4.87	2.51
kaarna	2.84	4.94
kaide	3.31	4.14
kaiku	3.3	4.77
kakku	3.28	5.19
kalastus	3.15	4.62
kallio	2.82	5.17
kallo	3.75	3.28
kalpeus	3.31	2.67
kampa	3.34	4.13
kampaus	3.5	4.52
kangas	3.45	4.4
kangastus	3.13	4.69
kankeus	3.67	2.36
kannuste	3.83	5.0
kannustus	4.02	5.79
kanootti	3.39	4.49
kansa	3.7	4.13
kappale	3.54	4.35
karkki	3.57	5.04
kaste	2.96	5.03
kasvain	5.43	1.4
kasvi	2.95	5.11
katkeruus	4.5	1.81
kauneus	3.6	5.86
kavallus	4.69	1.87
kavaltaja	5.21	1.65
kaveruus	3.26	5.72
kehitys	3.95	4.78
keksintö	4.19	4.89
kerskailu	4.98	1.82
kiduttaja	5.77	1.28
kidutus	5.88	1.23
kiihkeys	5.05	4.49
kiintymys	3.38	5.66
kiito	4.3	4.08
kiitos	3.2	6.03
kiljunta	5.12	2.07
kiltteys	2.9	5.5
