word	concreteness	context availability	valence	arousal
abeille	4.9	4	3.83	3.14
accordéon	4.84	3.33	3.23	2.58
acte	2.84	3.03	3.47	2.85
âge	2.48	3.13	3.17	2.61
aide	2.16	3.4	4.03	2.09
aigle	4.83	3.6	3.94	2.86
aigre	2.53	2	2.09	3.38
aiguille	4.67	3.33	2.86	3.17
ail	4.77	3.37	3.34	2.76
aile	4.24	3.63	3.5	2.15
air	1.93	3.17	4.03	1.83
aise	1.97	1.7	3.56	1.72
algue	4.56	3.47	3.27	1.97
ambre	3.17	2.57	3.53	1.86
âme	1.47	3.33	4	1.97
ample	2.32	2.3	3.23	2.41
ampoule	4.56	3.83	3.37	2.53
an	2.16	2.97	3.2	2.71
ananas	4.87	3.8	4.09	2.07
ancre	4.2	3.5	3.75	2.31
âne	4.96	3.77	2.97	2.38
ange	2.47	3.8	4.28	1.48
angle	3.11	2.67	3.03	2.38
août	3.2	4.07	4.59	2.07
apte	2.28	2.4	4.07	2.56
araignée	4.84	4.1	2.17	3.52
arbre	4.76	4.03	4.34	1.52
arc	4.41	3.17	3.1	3.14
arche	4.1	2.8	3.5	2.14
arme	4.48	3.6	1.7	4
arrosoir	4.8	3.93	3.6	1.97
art	1.7	3.93	4.23	1.83
artichaut	4.87	3.27	3.63	2.07
as	3.37	3.07	4.47	2.55
asperge	4.96	3.27	3.4	2.36
asthme	3.12	3.13	1.5	3.61
astre	3	3	4.07	1.93
au	1.44	1.7	2.97	2.42
aube	2.73	3.03	3.83	1.66
autre	1.92	1.9	3	2.79
autruche	4.83	3.37	3.17	2.69
aux	1.53	1.2	3.1	2.52
avion	4.87	4.33	4.13	3.03
axe	2.7	2.53	3.34	2.38
bac	3.73	3.83	3.68	3
bâche	4.53	3.13	2.83	2.45
badge	4.57	3.43	2.88	2.31
bague	4.7	4.13	4.2	2.66
baie	3.8	2.7	4.03	2.17
baigne	3.17	2.5	3.79	2.38
bail	3.17	2.43	2.91	2.59
bain	4.3	4.37	4.1	1.55
baisse	2	2.7	2.47	2.59
bal	3.8	3.93	4.21	2.52
balai	4.92	4	2.37	2.79
balançoire	4.77	3.87	3.93	1.93
balle	4.68	3.8	3.53	3.12
ballon	4.73	3.67	3.83	2.48
ballon de rugby	4.9	3.53	3.2	2.9
banane	4.97	4.23	3.63	2.1
banc	4.84	3.77	3.4	2.15
bande	3.4	3.4	3.23	2.48
banque	4.17	3.47	3.17	3.38
bar	4.27	4.3	3.17	2.55
barbe	4.5	3.67	2.86	2.59
barque	4.72	3.67	3.67	2
barre	3.9	3.2	2.77	2.48
barrière	4.43	2.83	2.34	3
bas	2.63	2.77	2.34	2.03
base	2.3	2	3.28	2.55
basque	2.9	2.3	3.33	2.55
basse	2.37	2.47	2.57	2.17
batte de base-ball	4.8	3.57	2.3	3.35
battre	2.9	3.2	1.88	4.1
baume	3.9	3.2	3.75	1.69
beau	1.8	3.7	4.63	2.1
bec	4.2	3.2	3.06	2.76
bêche	4.24	2.7	3	2.55
beige	2.7	2.03	3.07	2.14
bel	1.93	2.2	3.5	1.83
berge	3.6	2.7	3.59	1.76
bête	2.87	3.1	2.21	3.17
beurre	4.83	3.9	3.57	1.83
biais	2.03	1.93	2.78	2.48
bible	3.97	3.57	3.47	3
biche	4.73	3.7	4.16	2.03
bien	1.53	2.3	4.14	1.69
bière	4.8	4	3.47	2.44
bile	3.56	2.7	1.97	3.18
bille	4.77	3.67	3.23	2.17
bip	2.73	3.03	2.75	2.93
bis	1.8	1.87	3.17	2.66
bise	3.5	3.33	3.72	2.31
blague	2.43	3.7	4.13	2.52
blâme	2.6	2.6	1.5	3.74
blanc	3.43	3.43	3.97	1.69
blanche	3.03	3.33	3.72	1.72
blé	4.47	3.27	3.93	2.41
blême	2.3	1.8	1.75	2.79
bleu	2.9	3.07	4.03	1.83
bloc	3.5	2.13	2.66	2.79
blond	3.07	3.23	3.41	2.34
blues	1.9	3.3	2.13	2.31
bobine de fil	4.83	3.83	3.33	2
boeuf	4.8	3.8	3.63	2.45
boire	3.76	3.83	3.63	2.68
bois	4.5	3.83	3.67	2.07
boîte	4.5	3.63	3.16	2.34
bol	4.7	3.7	3.41	1.86
bombe	4.37	3.77	1.75	4.38
bon	2.28	2.93	4.37	2.15
bond	2.83	2.83	3.33	2.59
bonhomme de neige	4.64	4.43	4.3	2.12
bonne	2	3.07	4.07	2.26
borgne	3.4	2.9	1.67	3.1
borne	4.04	3.13	2.83	2.71
bosse	3.93	3.87	2.43	2.93
botte	4.84	3.7	3.33	2.52
bouc	4.53	3.03	2.62	3.03
bouche	4.77	4.03	3.63	2.21
boucle	4.03	3.13	3.28	2.24
boue	4.2	3.33	2.1	2.69
bouée	4.67	4.17	4	2.38
boueux	3.47	3.13	1.88	3.03
bougie	4.57	3.9	3.86	1.69
bougre	2.4	2	2.23	3.15
bouille	2.73	3.43	3.6	2.21
bouilloire	4.77	3.83	3.57	2.34
boule	4.33	3.2	3.03	2.31
boum	2.4	3.33	3	3.53
bourg	3.04	2.47	3.4	2.53
bourse	3.13	3.37	3.17	3.34
bout	2.33	2.37	3	2.52
bouteille	4.88	4.1	3.43	2.64
bouton	4.44	3.86	2.43	3.03
bouton de porte	4.33	2.07	3.34	2.21
box	3.73	2.67	2.86	2.66
boxe	3.57	3.4	2.81	3.62
braille	3.08	2.63	3.1	3.21
braise	3.83	3.53	3.28	3.1
branche	4.67	3.77	3.5	2.14
bras	4.8	3.77	3.6	2.21
brasse	2.73	2.87	3.34	2.14
brave	2.2	2.6	3.94	2.34
break	2.33	3.03	3.5	2.59
brèche	3.13	2.24	2.37	2.79
bref	1.52	2.33	2.8	2.88
brève	2	2.47	2.9	2.31
bride	3.84	2.27	2.47	3
bridge	2.97	2.13	3.2	2.41
brie	3.72	3.07	3.13	2.5
brin	3.33	2.23	3.14	2.41
brique	4.7	3.57	3.47	2.38
bris	3.1	1.83	2.13	2.62
brise	2.87	3.17	3.13	2.41
broche	4.28	2.77	3.34	2.72
bronche	3.9	2.33	2.93	2.52
bronze	3.33	3.17	3.62	2.28
brosse	4.52	3.9	3.23	2.47
brosse à dents	4.83	3.9	4	2.38
brouille	2.03	1.57	2.21	3.72
brousse	3.5	2.8	3.24	2.72
bruit	2.92	3.77	2	3.76
brume	2.96	3.33	2.83	2.32
brun	3.33	3.5	3.4	2.21
brune	3.4	3.53	3.69	2.07
brusque	2.2	2.53	1.83	3.58
brut	2.7	2.47	2.34	3.1
brute	2.33	2.83	1.73	4.03
bûche	4.6	4.03	3.5	2.58
buée	3.4	3.2	2.7	2.38
buffle	4.57	2.4	3.1	3.21
bulbe	4.27	2.4	3.38	2.28
bulle	4.07	4.03	3.6	1.66
bureau	4.63	3.9	2.97	2.48
bus	4.7	4.53	3.37	2.86
buste	4.16	3.43	3.43	2.7
but	2.43	3.33	3.83	3.28
butte	3.67	1.97	2.83	2.79
ça	1.33	2.07	3.03	2.28
câble	4.27	2.77	3.28	2.9
cacahouète	4.93	3.73	3.47	2.07
cache	2.77	2.6	2.57	2.52
cadenas	4.83	3.7	2.75	2.72
cadre	4	3.2	3.45	2.52
cage	4.23	3.07	2.17	3.34
caille	4.43	2.5	3.28	2.66
caisse	4.33	3.43	2.72	2.83
cake	4.47	3.67	4.03	1.97
calme	2	3.87	4.4	1.21
calque	3.6	2.63	2.83	2.68
camion	4.73	3.47	3.1	3.21
camp	3.7	3.27	2.78	2.93
canapé	4.77	3.93	3.97	1.59
canard	4.93	4.23	3.78	2.31
cancre	2.73	3.4	1.44	3.28
canne	4.67	3.67	2.87	2.14
canon	4.03	3.47	2.22	3.62
cap	2.63	2.83	3.6	2.59
cape	4.27	3.43	3.31	2.41
câpre	4.08	2.83	2.9	2.53
car	3.63	3	3.4	2.52
carotte	4.87	3.63	4.03	1.93
carpe	4.76	3.28	3.07	2.3
carte	4.67	3.87	3.77	1.97
cas	1.83	2.07	3	2.59
case	3.47	2.63	2.78	2.28
cash	2.97	2.97	3.17	3.31
casque	4.67	3.73	3.81	2.41
casque de joueur de foot	4.47	2.3	2.8	2.93
casquette	4.8	3.8	3.07	2.24
