word	sensory experience
abad	1.611
abandonado	4.730
abandonar	3.972
abandono	4.053
abanicarse	4.257
abarcar	2.529
abastecer	3.206
abeja	4.778
abejas	4.618
aberración	3.541
abertura	3.154
abierta	3.382
abierto	4.086
abismo	4.306
aborto	4.676
abrasador	4.514
abrasar	4.919
abrazar	6.088
abrazo	6.091
abrigar	4.378
abrigarse	4.722
abrigo	4.588
abril	3.265
abrir	3.294
abrochar	2.811
abrocharse	3.343
abrumado	3.641
absoluta	3.543
absoluto	3.081
absorber	3.541
abstener	2.914
abstracto	3.474
abstraer	3.235
absurdo	3.588
abuelo	4.895
abundancia	3.857
abundante	3.943
aburrida	4.162
aburrido	4.167
aburrir	4.200
aburrirse	4.441
abusar	4.278
abuso	4.658
acabar	3.500
acabarse	3.545
academia	2.735
académico	3.206
acampada	4.294
acampar	4.486
acaparar	2.882
acariciar	5.882
acarrear	2.395
acceder	2.649
acceso	2.694
accidente	5.265
acción	3.974
aceite	4.105
acelerar	4.618
acelgas	4.086
acento	3.588
acentuar	2.250
acepción	2.286
acequia	2.500
acera	2.368
acercarse	3.526
acero	3.441
acertar	4.057
ácido	5.286
aclamar	3.528
acobardar	3.278
acogedor	5.000
acoger	3.543
acomodar	3.912
acompañada	4.400
acompañado	4.543
acompañar	3.412
acontecimiento	3.914
acoplarse	3.692
acordar	3.412
acordarse	3.324
acordeón	3.378
acostar	4.914
acostarse	5.273
acostumbrar	3.286
acostumbrarse	3.206
acotar	1.943
acre	2.543
acreditar	2.412
activar	3.059
actividad	3.472
activo	4.132
acto	3.829
actor	4.171
actriz	3.278
actual	3.571
actualidad	3.588
actuar	4.051
acuchillar	4.588
acudir	2.514
acuerdo	2.868
acumular	2.556
acurrucarse	5.111
acusar	3.590
acústica	4.147
adaptar	3.353
adecuado	3.054
adelantar	3.059
ademán	2.235
adherirse	2.824
adhesión	2.641
adhesiva	3.278
adicción	5.257
adicto	4.158
adiestrar	3.158
adinerado	2.806
adivinar	2.833
adjetivo	2.553
adjuntar	1.971
admirado	4.333
admirar	4.800
admitir	3.056
adoctrinar	3.371
adolescente	4.410
adorable	5.568
adorar	3.611
adosado	2.176
adquirir	3.513
aduana	2.588
adueñar	2.605
adulterar	3.686
adulto	3.057
advertencia	4.029
advertir	3.429
aérea	2.882
afán	2.824
afectar	3.824
afecto	4.939
afeitar	3.618
afeitarse	3.371
aferrar	4.600
afianzar	3.088
afición	4.457
afilada	3.795
afilado	4.086
afilar	3.694
afiliarse	2.556
afligido	3.706
afortunado	4.294
afrontar	3.765
agachar	2.765
agacharse	3.382
agarrar	3.538
agarrarse	4.057
agencia	2.395
agenda	2.882
agente	2.618
ágil	3.919
agilidad	4.114
agilizar	3.147
aglomeración	3.971
agobiado	4.590
agonía	4.882
agosto	5.486
agradable	4.676
agradar	4.324
agradecer	4.914
agradecido	4.324
agrario	3.242
agregar	2.412
agresión	5.206
agresiva	4.971
agresivo	4.973
agrio	4.686
agrupación	3.371
agua	5.400
aguanieve	4.147
aguantar	4.514
agudizar	3.257
agudo	4.324
aguijón	4.405
águila	3.921
aguja	4.529
agujerear	3.029
ahogarse	4.588
ahorcar	4.333
ahorrar	4.231
aire	4.618
ajedrez	3.657
ajo	4.297
ajustar	2.771
ala	3.846
alardear	3.629
alargar	3.378
alargarse	3.486
alarma	4.676
alba	4.324
alborozo	2.412
álbum	4.400
alcachofa	3.147
alcalde	2.706
alcalina	1.676
alcantarillar	2.559
alcanzar	4.457
alcoba	2.794
alcohólica	4.794
alcohólico	4.618
alcornoque	2.914
aldea	3.314
alegar	2.763
alegoría	2.447
alegrar	5.265
alegre	5.400
alejar	3.471
alejarse	3.941
alemán	3.571
alergia	4.974
alérgica	4.629
alerta	4.265
alertar	3.538
alfa	2.571
alfabeto	2.857
alfombra	2.471
algarabía	2.829
alicates	2.353
alimentar	5.472
alimentarse	5.000
alimento	6.051
alistar	2.686
aliviar	4.216
alma	4.514
almadraba	1.667
almendra	4.053
almidón	2.882
almohada	4.529
almorzar	5.171
almuerzo	4.730
alojarse	3.514
alquilar	2.222
alta	3.676
altar	3.441
alterar	4.147
alto	3.605
aludir	2.857
alumbrar	4.229
aluminio	2.559
alumno	3.686
alzar	2.947
amabilidad	5.114
amable	4.676
amado	5.514
amamantar	4.457
amanecer	5.424
amar	6.371
amargo	5.265
amarilla	3.559
amarillo	3.806
amarrar	3.029
amasar	3.235
amatista	2.500
ámbar	3.500
ambición	3.676
ambientar	3.771
ambiente	3.949
ámbito	2.941
ambulancia	5.139
amenaza	4.657
amenazar	4.000
ameno	3.684
americana	2.765
americano	3.147
ametrallar	4.529
amigable	4.314
amigo	5.735
aminorar	2.500
amistad	5.588
amo	3.706
amoldar	2.974
amontonar	3.176
amor	6.235
amordazar	4.206
amoroso	5.686
amortizar	2.737
ampliar	2.794
amplio	2.735
amplitud	2.886
ampolla	3.892
amputar	4.618
amueblar	2.943
análisis	2.853
analizar	2.892
analogía	2.103
anatomía	4.571
ancha	2.879
ancho	2.528
ancla	3.324
andar	4.265
andén	3.629
anécdota	4.059
anfitrión	3.359
ángel	4.571
ángulo	2.514
angustia	4.743
angustiado	4.513
anhelar	4.892
anhelo	3.735
anillo	4.400
animado	4.441
animados	3.629
animal	5.243
animar	4.743
ánimo	4.714
anís	4.200
anochecer	5.382
ánodo	1.765
anonadar	3.184
anónima	3.353
anormal	3.588
anotar	2.784
ansia	3.971
ansiedad	5.771
ansioso	4.412
antecedente	2.778
anteceder	2.571
antecesor	2.629
antena	2.639
anteponer	3.000
anterior	2.412
anteriores	2.410
antesala	2.176
antibalas	3.000
anticuario	2.925
antídoto	3.794
antigua	3.395
antiguo	3.333
antipático	4.000
antisocial	4.235
antojo	4.211
antología	2.229
antorcha	3.750
anual	2.657
anular	2.941
anunciar	2.676
añadidura	2.108
añadir	2.500
añicos	4.000
año	3.500
añorar	4.892
apaciguar	3.158
apagar	3.743
aparador	2.206
aparato	2.632
aparcar	2.919
aparecer	3.441
aparición	3.382
