word	visual perceptual strength	auditory perceptual strength
abandon	47.96	24.92307692
abat-jour	81.46153846	12.375
abattoir	60.38461538	47.57692308
abbé	49.64	20.83333333
abdomen	74.79166667	18.04347826
abeille	91.64	74
abîme	49.36	16.73076923
aboiement	56.7	90
abondance	63.92857143	9.769230769
abonné	45.11538462	23.66666667
abonnement	49.24	23.44444444
abricot	88	16.07142857
abstinence	44.15789474	19.2
abstraction	38.43478261	24.54166667
abus	54.24	34.38461538
académie	57.65517241	32.64
accélérateur	47	37.66666667
accent	38.70833333	64.42307692
acceptation	48.12	33.92
accès	47.78571429	23.62962963
accession	37.31034483	22.92857143
accessoire	66.51851852	24.37037037
accident	71.65517241	68.85185185
accord	47.89285714	45.48275862
accordéon	84.70833333	82.72
accouplement	80.48275862	54.28571429
accroc	55.85714286	26.88888889
accusation	54	38.60869565
accusé	59.76	35.6
achat	62.92	33.55555556
acide	43.27272727	21.04347826
acier	82.75	33.35714286
acquisition	38.04	22.88461538
acte	34.61538462	22.61538462
acteur	79.92857143	49.81481481
action	61.53846154	48.07407407
activation	40.84	23.96
actualité	58.84	38.66666667
adage	14.80769231	19.08333333
adaptation	46.04545455	26.7826087
adhésion	39.64	23.88
adieu	56.8	53.66666667
adjectif	40.11538462	33.20689655
adjoint	39.2173913	22.65217391
administrateur	43.65384615	18.92307692
administration	62.34782609	27.41666667
admiration	51.88	27.375
admission	55.20689655	28.14814815
adolescente	80.48	36.8
adoption	62.92	26.40740741
adresse	59.43478261	18.34782609
adverbe	41.08	38.47826087
adversaire	52.18181818	30.25
aéroport	87.13636364	71.42857143
affection	70.52	46.15384615
affichage	70.58333333	21.56521739
affirmation	34.32	38.44444444
affluence	49.32	30.84615385
affolement	60.88	50.92307692
âge	55.32142857	34.03703704
agenda	79.10714286	26.07407407
agente	64	20.86956522
agilité	59.36363636	15.57142857
agitation	61.85	43.5
agneau	65.5	50.88888889
agonie	52.77777778	37.15384615
agrafeuse	79.04347826	59.95652174
agressivité	66.5	50.76
agriculteur	74.2	33.81481481
agriculture	68.32	24.24
agrumes	80.82142857	23.06896552
aide	53.33333333	42.20833333
aïeul	43.81481481	29.72413793
aigle	82.18518519	56.48148148
aigre	36.7826087	21.47826087
ail	82.44	21.08
aile	80.15384615	34.66666667
aimant	71.08	28.13043478
aisance	42.625	26.54166667
ajout	43.75	30.75
ajustage	43.60869565	28
album	74.7	45.2
alerte	56.04166667	65.43478261
algèbre	65.04	21.96296296
alibi	31.48148148	31.28571429
alignement	60.41666667	16.625
aliment	72.28571429	29.11111111
alimentation	74.30769231	35.19230769
allée	75.625	23.62962963
allégresse	46.11111111	39.33333333
alligator	82.36	24.91666667
allocution	34.82608696	41.82608696
allure	51.72	27.47826087
allusion	25.6	22.65384615
altitude	66.11538462	22.77777778
amande	90.03571429	28.22222222
amante	47.04	30.81481481
amas	45.54166667	18.57692308
amateur	34.85185185	20.61538462
ambassadeur	51.92	23.24
ambiance	54.60714286	59.10344828
ambiguïté	40.125	28.41666667
ambulance	89.40740741	87.18518519
âme	30.5	18.71428571
aménagement	64.92	22.18518519
amende	80.92857143	26.40740741
amertume	27	22.7037037
amnésie	44.2173913	28.16666667
amortisseur	46.72	32.61538462
ampère	30.31818182	17.91304348
ampleur	44.57692308	24.96296296
amplificateur	50.58333333	50.03846154
amplitude	42.55	34.8
ampoule	82.35714286	25.27586207
analogie	31.88	26.28
ananas	89.80769231	22.22222222
anarchie	52.5	31.08
anatomie	78	22
ancêtre	55.76	24.58333333
âne	87.89285714	76.60714286
angle	70.51851852	5.192307692
angoisse	60.60714286	42.06896552
anguille	70.26086957	16.39130435
animation	68.86956522	60.08695652
anneau	79.85185185	17.55555556
année	49.75862069	23.92857143
annexe	42.76	17.88888889
annonce	73.62068966	56.07142857
annuaire	70.28	20.51851852
antichambre	46.79166667	22.88
anticipation	39.66666667	32.29166667
antipathie	33.25925926	31.44444444
antithèse	26.37931034	26.89285714
antre	34.35988505	13.44
anxiété	51.92	35.48148148
aorte	45.75	19.08333333
aperçu	43.5	26.88888889
apéritif	70.16666667	32.5
aphrodisiaque	51.39130435	38.04166667
aplomb	21.375	21.375
apogée	41.96153846	26.7037037
appareil	78.36	44.12
appartement	76.58333333	36.31818182
appât	62.95652174	24.52173913
appel	53.48	66.68
appétit	44.23865794	32.08
application	56.2173913	22.65217391
apport	20.64	16
appréciation	33.30769231	36.37037037
apprentissage	62.5	48.15
approche	51.2173913	34.73076923
appui	58.65217391	35.88
aptitude	33.15384615	29.96296296
aquarelle	84.08	18.36
araignée	85.28571429	23.75
arbalète	72.33333333	40.57692308
arbre	93.78571429	54
arbuste	79.88	13.66666667
arc	82.46428571	18.26923077
archer	62.6	24.81481481
archet	46.27586207	30.07142857
archipel	45.39130435	14.34782609
architecture	77.125	28.04347826
ardeur	31.73913043	32.04347826
arène	79.52	49.84
arête	70.29166667	15.66666667
argile	76.2	21.04166667
argot	21.65517241	25.64285714
argument	40.03571429	60.44827586
armistice	31.72	17.5
armoire	87.03846154	36.92592593
armure	80.44	44.80769231
arôme	24.79166667	19.125
arrivée	58.2962963	17.88461538
arrosoir	81.42307692	45.03703704
arsenal	54.36	25
artère	67.75	14.25
artichaut	76.54166667	13.33333333
articulation	72.96	39.17391304
artillerie	67.2173913	49.125
artisan	64.43478261	31.65217391
ascension	58.5	32.4137931
asile	64.375	40.54545455
aspect	38.2962963	25.68965517
asperge	82.42307692	20.48148148
asphalte	85.16666667	21.68
aspirateur	89.5	87.25925926
aspiration	48.95454545	34.82608696
aspirine	74.18181818	16.80952381
assaut	58.82142857	52.76923077
assemblée	71	51.85714286
assiette	86.10344828	38.5
assistanat	31.04166667	16.91666667
assistance	55.32142857	31.53571429
assistant	59.69230769	22.03846154
association	53	31.91304348
astronaute	84.80769231	38.85185185
astuce	43.72727273	28.13636364
atmosphère	60.92	27.17391304
atome	59.36	10.19230769
atout	39.44	29.96296296
âtre	19.29166667	9.25
attachement	64.79310345	33.11111111
attaque	79.32142857	62.92592593
atteinte	34.9	29.6
attelage	43.56521739	23.69565217
attendrissement	48.59090909	26.36363636
attirance	69.95833333	36.54166667
attraction	69.625	43.51851852
attrape	44.55	33.65
attribut	27.65517241	21.32142857
attribution	27.2173913	22.60869565
aubergine	86.08695652	21.54545455
audace	44.30434783	42.81818182
audience	71.34482759	48.71428571
audition	55.82608696	60.54166667
auge	8.8	4.461538462
augmentation	46.88	25.34615385
augure	21.92857143	19.53846154
aune	21.25	15.06896552
aura	64.16666667	26.72727273
aurore	86.65217391	29.08695652
auteure	53.95652174	25.82608696
automate	30.73651233	33.68
automobile	88.76	64.84
autonomie	52.33333333	38.20833333
autorisation	52.90909091	38.04166667
autruche	78.36	30.5
auvent	58.18518519	33.77777778
avalanche	84.89655172	51.78571429
avantage	33.79166667	20.03846154
avatar	73.19047619	18.76190476
avenir	47.32	22.66666667
avenue	61.82142857	36.2962963
averse	82.81481481	75.24137931
avertissement	51.625	52.54166667
aveu	16.5	49.29166667
avion	88.4	73.66666667
aviron	64.52173913	23.56521739
avis	46.60869565	40.95652174
avoine	76	17.71428571
avortement	53.16	22.24
avril	58.5	23.44444444
axe	66.62962963	23.03703704
azote	35.37037037	10.34615385
babillard	84.33333333	9.428571429
bactérie	58.82608696	30.82608696
bagage	87.71428571	30.57142857
bagarre	71.64	61.30769231
bagatelle	36	19.03703704
bagnole	83.30434783	53.45833333
bague	92.0952381	9.952380952
bail	48.4922783	17.68
bain	88.5	53.91666667
baiser	84.47826087	75.43478261
balade	62.73076923	54.22222222
balai	86.58333333	35.375
balance	71.88	29.14814815
balançoire	88.03703704	51.57692308
balcon	78.8	23.9
baleine	89.40909091	51.66666667
balise	50.79310345	24.28571429
balle	84.38095238	33.65
ballet	86.34482759	52.07142857
ballon	85.96428571	46.2962963
baluchon	65.41666667	13.38461538
bambin	76.82608696	62.52173913
bambou	87.95454545	11.85714286
banane	89.68	15.08
bande	68.32	26.81818182
bandelette	56.76	13.66666667
banderole	77.39285714	35.48148148
banjo	70.31034483	74.14814815
banlieue	78.42307692	40.95652174
bannière	75.68965517	18.85714286
banque	75.6	18.61538462
banquet	74.72	42
baptême	77.4137931	52.14814815
baraque	66.34782609	19.13043478
barbe	89.19047619	16.0952381
barbecue	76	53.44
barbelé	80.13636364	7.666666667
barbiche	64.26923077	17.56
barge	41.32142857	20.37931034
baril	72.19230769	14.58333333
baron	49.23076923	17.25
baronne	39.75	19.33333333
barque	75.55555556	39.42307692
barrage	71.85714286	24.96153846
barrette	76.10344828	22.75
barricade	70.12	31.5
barrière	79.73913043	21.52173913
bascule	57.34782609	26.91304348
basket-ball	85.44	59.51851852
basse	47	44.60869565
bassine	75.79166667	37.08695652
bataille	72.48148148	57.89655172
bataillon	63.48	43.55555556
bateau	89.375	49.26923077
bâtisse	72.67857143	16.37931034
bâtonnet	76.70833333	23.34782609
battant	57.13636364	29.58333333
baume	65.2173913	12.83333333
bavure	40.06896552	21.14285714
bazar	72.17207294	36.12
bec	83.08	56.6
bedon	80.91666667	24.88
bègue	39.95833333	46.69565217
beignet	83.08333333	16.15384615
belette	57	19.66666667
belge	62.10714286	52.07407407
bélier	78	39.78571429
belvédère	71.5	19.77777778
bémol	27.45454545	33.375
bénéfice	49.26923077	29.21428571
benne	46.34782609	27.73913043
béquille	80.16666667	43.95454545
béret	69.57692308	27.77777778
berge	53.32142857	32
besogne	45.31818182	16.71428571
bestiole	79.13043478	27.54166667
bêtise	50.05555556	38.95
béton	72.07692308	19.55555556
betterave	83.30769231	21.70833333
beurre	85.95833333	19.82608696
biais	41.52	25.08
biberon	86.31034483	47.89285714
bible	76.12	20.84
biche	75.6	30.375
bicyclette	93.82142857	48.69230769
bidon	63.48	21.74074074
bien-être	59.89285714	44.85185185
bienfait	38.91304348	20.2173913
bigoudi	72.67857143	20.76923077
bijouterie	74.4	18.03703704
bijoutière	68.79166667	27.2173913
binette	48.68	6.384615385
biographie	70.2962963	29.37037037
biscotte	81.375	49
bise	72.82608696	50.39130435
bisou	88.43478261	73.96153846
blague	54.10714286	73.85714286
blaireau	51.875	18.08333333
blanc	80.69565217	13.65217391
blason	57.16	15.79166667
blatte	54.44	14.45833333
blé	85.11111111	32.44444444
blessé	72.95652174	44.73913043
blessure	70.30434783	42.47826087
blette	40.33333333	20.56521739
bleuet	90.62962963	7.384615385
blocage	51.2173913	25.45833333
