word	imageability (young adults)	imageability (older adults)	emotionality (young adults)	emotionality (older adults)
Aal	91.9	94.23	5.83	36.16
Aas	65.3	71.04	-49.37	-62.74
Abend	53	67.64	42.83	50.47
Abendbrot	63.65	83.83	28.79	59
Abfall	75.83	64.77	-39.78	-45.63
Abgrund	67.35	70.64	-47.11	-58.79
Abhang	58.37	81.87	-18.17	-16.47
Abnahme	22.19	34.83	-17.5	6.95
Abrechnung	38.05	55.65	-36.21	2.26
Abruf	18.31	32.91	-14.5	2.79
Absicht	13.26	30.04	-2	7.58
Absprache	24.06	40.95	1.72	11.21
Abstimmung	37.64	43.18	14.63	18.74
Abwasch	69.83	84.22	-39.79	-20.68
Abweichung	20.85	38.57	-9.42	-12.05
Abwertung	20.7	34.17	-49.42	-30.32
Achsel	74.57	78.3	-5.21	6.84
Achterbahn	88.53	90.36	11.05	-18.95
Acker	79.35	85	18.74	27.74
Ader	81.2	89.43	-4.83	12.53
Adler	89.05	91.09	37.28	50.95
Admiral	58.4	71.23	-18	1.95
Affe	94	93.82	31.05	29.63
Affekt	18.43	30.61	-26.89	-33.63
Agent	50.84	64.22	-0.78	-48.63
Ahnung	20.2	29.22	20.5	5.5
Ahorn	79.55	84.35	33.5	44.53
Akrobat	63.21	87.25	25.5	25.26
Akt	41.75	57.3	28.39	23.5
Akte	74.25	77.35	-19.26	-10.1
Aktion	25.74	39.74	18.72	10.11
Akustik	35.15	44.39	36.32	27.21
Albernheit	30.82	37.87	24.42	-3.26
Album	75	84.95	34.39	38.79
Alge	71.95	79.91	-5.94	2.11
Algebra	36.53	57.57	-15.61	1.58
Alkohol	69.1	64.95	-0.67	-40.63
All	68	60.96	39.94	21.11
Allee	87	87.73	34.28	49.89
Alpen	81.95	86.13	49.26	53.32
Altar	85.1	93.45	3.84	36.1
Alte	42.15	73.13	-25.61	11.16
Amateur	29.74	51.13	-4.84	10.05
Ambulanz	68.14	73.22	-22.67	-1.89
Ameise	92.9	93.04	22.37	-2.37
Amme	60.43	72.57	14	31.11
Ampel	94.67	92.52	-2.05	23.16
Amphore	59.56	63.19	22.58	20.56
Amsel	88.3	92.87	29.44	58.37
Amt	44.25	63.3	-22.78	-6.21
Amulett	80.37	79.41	25.47	25.79
Ananas	93.95	95.35	39.33	55.47
Anbetung	30.1	46.61	-9.11	-2.68
Änderung	16.25	41.25	12.53	-5.74
Andeutung	15.19	24.18	-14.37	0.95
Anfang	24.8	45.48	30.44	19.05
Anführer	50.1	59.43	-25.95	-8.9
Angabe	14	36.78	2.33	-25.42
Angeber	31.75	49.7	-47.16	-45.85
Angebot	31.4	42.26	20.61	24.37
Angel	89.59	91	17.63	13.16
Angriff	46.38	50.04	-57.65	-77.08
Angst	28.29	47.74	-71.81	-64.24
Anhänger	67.1	80.86	-7.67	12.32
Anker	86.72	88.55	21.28	21.11
Anlass	21.68	30.13	13.83	12
Anleitung	42.33	44.43	1.39	26.63
Anmaßung	14.19	29.48	-48.89	-46
Anorak	89.2	92.96	32.06	38.32
Anordnung	27.63	41.13	-15.42	-15.05
Anregung	15.7	28.04	30.67	24.84
Anschein	14.15	22.43	-7.11	-8.47
Ansicht	24.55	47.41	15.79	19.05
Anspitzer	85.62	74.09	-4.56	10.79
Anspruch	17.25	24.83	-3.5	5.05
Anstand	17.9	44.04	18.89	49.67
Antarktis	70.65	73.83	29.06	28.58
Anteil	26	36.96	8.68	7.68
Antenne	84.37	84.52	11.11	19.44
Antrieb	41.6	48.57	23.39	27.89
Antwort	19.1	47.68	27.67	20.16
Anwalt	55.74	68.78	-6.33	8.68
Anzug	87	94	20	28.79
Apfel	95.8	94.91	23.5	68
Apfelbaum	88.35	95.3	48.61	50.68
Apparat	46.55	75.52	1	7.84
Aquarell	59.95	89.22	32.5	52.53
Araber	66.55	78.48	-15.39	-20.94
Arbeit	37.83	64.09	-9.39	43.84
Arbeiter	58.05	78.96	5.17	25.47
Arena	71.05	79.61	14.56	19.58
Ärger	34.37	31.18	-56.11	-55.95
Argument	11.81	27.5	14.44	19.68
Arm	87.48	83.27	12.61	27.68
Armband	82.7	93.17	18.11	32.26
Armbanduhr	90.86	97	6.44	47.21
