word	valence	arousal	concreteness	imageability	context availability	familiarity
abandono	1.09	7.85	4.52	3.7	3.95	5.65
abanico	5.64	3.57	5.64	6.86	4.67	5.15
abeja	2.9	7.14	6.86	6.77	5.78	5.48
abejorro	3.4	6.95	6.59	6.35	4.96	4.32
abismo	2.95	6.55	3.75	3.9	4.35	4.74
abnegación	3.9	4.91	2.18	1.45	1.96	1.77
abogada	5.05	4.95	5.57	5.8	5.18	5.61
aborto	2.5	6.9	5.75	3.3	5.0	6.14
abrigo	4.4	3.75	4.33	6.96	6.0	6.71
abstinente	3.45	3.64	4.52	2.09	2.74	3.15
absurdo	4.05	4.23	3.23	1.86	3.14	5.64
abuela	8.2	2.2	5.86	6.75	6.73	6.67
abuso	1.71	7.2	3.6	3.14	5.59	5.4
accidente	1.52	7.5	4.2	5.73	6.35	5.9
acción	6.43	6.95	2.05	3.81	4.45	6.45
acelerador	5.9	6.64	5.86	4.73	5.09	5.86
acento	5.23	4.77	3.3	4.33	5.5	5.8
aceptación	8.35	5.36	2.95	3.29	3.35	5.85
acera	4.96	3.9	6.32	6.36	5.77	6.33
acidez	4.09	6.14	4.91	2.7	3.91	4.96
ácido	4.0	6.8	5.1	3.59	4.95	5.73
acierto	7.8	5.45	4.52	3.3	4.83	6.0
acoso	1.43	7.95	3.09	3.13	4.18	5.0
acre	4.91	3.65	4.4	2.1	1.14	1.77
activar	5.73	6.36	3.87	3.04	3.64	5.15
acto	5.83	6.19	3.23	1.91	4.4	5.41
acuerdo	6.57	4.0	3.15	3.32	4.32	5.75
ademán	5.1	3.5	3.23	2.85	1.32	3.32
adicción	2.61	6.85	3.82	3.86	4.86	5.48
adiós	2.21	4.76	5.86	3.73	6.2	6.82
admiración	7.5	5.8	2.8	2.43	5.17	5.05
admirado	6.95	6.68	3.74	4.17	4.86	5.24
adolescente	5.91	5.64	6.0	5.62	6.32	6.73
adopción	5.25	5.48	4.6	3.2	5.7	5.64
adoración	7.0	3.14	2.23	3.36	4.61	4.05
adulterio	3.45	7.59	5.27	4.0	3.61	3.95
adversario	4.0	6.41	3.85	3.38	4.68	5.1
aeropuerto	6.38	5.29	6.55	6.65	6.5	6.18
afortunado	7.45	5.25	4.4	3.5	4.85	5.6
agente	4.57	5.05	3.8	5.55	5.15	5.43
agobiado	2.24	7.1	4.78	3.96	5.73	6.6
agresividad	1.77	7.15	4.78	4.61	5.04	5.9
agresivo	2.0	7.62	5.09	4.74	5.27	5.65
agricultor	5.57	3.87	5.64	6.05	5.05	6.0
aguanieve	5.71	3.33	6.3	5.19	3.73	4.7
aguardiente	4.73	5.25	6.41	5.91	4.33	4.9
agudo	4.7	5.14	3.5	1.82	2.85	5.19
aguijón	2.45	7.0	5.82	5.75	3.63	3.67
águila	5.4	4.9	6.8	6.85	5.0	5.67
aguja	4.09	5.75	5.77	6.86	6.14	6.0
ahogarse	1.75	7.9	5.17	5.7	5.41	4.9
aislamiento	1.82	4.5	3.0	3.13	3.79	4.55
ajedrez	4.86	3.27	6.18	6.91	5.4	5.2
albergue	5.96	5.24	6.05	5.32	6.0	5.0
alcaldesa	4.38	5.0	6.38	3.6	4.18	5.64
alfiler	4.27	4.8	6.43	6.9	4.32	5.0
alianza	6.83	4.65	4.36	6.05	4.55	4.75
aliento	4.65	3.52	4.81	2.5	5.45	5.67
alivio	7.59	1.6	2.95	2.85	5.27	5.55
alma	6.64	3.45	2.38	2.9	4.32	5.7
altercado	2.5	7.09	2.9	3.45	3.3	4.39
aluminio	4.32	3.4	5.29	5.14	4.21	4.9
alumno	5.42	4.65	5.38	5.95	6.55	6.76
amabilidad	7.77	3.75	4.05	2.8	5.38	6.5
amado	8.23	5.59	3.8	4.0	5.3	5.23
amante	4.95	6.09	4.76	4.1	4.65	5.95
amargura	1.96	7.3	2.14	2.52	3.32	4.38
ambición	4.5	5.76	2.91	2.0	3.5	5.45
ambiente	5.95	2.65	2.71	2.77	4.91	5.62
ambulancia	2.65	6.82	6.8	6.85	6.35	6.32
ametralladora	2.6	7.3	6.55	6.3	4.39	4.57
amiga	8.4	3.05	4.1	5.68	6.64	6.71
ampliación	6.39	3.95	2.7	2.3	3.68	5.05
amplitud	6.42	3.86	3.25	2.23	3.55	5.55
análisis	4.14	6.15	2.85	3.25	4.82	6.45
analista	5.07	4.74	3.27	2.29	2.24	4.27
analogía	5.0	3.75	2.41	1.9	1.64	3.75
anfitrión	6.79	5.95	5.55	4.19	4.2	4.71
angustia	1.86	7.6	3.27	2.59	4.79	5.26
anillo	6.55	4.85	6.14	6.85	6.05	6.38
ánimo	7.14	5.59	2.73	1.91	4.18	6.0
anorak	4.7	4.3	5.9	6.57	5.09	5.1
antecedente	4.1	5.55	3.61	2.26	3.05	4.5
anticuario	4.18	3.0	5.77	5.09	3.5	3.2
antorcha	5.3	3.95	6.7	6.7	5.17	4.48
antropólogo	4.95	3.75	6.18	4.3	2.17	3.41
añoranza	2.35	4.95	3.0	1.82	5.14	4.18
aparato	4.68	3.85	2.25	4.0	4.36	6.05
apariencia	4.55	4.73	3.27	2.18	4.36	5.1
apartamento	6.32	3.65	6.18	6.55	6.23	6.05
aperitivo	6.86	5.6	5.09	5.59	5.71	6.27
aplauso	7.57	5.91	5.4	6.5	6.27	6.3
aprecio	7.91	3.65	3.1	3.33	5.77	6.05
aptitud	7.4	5.18	2.75	1.68	3.83	5.09
apuros	2.7	6.23	3.91	2.57	3.82	4.9
araña	3.4	7.27	6.55	6.85	6.1	5.5
árbitro	5.0	5.8	5.14	6.65	6.26	5.86
argumento	5.59	4.25	3.05	2.33	4.91	5.78
armario	4.95	4.0	6.5	6.9	6.18	7.0
armonía	7.87	3.2	2.45	2.09	4.09	4.83
arrebatar	2.64	7.65	3.67	2.27	3.45	3.76
arroyo	4.74	4.05	5.86	5.73	3.77	4.32
arroz	5.14	3.77	6.41	6.85	6.09	6.91
artefacto	3.86	6.2	2.86	2.73	2.68	3.81
artesana	6.07	3.65	4.5	3.76	3.76	4.82
artículo	4.9	3.86	2.73	4.85	5.18	6.3
asalariada	5.89	4.91	3.95	2.48	2.38	4.2
ascender	6.77	5.8	5.0	3.45	4.33	5.48
asesina	1.45	7.82	6.39	5.61	2.71	5.41
asesinar	1.19	7.95	5.96	5.3	4.91	5.57
asesinato	1.35	8.14	5.52	5.87	4.96	5.76
asesino	1.62	7.43	4.75	5.05	5.18	5.91
asesor	5.71	4.22	4.09	2.81	2.81	4.85
asesora	5.38	4.85	4.67	2.45	3.5	4.91
asfalto	4.6	3.14	6.4	6.27	4.87	5.75
asilo	3.39	4.43	5.55	5.57	4.71	4.5
asistenta	4.73	3.75	4.71	4.3	4.23	4.9
asqueroso	3.0	6.35	4.5	4.6	4.85	5.9
asunto	5.13	4.05	1.67	1.59	3.36	6.09
asustado	2.7	6.1	5.43	5.04	5.39	5.83
ataque	3.04	7.19	3.41	4.05	4.5	5.82
ataúd	1.91	6.71	6.65	6.6	5.6	4.5
atentado	1.68	8.2	4.86	4.59	5.71	5.5
aterrorizado	2.32	7.19	5.26	4.91	5.41	4.87
átomo	4.95	4.09	4.95	2.68	2.55	5.18
atracción	7.18	7.6	2.77	3.73	5.79	6.4
atraco	1.45	7.5	5.65	5.13	5.3	5.35
atraer	7.05	6.75	3.19	3.9	4.64	5.82
atrevido	6.27	6.09	5.17	3.57	5.77	5.82
atrocidad	2.15	6.33	3.83	2.35	2.95	3.59
aumento	6.26	5.18	3.55	3.1	4.77	5.2
ausencia	2.33	4.59	2.95	2.45	4.8	5.32
autobús	4.71	4.91	6.77	6.8	6.27	6.4
autoridad	5.0	6.86	4.32	4.29	5.17	5.35
auxilio	3.05	7.9	3.65	3.36	4.91	4.67
avance	7.15	4.82	2.73	2.5	3.78	5.52
avión	5.14	6.5	6.7	6.85	6.4	6.5
avispa	3.05	6.6	6.57	7.0	5.82	5.59
ayuda	6.58	5.86	3.2	3.1	4.9	6.6
ayudar	7.68	4.9	2.95	3.2	5.71	6.55
ayuntamiento	4.83	3.18	6.05	6.05	6.18	5.57
azafata	5.75	5.4	4.71	6.74	5.77	5.27
azar	5.15	4.55	2.5	2.19	4.45	5.9
azulejo	5.1	3.76	5.52	5.91	2.91	4.95
bacteria	3.0	5.19	5.05	4.09	3.9	4.95
bailarín	6.55	5.45	6.45	6.29	5.23	5.62
bailarina	6.61	4.26	5.36	6.48	5.95	6.0
balanza	5.25	3.86	6.05	6.82	5.95	5.1
balcón	5.57	3.5	6.25	6.81	6.05	6.55
balneario	7.33	3.67	6.27	6.55	6.55	5.41
baloncesto	6.09	4.85	6.2	6.65	5.73	5.25
banco	4.64	5.0	5.05	6.73	6.25	6.67
banda	5.45	4.65	3.9	5.25	4.7	5.59
bandeja	4.81	3.85	5.67	6.75	5.0	6.65
banquete	7.29	4.9	5.1	6.1	5.95	5.4
bañador	6.18	3.52	5.55	7.0	5.9	6.24
baño	6.25	3.64	5.59	6.68	6.65	6.86
baranda	5.0	3.55	5.0	5.09	3.83	3.65
barbaridad	3.48	6.73	2.45	2.09	4.05	4.71
barco	5.86	3.77	6.18	6.86	6.25	6.14
barra	4.91	4.45	4.36	6.19	5.6	5.9
barranco	3.82	6.05	6.32	6.75	5.27	5.38
bastón	4.6	4.14	6.67	6.87	5.5	5.55
bata	5.35	3.75	6.1	6.38	6.32	5.68
bautizo	5.75	4.48	5.91	5.23	6.45	5.05
bendición	6.35	3.68	3.0	2.0	4.0	4.52
beneficio	7.26	5.5	2.65	2.91	3.91	5.1
beso	8.14	5.86	5.75	6.71	6.55	6.67
bestia	3.45	6.25	4.18	5.52	4.75	5.33
bienestar	8.3	3.75	2.5	3.05	4.55	5.85
bikini	6.81	5.0	4.76	6.9	6.5	6.73
billetera	5.35	4.75	6.19	6.6	4.91	5.24
blusa	5.35	4.35	6.5	6.67	6.05	5.5
bodega	5.7	4.05	5.71	6.14	5.36	4.76
bofetada	2.86	6.95	6.5	6.1	6.0	6.09
bolsa	5.0	3.55	5.38	6.73	6.25	6.55
bolsillo	5.5	4.25	6.14	6.75	5.64	6.62
bolso	5.35	3.8	5.48	6.85	6.09	6.7
bombardeo	2.09	7.5	4.86	6.05	4.41	4.57
bombero	5.18	5.14	6.75	6.8	6.45	5.65
bombilla	4.96	3.5	6.65	6.91	6.09	6.48
bondad	7.23	3.7	3.3	2.05	4.88	6.35
borde	3.86	4.68	3.25	4.91	5.05	6.2
