word	happiness	disgust	anger	fear	sadness	valence	arousal
ábaco	1.45	1	1.29	1.2	1.2	5.35	4.78
abad	1.71	2.23	1.24	1.56	1.35	4.71	5
abadesa	1.36	1.33	1.69	1.4	1.64	4.54	4.54
abadía	2.33	1.21	1.21	1.22	1.43	5.26	4.18
abajo	1.35	1.25	1.4	1.3	1.55	4.85	3.85
abalanzar	1.56	1.7	1.9	2	1.6	4.8	6
abanderado	1.94	1.25	1.32	1.56	1.47	5.32	5.68
abandonar	1.2	2.65	3.3	3.05	4.1	2.55	6.65
abarca	1.89	1.05	1.32	1.11	1.05	5.15	5.05
abarcar	1.65	1.1	1.2	1.4	1.55	5.65	5.15
abarque	1.59	1.2	1.13	1.06	1.24	5.58	5.06
abastecer	2.75	1.05	1.21	1.1	1.32	6.5	4.95
abastecimiento	2.55	1.3	1.25	1.35	1.65	6.25	4.25
abasto	1.56	1.38	1.38	1.5	1.42	5.12	4.94
abatimiento	1.2	2.22	2.21	2.58	3.47	2.8	3.8
abdicación	1.5	1.61	1.8	1.4	2.11	5.35	5.5
abdicar	2.74	1.6	1.7	1.5	1.85	4.8	5.3
abdomen	1.65	1.5	1.15	1.3	1.25	5.05	5.15
abdominal	2.05	1.25	1.7	1.1	1.05	6.3	6
abedul	2.07	1.08	1.07	1	1	5.89	4.12
aberración	1.1	3.68	3.2	2.95	3.82	2.15	7.05
abertura	2.5	1.25	1.25	1.3	1.1	5.3	5
abeto	2.3	1.05	1	1	1	6.45	3.8
abierta	2.7	1.25	1.35	1.3	1.35	6.7	5.65
abogacía	1.74	1.65	1.79	1.55	1.5	4.8	5.26
abogar	1.84	1.41	1.74	1.32	1.47	4.89	4.95
abolición	1.68	1.6	2.15	2.55	1.9	4.35	6.15
abolir	2.53	1.35	2.11	1.74	1.75	4.65	5.88
abolladura	1.05	1.72	2.35	2.21	2.15	3.35	5.95
abominable	1.22	2.5	2.47	2.44	2.75	3.37	6.45
abonar	2.45	1.55	1.8	1.25	1.75	5.3	5.8
abono	2.25	2.15	1.15	1.2	1.05	6.15	4.65
abordaje	1.53	1.11	1.85	1.74	1.5	4.45	5.6
abordar	1.6	1.35	1.6	1.2	1.4	5.55	5.55
abordo	1.63	1.35	1.32	1.55	1.4	5.4	5.05
aborigen	1.61	1.41	1.15	1.39	1.39	5.56	5.65
abortar	1.4	2	1.8	3.35	2.35	3.11	7.2
abra	1.56	1.06	1.14	1.08	1.17	5.83	5.05
abrebotellas	2	1.15	1.15	1.2	1	5.9	5
abrelatas	1.26	1.35	1.4	1.2	1.05	5.15	4.35
abreviación	2.15	1	1.45	1.2	1.3	5.3	4.1
abreviar	2.5	1.25	1.2	1.3	1.15	5.5	4.6
abreviatura	2.15	1.4	1.25	1.1	1.35	5.4	4.8
abridor	2	1.1	1.1	1.25	1.05	5.2	5.05
abrigar	2.75	1.05	1.3	1.1	1.15	6.25	3.55
abril	3.65	1.1	1.1	1.05	1.3	6.7	5.1
abrir	2.85	1.05	1.05	1.25	1	6.25	5.55
abrumadora	1.7	1.68	1.85	2	2.3	3.75	6.5
abrupto	1.11	1.59	2.18	1.89	1.6	4.5	6.59
absenta	2.32	2.5	1.79	1.68	1.21	4.89	6.4
absolución	1.63	1.45	1.68	1.37	1.47	5.15	5.05
absolutismo	1.3	3.05	2.58	3.1	3.55	3.6	5.45
absolutista	1.25	2.8	3.5	3.05	2.35	3.45	6.1
absoluto	2.1	1.25	1.4	1.8	1.2	4.85	6.55
absorbente	1.7	1.95	1.74	1.9	2.65	4.7	5.5
absorber	1.8	1.85	1.9	1.6	1.45	4.9	5.2
absorción	1.45	2.15	1.4	1.9	2	4.55	5.3
absorto	1.65	1.79	1.37	1.56	1.44	4.95	4.56
abstención	1.35	1.6	1.65	1.63	2	4.16	5.68
abstener	1.4	2.05	2.1	1.8	1.8	4.25	4.85
abstinencia	1.35	2.1	2.3	1.9	2.25	4	5.55
abstracción	1.95	1.4	1.55	1.35	1.55	5	4.65
abstracto	2.85	1.3	1.2	1.6	1.15	4.95	5.55
abundante	3	1.4	1.5	1.3	1.3	6.5	5.5
abundar	2.85	1.33	1.45	1.25	1.25	6.5	5.25
aburrimiento	1.1	2.35	2.05	1.95	3.05	2.7	3.8
aburrir	1.05	2	2.65	1.8	2.45	2.9	4.2
abusar	1.1	3.85	4.2	3.5	4.2	2.25	7.4
abusivo	1	3.45	4.05	3.35	3.5	2.25	7
acabar	2.16	1.15	1.35	2.2	2.85	5.45	5.75
academia	1.6	1.4	1.45	1.3	1.5	4.85	5.25
académico	2.25	1.35	1.45	1.55	1.45	6.35	5.75
acallar	1.63	1.72	2.13	1.63	1.41	4.94	5.4
acampar	3.3	1.3	1.35	1.9	1.2	6.4	5.8
acantilado	1.85	1.3	1.35	2.85	1.85	5.65	6.4
ácaro	1	3.84	2.63	2	1.79	3.9	5.7
acarrear	1.2	1.2	2	1.7	2.05	3.9	6.35
acaso	1.22	1.25	1.24	1.24	1.1	4.89	4.67
acatamiento	1.39	2.05	2	2.11	1.63	4	5.95
acceder	3.05	1.05	1.35	1.42	1.3	6.25	5.65
accesibilidad	3.05	1.4	1.4	1.2	1.5	6.45	4.6
accesible	2.8	1.15	1.35	1	1.15	6.85	4.4
acceso	2.85	1.2	1.05	1.3	1.35	6.35	5.25
accesorio	2.4	1.1	1.05	1.05	1.1	6	4.9
accidental	1.4	1.45	1.95	2.55	2.85	3.9	6.55
accionar	2.3	1.15	1.45	1.35	1.1	5.6	5.5
accionarial	1.25	1.36	1.25	1.36	1.14	4.5	5.13
acciones	2.6	1.15	1.65	1.6	1.65	5.65	5.55
accionista	1.94	1.55	1.5	1.55	1.11	5.25	6.32
acebo	1.75	1.14	1.31	1.07	1.27	5.5	4.31
acechar	1.65	1.68	2.21	2.58	2.2	3.9	6
acecho	1.25	1.89	2.37	2.33	2.05	3.55	6.9
aceite	2.2	1.65	1.35	1.05	1.2	5.6	4.7
aceleración	3.15	1.15	1.65	1.8	1.4	5.65	6.95
acelerar	2.75	1.35	1.85	2.42	1.35	5.55	6.4
acentuación	2.1	1.47	1.53	1.3	1.4	5.45	5.4
acentuar	1.85	1.3	1.3	1.65	1.1	5.95	5.6
acepción	1.65	1.25	1.19	1.18	1.56	5.29	3.94
aceptable	2.5	1	1.3	1	1.5	5.85	4.55
aceptar	2.95	1.2	1.05	1.35	1.25	6.4	4.95
acepto	2.7	1.1	1.25	1.45	1.25	5.2	4.74
acequia	1.88	1.67	1	1.41	1.13	5.7	4.35
acercamiento	2.85	1.6	1.45	1.45	1.2	6.8	5.6
acercar	2.35	1.2	1.2	1.25	1.21	6.55	4.85
acero	1.55	1.3	1.45	1.5	1.35	5.3	5
acertada	3.45	1	1.1	1.15	1.2	7.05	5.25
acertar	4.15	1.1	1.05	1.1	1	7.75	6.8
acertijo	2.68	1.05	1.15	1.35	1.25	5.9	5.5
achacar	1.39	1.94	2.58	1.94	2.22	3.89	5.53
aclamación	2.74	1.4	1.5	1.7	1.35	6	6
aclaración	2.5	1.05	1.1	1.25	1.25	6.85	4.7
aclarar	2.35	1.1	1.2	1	1.3	6.35	4.3
acné	1.05	3.05	2.7	1.85	2.42	2.9	6.3
acoger	3.2	1.05	1.15	1.55	1.4	7	3.9
acogida	3.15	1	1.05	1.21	1.65	6.75	4.15
acometer	1.79	1.61	2.2	1.63	1.75	4.55	6.32
acometida	1.28	1.19	1.53	1.78	1.76	4.95	5.33
acomodar	3.45	1.15	1.15	1	1.1	6.65	3.1
acomodo	1.72	1.42	1.39	1.37	1.35	5.53	4.28
acompañamiento	3.4	1.1	1.3	1.35	1.5	7.35	3.75
acompañante	3.15	1.15	1.3	1	1.1	6.25	4.7
acompañar	3.5	1.15	1.2	1.1	1.05	7.05	4.2
acondicionado	2.1	1.25	1.3	1.15	1.1	6.45	3.7
acondicionamiento	2.2	1.4	1.35	1.35	1.3	5.85	4.8
aconsejable	3.05	1.25	1.15	1.2	1.15	6.3	4.3
aconsejar	3.2	1	1.35	1.35	1.6	6.95	4.05
acontecer	2.61	1	1.05	1.55	1.2	5.85	4.7
acoplamiento	1.65	1.85	2.3	2	1.5	5.05	4.8
acorazado	2	1.4	1.5	2	1.6	5	5.8
acordar	2.7	1.1	1.1	1.4	1.1	6.75	4.75
acorde	2.32	1.2	1.2	1.11	1.35	6.3	4.5
acordeón	2.6	1.05	1.15	1	1.3	6.1	4
acortar	2.2	1.35	1.65	1.6	2	4.8	5.25
acostar	3.45	1.3	1.3	1.25	1.25	7.05	2.95
acostumbrar	2.05	1.4	1.55	1.4	1.95	5.05	4.25
acrecentar	2.33	1.18	1.47	1.26	1.26	5.55	5.83
acreditación	1.85	1.3	1.45	1	1.1	5.85	5.4
acreditar	2.05	1.05	1.1	1.4	1.25	5.6	4.95
acreedor	1.33	1.13	1.72	1.35	1.67	4.35	5.6
acrílico	2.35	1.32	1.15	1.05	1.32	5.55	4.56
acritud	1.23	1.87	1.56	2	2.29	4.4	5.71
acrónimo	1.32	1.06	1.27	1	1.15	5	4.37
acta	2.05	1.7	1.45	1.84	1.25	5.15	5.05
actitud	3.5	1.32	1.3	1.3	1.1	6.45	5.4
activa	3.5	1.1	1.15	1.1	1	7.05	6.9
activación	3.05	1.05	1.15	1.2	1.15	7	6.65
actividad	2.55	1.25	1.05	1.2	1.1	5.84	5.95
activismo	3	1.35	1.55	1.68	1.25	6.15	6.2
activista	2.65	1.7	1.55	1.55	1.6	5.95	5.9
actor	3.5	1.15	1.05	1.15	1.4	6.6	5.65
actora	2.39	1.26	1.41	1.13	1.13	5.53	5.31
actuación	3.05	1.1	1.5	1.85	1.3	6.15	6.5
actual	2	1.1	1.3	1.2	1.7	5.95	4.8
actualidad	2.85	1.7	1.95	1.35	1.55	5.6	5.65
actualización	2.85	1.35	1.75	1.3	1.2	5.8	5.35
actualizar	2.8	1.2	1.45	1.4	1.2	6.2	5.35
acuática	2.55	1.25	1.15	1.35	1.1	6.15	4.6
acudir	2.2	1.1	1.1	1.3	1.25	6.1	5.45
acueducto	2.5	1.1	1	1.05	1	5.45	4.15
acuicultura	2.06	1.15	1.24	1.5	1.43	5.4	4.36
