word	concreteness
a	1.46
aardvark	4.68
aback	1.65
abacus	4.52
abandon	2.54
abandoned	2.52
abandonee	2.92
abandoner	2.5
abandonment	2.54
abasement	1.67
abatement	1.92
abbreviate	2.59
abbreviated	3.1
abbreviation	3.07
abdicate	2.08
abdomen	4.7
abdominal	4.28
abdominally	3.15
abduct	2.88
abductee	3.27
abduction	3.07
abductor	3.89
abhor	1.81
abhorrence	2.15
abhorrently	2.04
abhorring	1.68
abide	1.68
abiding	2.07
abidingly	1.82
ability	1.81
abject	1.67
ablaze	3.82
able	2.38
ably	1.78
abnormal	2.14
abnormality	2.48
abnormally	1.75
aboard	3.97
abode	3.92
abolish	2.19
abolishable	1.96
abolisher	2.29
abolishment	2.31
abolition	2.43
abolitionism	1.86
abolitionist	3.28
abominable	1.89
abominableness	1.58
abominably	2.14
abominate	1.68
abomination	2.23
aboriginal	3.12
abort	2.83
aborted	2.83
abortion	3.41
abortionist	3.19
abortive	1.88
abortively	1.95
abound	2.27
abounding	2.04
about	1.77
above	3.33
aboveboard	2.8
aboveground	4.03
abovementioned	2.96
abracadabra	2.04
abrasion	4.57
abrasive	3.03
abrasively	2.07
abrasiveness	2.72
abreast	2.23
abridge	2.77
abridged	1.77
abridgment	2.67
abroad	2.72
abrupt	2.27
abruptly	2.36
abruptness	2.04
abscess	4.48
abscessed	2.69
absence	2.31
absent	2.7
absentee	3.29
absenteeism	2.35
absently	1.71
absentminded	2
absentmindedly	1.76
absentmindedness	1.75
absentness	1.88
absinthe	4.3
absolute	1.81
absolutely	1.97
absoluteness	1.5
absolution	1.78
absolutism	1.46
absolutist	2.7
absolvable	1.8
absolve	1.85
absorb	3.11
absorbability	2.38
absorbable	2.47
absorbed	2.44
absorbency	2.97
absorbent	3.1
absorber	2.96
absorbing	3.33
absorbingly	2.04
absorption	3.22
absorptiveness	2.19
abstain	2.38
abstainer	2.62
abstention	2.16
abstinence	1.72
abstinent	1.77
abstinently	2
abstract	1.45
abstracted	1.48
abstractedly	1.54
abstractedness	1.59
abstraction	1.57
abstractionism	1.75
abstractionist	2.52
abstractive	1.6
abstractly	1.36
abstractness	1.5
absurd	1.64
absurdity	1.25
absurdly	1.55
absurdness	1.46
abundance	2.21
abundant	2.83
abundantly	2.22
abuse	2.71
abuser	3.86
abusive	2.55
abusively	2.2
abusiveness	1.84
abysmally	2.12
abyss	3.07
academia	2.12
academic	2.11
academically	1.9
academy	4.29
accelerant	3.4
accelerate	3.48
accelerated	3.18
acceleration	2.97
accelerative	2.69
accelerator	4.32
acceleratory	2.25
accelerometer	4.08
accent	3.26
accentually	2.08
accentuate	2
accentuation	2.08
accept	3.03
acceptability	1.74
acceptable	1.93
acceptableness	1.28
acceptably	1.48
acceptance	2.21
acceptant	2.08
accepted	2.28
acceptor	2.79
access	2.71
accessibility	2.3
accessible	1.8
accessibly	2.35
accessorize	2.93
accessory	4.1
accident	3.26
accidental	2.17
accidentally	1.71
accidently	1.88
acclaim	2.04
acclaimer	2.04
acclamation	2.23
acclimate	1.79
acclimation	1.9
acclimatization	1.83
acclimatize	2.12
accolade	2.46
accommodate	1.86
accommodating	1.77
accommodatingly	2.17
accommodation	2.96
accommodative	1.73
accommodator	2.78
accompanier	2.71
accompaniment	2.26
accompany	3.07
accomplice	3.34
accomplish	2.33
accomplishable	1.82
accomplished	1.7
accomplisher	2.52
accomplishment	2.5
accord	1.57
accordance	1.54
accordantly	1.57
according	1.63
accordingly	1.58
accordion	4.86
accordionist	4.61
accosted	2.52
account	3.08
accountability	1.55
accountable	2.21
accountableness	1.39
accountably	1.91
accountancy	1.68
accountant	4.41
accounting	3.27
accredit	2.15
accreditation	2.68
accredited	2.27
accrue	1.61
accruement	2.46
accumulate	3
accumulation	2.97
accumulative	2.56
accumulatively	2.36
accumulativeness	1.92
accumulator	2.64
accuracy	1.85
accurate	1.9
accurately	2.39
accurateness	2.32
accursed	1.93
accusable	1.91
accusation	2.38
accusative	1.6
accusatively	1.64
accusatorial	1.96
accusatory	2.15
accuse	2.25
accused	2.93
accuser	3.44
accusingly	1.57
accustom	1.48
accustomed	2.07
ace	3.92
acetaminophen	3.8
acetone	4.42
acetylene	3.58
ache	3.43
achievable	2.07
achieve	2.29
achievement	2.37
achiever	2.04
achiness	2.54
aching	2.72
achingly	2.17
achy	2.96
acid	4.25
acidic	3.54
acidification	2.78
acidify	2.6
acidity	3.4
acidly	2.18
acidometer	4.05
acknowledge	2.03
acknowledgeable	1.69
acknowledged	2.19
acknowledgement	2.62
acne	4.89
acorn	4.96
acoustic	3.28
acoustical	2.42
acoustically	2.5
acoustics	3.12
acquaint	1.52
acquaintance	3.41
acquainted	2.37
acquiesce	2.21
acquiescently	1.58
acquirable	2.04
acquire	2.93
acquired	2.54
acquirement	2
acquirer	2.52
acquisition	2.6
acquisitive	2.08
acquisitively	1.81
acquit	2.13
acquittal	2.38
acquitter	2.88
acre	4.18
acrid	2.68
acrimoniously	1.61
acrobat	4.46
acrobatic	3.14
acrobatically	2.96
acrobatics	4.36
acronym	2.64
acrophobia	2.32
across	3.07
acrostically	2
acrylic	4.31
act	2.46
acting	2.54
action	2.86
actionable	2.04
activate	2.97
activation	2.41
activator	3.14
active	3.32
actively	2.41
activeness	2.52
activism	1.79
activist	3.34
activity	2.72
actor	4.57
actress	4.54
acts	3.29
actual	2.22
actuality	1.96
actualization	1.59
actualize	1.63
actually	1.37
actuarial	2.33
acupressure	3.53
acupuncture	3.83
acupuncturist	4.56
acute	1.92
acutely	1.83
acuteness	2.41
ad	4.46
adage	1.86
adamant	1.65
adamantly	1.46
adapt	2.41
adaptability	1.38
adaptable	1.85
adaptation	2.04
adapter	3.82
adaption	2.4
adaptive	1.97
adaptively	2.3
adaptor	4.04
add	3
added	2.74
addendum	3.44
addict	3.14
addicted	2.13
