word	color vividness	visual motion	graspability	risk of pain	sound intensity	pleasant taste	smell intensity
abeja	6.15	7.52	4.21	5.38	3.32	2.31	1.80
abrigo	4.67	2.80	7.33	1.81	1.77	2.63	3.00
acordeón	5.13	5.48	4.50	3.08	5.84	2.31	2.12
aguijón	3.85	3.44	4.65	6.23	1.90	1.90	1.20
águila	5.21	7.36	3.21	3.92	4.48	4.03	4.20
aguja	3.36	3.40	7.71	5.42	1.45	1.97	1.28
ajedrez	4.75	3.36	5.54	2.08	2.16	2.47	1.64
ajo	1.88	1.76	7.67	1.62	1.26	4.97	6.68
ancla	3.27	2.50	2.96	5.19	4.10	1.81	2.24
anillo	5.63	2.48	7.88	2.50	1.65	2.72	1.56
antena	3.06	2.00	5.21	3.50	2.55	1.88	1.40
antorcha	6.64	3.68	6.96	5.38	2.81	1.69	4.52
araña	4.70	6.68	5.58	4.77	1.42	1.84	1.36
árbol	6.13	2.52	2.21	3.85	2.42	3.59	4.44
arco	3.19	3.16	6.21	5.15	3.29	2.13	1.48
arma	4.06	3.52	5.67	7.88	6.61	1.59	2.28
arroz	2.27	2.12	7.17	1.58	1.68	7.19	3.88
ascensor	2.97	5.84	1.54	3.88	4.23	1.81	3.16
atún	3.36	6.12	4.29	2.04	1.90	7.09	5.76
avestruz	4.03	7.12	2.04	4.54	4.61	4.34	5.32
bala	4.09	5.04	6.13	7.81	5.39	1.78	2.36
balanza	3.27	3.68	5.38	2.92	2.23	2.31	1.64
balcón	2.84	1.12	1.58	4.08	2.19	2.03	1.68
ballena	4.42	7.12	1.21	4.31	5.65	4.32	4.56
baño	3.58	1.12	1.75	2.73	3.42	1.84	3.96
baraja	3.94	3.96	7.04	2.08	1.87	2.50	2.08
barco	4.75	6.32	1.50	4.31	6.55	2.16	3.20
barro	3.91	2.00	5.00	1.96	1.84	1.50	4.52
bastón	2.88	4.16	7.54	4.65	2.71	2.28	1.68
baúl	3.66	1.68	4.08	3.50	3.42	2.28	3.24
biblia	2.52	1.84	7.17	3.65	1.58	2.16	2.72
bicicleta	5.13	6.76	5.13	4.35	3.55	2.34	2.32
blusa	4.66	3.20	7.50	1.38	1.29	2.91	2.88
boina	3.64	2.60	7.21	1.58	1.42	2.44	2.32
botella	4.09	2.92	7.63	4.31	3.35	2.94	2.28
buey	4.00	7.00	1.54	5.08	5.29	5.78	6.20
búfalo	4.67	7.04	1.42	5.69	5.84	5.19	6.16
bufanda	5.30	3.16	7.46	1.65	1.32	2.59	3.08
búho	4.25	6.44	3.75	2.31	4.42	3.63	4.00
buzón	4.48	1.24	4.54	2.77	2.45	2.00	2.00
caballo	5.50	7.60	2.00	4.88	5.65	4.69	6.44
cabaña	3.15	1.16	1.38	2.73	3.16	2.34	3.24
cable	3.21	2.16	7.08	3.69	1.84	1.75	1.88
cachorro	4.30	7.28	6.38	2.15	4.14	3.44	5.00
caja	2.67	2.48	6.42	3.00	2.45	2.50	2.80
calendario	3.36	1.76	6.83	1.73	1.52	2.53	1.68
cama	3.48	1.52	2.75	2.35	2.81	3.07	3.20
