word	valence	arousal	dominance	concreteness	imageability	age of acquisition
aborcja	2.60	6.34	4.08	3.56	6.48	13.02
absolwent	6.38	3.90	6.20	3.44	6.64	11.56
absurd	4.22	4.88	4.76	7.22	3.88	11.52
adres	5.24	3.08	5.34	3.52	6.32	7.04
aerozol	5.10	3.52	4.94	2.10	7.34	10.74
afront	3.66	4.09	4.63	6.17	3.71	12.46
agencja	4.94	4.04	5.34	3.08	5.60	10.24
agonia	1.88	5.59	2.78	5.41	5.87	13.08
agresja	2.52	6.80	6.28	5.52	6.36	9.32
agresywność	2.78	6.24	5.78	6.34	6.16	9.78
agresywny	2.60	6.22	5.66	5.76	6.22	9.08
AIDS	1.98	6.76	3.12	3.48	5.76	11.82
akademik	5.66	3.74	4.96	2.08	7.70	11.92
akcent	5.58	3.58	5.64	4.66	4.94	10.42
akceptacja	7.20	4.10	6.42	6.48	4.82	10.30
aksamit	6.36	2.82	5.48	2.42	6.68	11.22
akt	5.30	3.90	5.40	3.54	6.24	10.40
aktualności	5.50	3.76	5.74	4.96	4.78	10.74
aktywność	6.58	4.16	6.56	5.14	5.36	9.52
aktywny	6.54	4.96	6.86	5.90	5.66	8.64
aktywować	6.14	4.48	6.34	5.26	5.34	10.86
akwaforta	5.50	3.73	4.63	4.59	3.62	13.52
akwarium	5.80	2.74	4.68	2.08	8.04	7.94
alarm	4.16	4.48	5.84	3.42	7.10	8.52
Albania	5.32	3.54	4.30	2.28	4.04	11.82
album	5.80	3.08	5.26	2.10	7.52	7.68
aleja	5.88	2.90	5.48	2.28	7.32	8.82
alergia	3.24	4.80	3.68	3.56	6.78	8.80
alimenty	3.60	4.48	4.14	3.42	5.24	11.56
alkoholik	2.24	5.56	2.96	3.24	7.16	10.00
alkoholizm	2.08	6.10	2.30	4.92	6.80	10.96
altruizm	6.42	3.67	5.33	7.72	4.06	12.92
ambicja	6.86	5.14	7.12	6.92	4.34	10.60
ambitny	7.14	4.88	7.14	6.70	5.08	10.24
ambulans	4.26	4.92	5.12	2.28	7.98	9.44
anchois	4.83	3.74	4.66	1.84	6.19	13.33
anemiczny	3.28	3.36	3.16	5.44	5.88	11.94
Anglia	6.02	3.20	6.00	2.40	6.96	9.24
animusz	5.73	4.26	6.24	5.84	4.15	12.69
anioł	6.98	2.98	6.50	5.58	8.12	6.68
antyczny	5.82	3.29	6.04	5.28	6.16	10.88
antylopa	5.50	3.50	4.86	1.56	7.98	8.50
antypatia	3.40	4.08	4.02	6.92	4.64	11.88
anulować	4.14	3.96	5.16	5.16	5.24	9.88
anyż	5.15	3.69	4.72	1.83	4.74	12.51
apartament	6.46	3.90	6.46	2.62	7.18	10.94
apatia	3.28	3.30	3.48	6.82	5.36	12.94
apatyczny	3.58	3.38	3.08	6.64	4.76	12.65
apodyktyczny	3.28	5.13	6.17	6.94	4.45	13.20
areszt	2.98	5.32	3.62	3.02	7.16	8.28
arka	5.74	3.08	5.84	3.08	6.42	8.62
arkusz	5.12	3.56	4.88	2.42	7.08	10.18
armata	4.64	4.34	6.66	1.90	7.92	8.16
arogancki	3.04	5.34	5.48	6.42	4.98	11.10
artystyczny	6.66	3.92	5.94	6.42	5.04	9.38
as	6.32	4.20	7.20	3.04	7.42	8.36
asertywny	6.46	3.88	6.96	6.82	4.96	12.26
aspekt	5.30	2.84	5.28	6.18	2.98	12.20
aspołeczny	3.38	4.10	3.16	7.04	5.38	12.26
astma	2.96	4.22	3.38	2.80	6.66	10.56
astronauta	6.02	3.70	6.44	2.86	7.62	9.14
atak	3.60	6.02	6.72	4.14	6.54	7.98
atakować	3.50	5.88	6.98	4.74	6.78	7.82
atakowanie	3.56	5.98	6.72	4.14	6.54	7.70
atlas	5.84	3.10	5.82	2.10	7.58	8.56
atletyka	5.88	3.58	6.00	3.78	6.92	9.96
atmosfera	6.00	3.70	5.62	5.60	5.18	9.86
atrakcyjny	7.22	5.40	6.78	5.98	5.78	9.62
atrament	5.20	3.08	5.38	1.82	7.70	8.68
atut	6.58	3.90	6.94	6.10	4.42	11.08
audytorium	5.26	3.70	5.96	2.90	6.35	13.72
aura	5.90	3.22	5.72	6.34	5.14	10.94
Austria	5.88	3.10	5.52	2.42	5.78	10.16
autobus	5.18	3.02	5.28	1.60	7.90	6.18
autonomia	5.90	3.30	7.26	6.00	4.33	11.78
autonomiczny	5.88	4.06	7.00	6.16	4.28	12.40
autorytatywny	4.65	3.81	7.22	6.65	3.73	13.88
autorytet	6.70	4.06	7.70	6.52	4.86	11.26
autostrada	5.78	4.04	6.10	1.94	7.94	8.60
awans	7.16	4.96	6.78	5.04	5.28	10.96
awanturnictwo	3.00	5.68	4.88	5.76	5.64	10.86
awaria	3.44	5.18	3.32	3.86	6.10	8.92
awersja	3.32	4.78	4.33	6.51	4.50	13.90
azyl	6.26	3.18	5.62	5.39	5.12	12.36
babcia	7.20	3.14	5.48	2.44	8.14	5.92
babunia	7.26	3.50	5.04	2.50	7.90	5.26
bachor	3.14	5.34	3.44	2.90	7.02	9.50
bać się	2.72	5.78	2.74	6.10	6.52	5.74
badać	5.36	4.04	6.06	4.62	6.64	7.34
bagatelizować	3.78	3.80	4.28	6.20	4.66	12.18
bagażnik	5.10	3.64	4.92	1.78	7.80	8.10
bagno	3.32	3.88	3.58	2.62	7.50	9.14
bajka	6.80	3.54	5.28	4.34	6.98	4.96
bajkowy	6.86	3.36	5.70	6.10	6.36	6.72
balkon	5.88	3.10	5.16	2.08	8.04	6.88
balon	6.06	3.20	4.98	1.70	8.20	6.04
balsam	6.42	2.74	5.54	2.00	7.08	9.52
bałaganiarski	3.62	4.32	4.00	5.14	6.16	9.16
bałaganiarstwo	3.58	5.02	4.06	5.22	6.52	8.36
bałaganić	4.04	5.12	4.60	4.24	6.66	7.36
bambus	5.50	3.16	5.00	2.04	7.62	9.40
banalny	4.34	3.54	4.12	6.20	4.76	10.80
bandaż	4.26	3.16	4.72	1.78	8.08	7.56
bandyta	2.60	5.60	5.46	3.10	6.80	8.82
bandzior	2.58	5.54	5.16	3.08	7.00	9.46
bandżo	5.74	3.86	5.26	2.25	5.71	12.42
baner	4.94	3.55	5.27	2.34	7.12	11.36
