word	age of acquisition
a	2.89
aardvark	9.89
abacus	8.69
abalone	12.23
abandon	8.32
abandoner	11.89
abandonment	10.27
abase	14.57
abasement	15.13
abate	14.44
abatement	15.12
abattoir	15.17
abbacy	14.5
abbess	15.43
abbey	13.06
abbot	12.1
abbreviate	9.95
abbreviated	10.5
abbreviation	9.11
abdicate	12.6
abdication	14.94
abdomen	8.61
abdominal	10.24
abduct	11.26
abduction	11.94
abductor	11.11
abeam	13.4
aberrant	13.31
aberration	12.69
abet	12.15
abettor	15.55
abeyance	15.0
abhor	13.76
abhorrent	12.14
abide	9.5
abiding	10.3
ability	8.84
abject	14.0
abjuration	17.12
abjure	14.6
ablation	13.29
ablaze	10.83
able	7.79
ablution	13.64
abnormal	10.05
abnormality	11.58
aboard	8.66
abode	12.06
abolish	10.42
abolition	13.28
abolitionism	11.78
abolitionist	12.6
abominable	8.94
abominate	15.0
abomination	11.17
aboriginal	14.75
aborigine	12.56
aborning	13.25
abort	12.21
abortion	13.21
abortionist	15.0
abortive	13.93
abound	11.65
about	5.07
above	4.55
aboveboard	13.0
aboveground	8.05
abovementioned	14.24
abracadabra	6.89
abrade	14.0
abrasion	11.95
abrasive	12.22
abrasiveness	12.06
abreaction	15.8
abreast	13.06
abridge	14.35
abridged	12.56
abridgement	12.32
abroad	10.15
abrogate	15.22
abrupt	10.95
abruption	11.82
abruptness	12.39
abscess	13.11
abscond	13.36
absconder	16.62
absence	7.7
absent	6.5
absentee	11.0
absenteeism	13.43
absentminded	10.84
absentmindedness	9.61
absinthe	16.29
absolute	8.53
absolutely	7.08
absoluteness	12.68
absolution	11.71
absolve	12.9
absolver	13.6
absorb	8.83
absorbent	10.32
absorber	10.33
absorption	10.94
abstain	12.95
abstention	15.19
abstinence	12.74
abstract	11.47
abstraction	13.65
abstractionist	14.72
abstruse	14.6
absurd	10.5
absurdist	13.0
absurdity	13.21
abundance	10.45
abundant	12.84
abuse	8.61
abuser	9.94
abusive	9.58
abusiveness	10.47
abut	13.11
abutment	15.33
abuzz	13.0
abysm	15.25
abysmal	13.78
abyss	11.0
abyssal	17.27
ac	10.75
acacia	14.25
academe	13.27
academia	13.74
academic	9.74
academician	15.21
academicism	15.0
academy	9.05
acanthus	15.17
accede	14.31
accelerando	14.5
accelerant	12.84
accelerate	10.74
accelerated	10.11
acceleration	9.84
accelerator	10.27
accent	8.6
accentuate	13.24
accept	6.74
acceptable	9.84
acceptance	8.56
acceptant	11.89
access	9.1
accessibility	11.05
accessible	9.94
accession	12.25
accessorize	11.39
accessory	11.15
accident	5.3
accidental	6.75
acclaim	12.11
acclamation	14.0
acclimate	14.24
acclimatization	16.12
acclimatize	14.0
accolade	12.43
accommodate	9.9
accommodation	9.58
accommodative	15.18
accompaniment	11.18
accompanist	12.78
accompany	10.75
accomplice	9.78
accomplish	7.84
accomplishment	9.0
accord	9.65
accordance	11.75
according	8.45
accordion	8.61
accost	13.37
account	8.26
accountability	12.16
accountable	11.7
accountancy	14.8
accountant	11.67
accounting	12.05
accoutrement	13.87
accreditation	15.53
accredited	13.89
accrete	14.0
accrual	15.0
accrue	14.11
accumulate	12.3
accumulation	10.5
accumulative	12.5
accumulator	13.94
accuracy	9.71
accurate	9.44
accursed	12.71
accusation	10.17
accusative	13.33
accusatory	11.18
accuse	9.1
accuser	11.72
accustom	12.0
ace	8.83
acerb	15.67
acerbic	16.62
acerbity	15.75
acetaminophen	13.47
acetate	12.85
acetic	13.75
acetone	14.05
acetyl	16.31
acetylcholine	16.3
acetylene	16.88
acetylsalicylic	17.71
ache	5.79
achievable	9.89
achieve	8.53
achievement	8.8
achiever	9.11
achiness	10.11
achy	8.06
acid	9.6
acidic	11.21
acidity	12.78
acidophilus	17.4
acidosis	16.85
acidulous	15.43
acknowledge	9.11
acknowledgement	9.95
acme	9.54
acne	11.4
acolyte	13.77
aconitum	11.0
acorn	5.95
acoustic	12.39
acoustical	12.9
acoustics	11.32
acquaintance	10.48
acquaintanceship	14.18
acquiesce	14.25
acquiescence	13.61
acquiescent	14.18
