word	body object interaction
abacus	4.666666667
abdomen	5.434782609
abdominal	3.92
abduct	1.791666667
abide	1.76
ablaze	2.08
able	1.72
aboard	1.76
abode	3.434782609
abort	1.541666667
about	1.416666667
above	1.4
abrasion	2.304347826
abrasive	1.814814815
abroad	1.814814815
abscess	3.904761905
absent	1.47826087
absinthe	4.590909091
absorb	2.12
absorbent	2
abuse	2.321428571
abyss	1.962962963
academy	2.791666667
accelerator	4.037037037
accent	2.423076923
accept	2.041666667
access	2.47826087
accessory	4.72
accident	2.818181818
accordion	5.826086957
account	2
accountant	4.666666667
ace	3.166666667
acetylene	2.666666667
ache	2.913043478
aching	1.961538462
acid	3.111111111
acidic	2.083333333
acne	4.391304348
acorn	5.28
acquire	1.608695652
acre	2.217391304
acrid	1.8
acrobat	5.043478261
acrobatics	2.44
action	2.590909091
active	1.888888889
actor	4.739130435
actress	4.92
actuality	1.692307692
acupuncture	5.285714286
ad	2.2
adapter	4.583333333
add	2.285714286
addict	4.391304348
addition	1.785714286
additive	3.52173913
address	1.833333333
adhere	2.08
adhesive	3.541666667
adjacent	1.92
adjourn	2.041666667
adjust	1.875
administer	2.958333333
administration	2.24
administrator	3.652173913
admiral	4.173913043
admission	2.333333333
adobe	3.142857143
adrift	1.888888889
adult	5.409090909
adulteress	4.208333333
advance	1.68
advantage	2
adventurer	3.185185185
advertisement	3.652173913
advertiser	3.576923077
advertising	2.379310345
advice	2.125
adviser	4.083333333
advisor	4.347826087
aerosol	3.8
afar	1.16
affidavit	3.607142857
afford	1.52
aflame	2.19047619
afloat	1.333333333
afraid	1.333333333
afro	4.52
after	1.346153846
afterbirth	3.333333333
aftershave	5.375
age	1.76
agency	3.130434783
agent	3.84
agility	2.52
agriculture	2.434782609
ahead	1.4
aid	2.875
aide	3.083333333
aides	3.28
ailment	3
aim	1.96
air	3.791666667
airbase	3.444444444
aircraft	4.925925926
aircraftsman	4.52
aircrew	3.72
airfield	3.541666667
airflow	2.434782609
airlift	2.652173913
airliner	3.826086957
airman	4.36
airplane	4.625
airport	4.130434783
airspace	2.333333333
airstrip	2.92
airway	3.130434783
aisle	3
alabaster	2.909090909
alarm	3.291666667
albacore	4.157894737
albatross	3.8
albino	3.444444444
album	5.791666667
alchemist	3.260869565
alcohol	5.833333333
alcoholic	2.625
ale	4.962962963
alehouse	3.416666667
alert	1.84
alfalfa	5.045454545
algae	4.458333333
align	1.72
alive	2
all	2.130434783
allergen	3.269230769
allergy	2.80952381
alley	4.142857143
alleyway	3.47826087
alligator	3.608695652
alloy	3.5
allspice	4.086956522
ally	3.185185185
almanac	5.5
almond	5.714285714
aloft	1.769230769
alone	2.208333333
aloof	1.958333333
aloud	1.708333333
alpaca	3.826086957
alphabet	2.52
alphabetically	1.72
altar	4.782608696
altarpiece	4.80952381
alter	3.36
alternator	3.956521739
alto	2.736842105
aluminum	5.083333333
am	1.727272727
amateur	2.52
ambassador	4.2
amber	2.916666667
ambidextrous	2.909090909
amble	1.851851852
ambulance	5
ambush	2.071428571
amethyst	3.791666667
ammo	5.32
ammonia	3.615384615
ammonium	3.166666667
ammunition	4.592592593
amount	2.181818182
amphetamine	4.291666667
amphibian	4.357142857
amphibious	1.782608696
amphitheater	3.75
amplifier	4.153846154
amputate	1.75
amputation	3.56
amulet	5.291666667
amuse	1.739130435
an	1.458333333
anaconda	4.148148148
anagram	2.043478261
analgesic	3.5
analogy	1.92
analyst	3.76
anatomist	3.884615385
anchor	5.739130435
anchored	2.541666667
anchorman	4.115384615
anchovy	4.428571429
and	1.25
anesthetic	3.964285714
angel	2.04
anger	2.16
angle	1.782608696
angler	3.833333333
angry	2.130434783
angular	1.666666667
animal	5.958333333
ankle	5.833333333
anklet	5.708333333
annex	2.666666667
announce	2.130434783
announcer	4.296296296
another	2.28
answer	2.416666667
ant	4.84
ante	2.5
anteater	3.913043478
antelope	3.75
antenna	4.695652174
antennae	4.538461538
anthem	2.846153846
anthill	4.12
anthrax	3
anthropologist	3.555555556
antibiotics	4.956521739
antifreeze	3.72
antihistamine	5.260869565
antique	4.423076923
antiques	4.68
antiseptic	3.833333333
antiseptics	5.041666667
anus	5.16
anvil	5.24
any	1.416666667
apart	1.782608696
apartment	4.6
apartments	4.851851852
ape	3.869565217
apex	1.961538462
apostrophe	1.523809524
apothecary	4.115384615
apparatus	4.636363636
apparel	5.695652174
appeal	1.652173913
appear	1.72
appease	1.185185185
appendage	5
appendectomy	2.444444444
appetizer	6.12
applaud	3.666666667
applause	2.88
apple	6.272727273
appliance	5.791666667
applicant	3.84
applicator	5.185185185
appraiser	4.428571429
apprentice	4.321428571
approach	2.6
apricot	6.291666667
apron	5.96
aquarium	5.782608696
aqueduct	3.045454545
arachnid	4.904761905
arbor	4
arc	2.92
arcade	3.652173913
arch	3.178571429
archaeologist	3.84
archbishop	3.6
archdeacon	3.666666667
archduke	3.347826087
archery	3.64
arches	3.791666667
archipelago	2.352941176
architect	4.208333333
architecture	3.222222222
archives	4.333333333
archivist	3.68
arctic	2.52
are	1.28
area	2.88
argue	1.68
arise	1.92
aristocrat	3.863636364
ark	4.115384615
arm	6.47826087
armada	2.55
armadillo	3.875
armband	5.347826087
armless	1.52
armoire	4.904761905
armor	5.333333333
armory	3.375
armpit	5.52
army	3.48
aroma	2.48
aromatic	2.384615385
